,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,4,2,2,3,1,2,3,3,1,3,3,2,3,2,3,4,3,2,2,1,3,3,4,1,1,3,3,0,1,0,2,0,3,1,3,1,1,2,1,1,0,2,0,2,0,3,0,1,2,5,5,3,0,0,2,4,2,2,2,4,3,0,2,1,2,4,1,1,0,3,1
Tirunelveli,33,628,0,0,0,0,0,7,50,107,271,513,994,1628,1771,1229,841,639,520,419,304,293,221,155,149,139,99,103,97,110,82,51,55,51,63,45,40,24,36,31,15,24,22,47,18,24,17,16,12,14,13,8,17,9,5,3,10,5,4,2,2,6,7,3,0,3,7,7,0,13,1,6,4,0,2,0,5,2,5,7,0,0,0,7,6,0,2,2,1,2,1,2,0,4,2,1,4,0,5,5,2,2,1
Udalguri,18,326,0,0,0,0,0,0,2,0,15,261,276,306,349,301,142,43,28,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,10,77,567,1766,3214,3273,808,209,114,61,45,23,15,7,7,8,10,12,1,0,2,2,2,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
West Kameng,12,246,0,0,0,0,0,3,12,24,261,4023,12654,4275,624,119,52,29,24,4,4,11,4,6,2,2,0,3,0,3,2,3,3,2,0,2,1,0,0,0,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,15,203,584,457,170,159,69,33,25,20,14,3,11,3,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,4,1,0,2,1,2,2,0,2,0,0,0,0
Baramula,1,8,0,0,0,0,0,0,0,0,0,201,1430,670,609,742,704,645,502,453,324,320,252,214,189,127,103,105,85,73,64,71,43,61,36,34,37,26,23,22,23,23,17,11,10,4,10,10,8,5,6,12,7,6,6,6,5,5,8,3,6,7,3,7,1,4,2,5,2,6,6,1,6,3,4,7,6,3,7,5,5,2,0,2,3,5,3,4,4,3,2,3,2,2,1,5,0,0,2,3,0,3,3
North Tripura,16,292,0,0,0,0,0,0,0,0,6,430,735,79,51,34,24,12,1,7,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,4,47,108,230,445,550,745,740,655,464,503,232,222,154,124,94,61,44,32,14,3,21,22,5,4,15,10,15,4,7,3,1,1,0,6,0,3,1,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,7,227,3043,6090,1111,140,58,55,28,14,13,5,1,1,3,5,1,1,2,1,0,0,1,0,2,0,0,1,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,6,91,705,1161,711,415,319,217,175,124,98,80,53,61,51,33,64,24,34,21,27,28,29,26,26,16,11,13,15,16,8,14,10,2,13,3,12,2,7,0,5,7,2,0,10,2,6,5,0,1,2,0,0,6,2,0,2,0,0,6,0,0,4,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,17,208,323,534,568,428,404,294,273,239,219,162,168,142,110,123,121,105,87,75,64,69,53,62,53,29,23,37,34,37,21,26,32,28,25,18,23,22,29,23,16,16,11,12,4,12,13,8,10,7,15,10,16,7,15,12,11,3,5,9,9,10,6,6,8,4,7,7,8,4,2,5,5,2,1,3,2,6,5,3,2,5,0,4,7,2,1,0,0,0,0
Mirzapur,9,199,0,0,0,0,0,0,1,3,54,268,1081,2122,996,349,194,151,60,58,22,17,13,11,2,6,3,0,2,5,4,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghazipur,9,195,0,0,0,0,0,0,0,10,26,53,93,137,220,237,250,187,163,100,57,21,20,12,4,7,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bikaner,8,101,0,0,0,0,0,0,0,0,17,11113,84588,26976,6374,2516,1264,847,596,456,322,254,209,215,138,144,118,104,86,58,67,45,68,48,35,43,31,25,39,21,30,23,25,23,22,37,17,10,14,20,9,20,14,10,18,14,23,10,8,12,14,2,5,10,3,16,8,5,3,9,5,8,7,8,12,10,1,4,5,7,5,9,4,2,5,5,7,4,3,4,4,4,2,6,13,2,5,3,7,6,7,8,7
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,10,2,14,23,7,20,3,4,1,10,10,8,2,7,6,4,2,4,3,6,0,1,2,2,3,0,2,1,0,0,0,7,4,8,5,5,1,4,2,4,4,1,7,2,3,2,5,1,0,2,2,1,0,2,2,3,2,0,0,0,1,0,4,4,0,2,2
Tiruvannamalai,33,606,0,0,0,0,0,0,1,4,34,209,883,1081,773,739,587,470,307,220,162,70,95,79,54,30,31,35,19,11,6,5,7,8,15,5,6,0,4,0,4,2,1,0,0,2,0,2,0,0,0,0,0,0,4,1,4,2,0,4,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Udupi,29,569,0,0,0,0,0,0,0,2,13,59,132,197,186,120,152,72,34,32,11,4,3,3,2,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellary,29,565,0,0,0,0,0,0,0,0,0,1,10,104,176,406,670,448,425,338,306,231,250,201,180,153,122,137,81,62,75,55,53,55,50,26,32,17,29,38,16,26,23,11,7,12,11,12,11,13,12,6,14,2,0,8,7,2,6,6,10,5,2,1,1,0,5,1,1,0,3,3,6,2,10,2,0,4,0,2,7,0,4,3,1,7,4,0,1,4,6,2,0,0,2,0,2,5,4,2,6,0,0
Agra,9,146,0,0,0,0,0,0,0,3,12,81,503,1156,1405,1213,927,622,560,536,436,408,329,337,275,182,169,127,138,123,88,111,54,68,56,55,47,46,39,34,24,27,16,19,41,10,22,11,23,18,16,20,13,8,20,8,14,12,9,16,17,7,17,3,4,4,5,6,2,4,4,0,3,5,2,0,3,2,6,1,1,8,4,0,0,6,4,5,0,4,5,0,5,0,0,0,3,0,7,0,3,0,4
Jamui,10,238,0,0,0,0,0,0,0,0,31,310,1841,3603,1665,650,327,155,96,49,32,28,8,10,6,3,1,2,2,0,2,0,0,4,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harda,23,448,0,0,0,0,0,0,0,0,0,29,406,1795,2269,905,86,16,4,0,0,0,4,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,6,232,787,1491,1350,977,646,522,438,370,280,248,218,210,160,134,125,115,120,102,95,60,69,46,59,55,49,34,46,31,28,22,30,28,25,37,18,12,17,18,13,26,37,10,14,15,16,10,11,18,12,14,14,10,11,5,11,7,4,6,10,7,12,17,3,18,7,6,9,0,2,13,9,6,5,3,10,6,5,17,0,2,0,3,2,7,1,6,9,4,5
Gondiya,27,507,0,0,0,0,0,0,0,9,62,468,3099,8035,5575,2305,843,277,96,70,37,17,18,4,10,19,20,3,10,7,7,3,3,2,4,0,7,0,3,0,3,4,2,0,3,0,2,0,1,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,18,318,0,0,0,0,0,0,0,0,0,9,131,45,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,0,0,0,0,0,4,22,85,797,3071,2274,623,227,87,25,29,17,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopal,23,444,0,0,0,0,0,0,0,0,2,32,389,1267,2291,1798,1078,606,390,279,211,150,136,92,97,97,95,78,61,58,58,56,28,34,46,29,26,34,37,21,19,19,14,14,29,16,18,25,19,9,18,23,26,19,16,25,19,11,19,15,14,9,16,10,10,15,17,7,14,15,13,4,12,6,14,3,7,3,8,12,13,8,10,11,9,8,15,7,8,12,8,10,8,8,10,4,4,7,1,11,4,0,6
Panchkula,6,69,0,0,0,0,0,0,0,0,0,0,73,591,407,258,288,299,259,259,219,136,130,99,71,56,51,50,45,46,42,41,37,30,18,14,18,22,13,18,10,13,5,12,7,9,10,5,3,7,6,12,2,5,4,5,4,5,2,3,4,2,3,0,2,3,1,0,1,2,3,7,1,4,2,5,1,1,3,4,2,3,3,1,1,2,2,2,4,0,3,1,2,3,1,1,5,2,3,3,2,2,2
Sonbhadra,9,200,0,0,0,0,0,2,4,17,104,539,2003,2661,2083,1141,676,432,275,187,113,90,42,46,35,33,34,28,32,23,27,14,11,6,13,16,18,18,5,10,10,5,18,3,11,7,14,7,7,6,6,8,10,2,5,9,5,3,7,3,6,5,3,4,6,4,1,2,0,1,1,0,2,2,5,1,0,0,0,0,1,2,2,4,0,6,0,2,2,3,0,0,7,0,0,2,0,2,0,0,0,0,0
Jhalawar,8,129,0,0,0,0,0,0,0,0,0,41,615,2680,5667,5351,2147,574,238,146,92,82,59,26,17,32,26,22,25,17,17,27,6,8,4,4,5,15,3,0,6,1,8,6,1,0,2,1,3,2,2,0,5,3,3,1,2,1,2,1,1,2,1,0,3,2,0,2,0,0,1,1,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mahendragarh,6,84,0,0,0,0,0,0,0,0,0,2,10,179,1264,1446,821,437,301,225,166,132,116,78,49,49,46,32,30,38,19,17,24,10,20,24,8,8,12,9,7,3,0,1,3,7,2,6,1,3,3,1,1,2,3,3,0,0,0,0,1,0,2,1,0,6,0,0,0,0,0,0,2,0,0,5,0,3,3,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Sawai Madhopur,8,108,0,0,0,0,0,0,0,0,8,77,2074,8860,5921,1728,818,437,315,174,124,125,74,59,56,43,27,24,22,22,23,13,17,10,14,7,5,11,3,1,7,4,4,3,6,3,3,8,2,4,1,6,5,0,3,3,4,0,2,2,3,0,3,2,0,3,0,5,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0
Shimla,2,33,0,0,0,0,0,0,0,0,0,270,10886,9782,1864,485,241,129,73,63,42,27,23,14,21,12,13,11,10,4,6,8,7,5,7,4,6,7,6,3,3,6,4,3,3,3,0,2,2,2,0,2,1,4,0,0,2,0,2,2,0,1,1,0,1,1,0,1,0,1,1,0,0,2,0,1,0,2,2,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
