,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,4,2,1,1,0,0,0,4,1,1,2,0,0,1,1,0,0,0,1,3,1,1,4,1,1,3,2,1,2,2,0,2,0,3,1,2,0,1,0,2,0,2,1,0,1,2,2,1,0,1,1,0,2,1,1,0,1,1,2,3,1,2,0,1,1,0,3
Tirunelveli,33,628,0,0,0,0,0,0,0,11,458,2456,2887,3311,3359,2704,2113,1749,1401,1135,878,671,571,443,359,307,282,256,212,173,151,118,105,120,77,61,80,69,65,63,44,33,44,45,36,37,26,25,28,27,39,24,17,14,15,14,15,18,17,8,7,14,7,21,11,12,4,9,12,10,7,14,5,10,10,6,4,7,10,5,4,3,4,3,3,6,8,4,4,4,4,4,7,7,4,5,1,7,0,3,4,1,3
Udalguri,18,326,0,0,0,0,0,0,0,0,0,2,610,1261,1341,1260,1086,825,656,511,332,256,196,167,132,85,80,59,47,42,31,33,20,17,18,21,8,13,10,5,5,5,0,2,5,1,2,1,0,3,2,1,2,2,3,1,1,3,1,2,0,1,1,1,1,2,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,1315,6590,4168,2641,1894,1272,1044,730,525,377,300,225,179,143,119,114,74,67,59,38,46,33,14,17,23,21,26,19,11,4,7,6,6,10,6,10,7,8,3,3,9,4,3,4,5,3,2,10,7,4,1,2,3,2,2,2,3,0,1,2,1,1,1,2,1,3,0,0,2,2,0,0,1,1,0,1,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
West Kameng,12,246,0,0,0,0,0,0,0,0,0,1742,18949,2265,266,142,83,57,54,14,22,23,16,9,22,15,11,11,9,2,5,7,8,5,4,5,5,5,2,4,2,2,6,2,2,1,0,1,1,2,0,0,1,0,1,2,2,3,0,0,1,1,2,0,0,1,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,451,1165,1121,1387,1458,1284,1177,970,794,712,646,585,469,411,356,312,293,276,218,200,195,184,173,170,127,127,104,91,85,88,83,78,77,70,69,63,55,42,50,55,41,39,46,39,27,38,36,31,25,31,31,31,38,20,22,24,27,24,18,24,23,28,13,22,22,18,19,24,17,23,16,12,14,12,17,8,12,16,17,12,5,9,18,17,10,14,19,12,12,7,11,16
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,27,805,1756,1511,1125,789,563,406,295,204,156,116,92,65,66,63,38,33,33,28,27,31,13,18,20,15,12,7,10,13,4,6,7,8,5,7,8,9,8,4,7,5,8,7,8,6,4,5,6,6,3,2,2,3,1,0,3,4,2,0,4,3,4,2,3,1,3,4,0,5,6,2,5,6,1,2,4,1,0,3,2,0,0,1,1,4,1,2,2,1,3
North Tripura,16,292,0,0,0,0,0,0,0,0,15,2412,2192,859,577,496,397,329,253,240,169,170,129,113,82,64,59,50,34,32,36,28,26,23,19,15,27,15,12,15,12,13,8,7,3,5,4,5,4,6,5,2,2,3,2,0,3,2,1,2,1,1,0,4,0,4,4,1,0,2,0,1,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,1,0
Kollam,32,600,0,0,0,0,0,0,0,3,237,2109,1036,751,811,886,749,569,458,413,313,268,218,176,161,127,99,89,64,48,55,42,39,30,26,18,23,16,16,24,11,16,6,14,11,7,9,9,10,6,16,8,6,8,7,8,11,6,3,5,4,5,5,5,7,0,1,2,5,1,2,2,0,0,4,1,1,1,0,0,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,3,2,0,1,2,3,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,3,507,8899,1091,237,104,72,56,26,37,18,32,8,20,10,12,9,13,7,5,8,8,0,3,1,5,7,3,1,0,2,2,3,1,2,2,2,2,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
