,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,0,1,2,2,2,3,2,2,1,0,0,0,0,0,1,1,2,2,1,1,1,2,4,1,2,2,2,0,1,1,1,2,1,2,3,3,0,1,0,2,2,0,0,1,2,1,1,2,3,0,0,1,0,1,1,2,0,1,0,2,0,1,1,1,2,0,2,1,1,1,1,0,2
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,19,1684,5384,5315,3831,2774,1832,1352,950,717,524,419,327,285,239,206,159,127,114,113,106,80,80,49,47,55,54,39,39,41,38,23,33,24,25,26,32,22,17,16,13,13,12,16,10,14,7,12,12,4,12,11,3,7,11,8,10,4,8,9,6,2,3,4,3,1,6,5,4,3,5,4,3,4,3,2,7,2,3,6,1,2,5,0,4,7,7,1,3,3,4,3
Udalguri,18,326,0,0,0,0,0,0,0,0,0,48,1338,1900,1732,1229,888,643,433,268,182,143,95,57,41,30,26,15,28,4,14,7,7,6,8,4,3,3,3,1,6,3,1,2,1,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,1095,6643,3764,2565,1916,1306,925,789,608,440,384,290,244,195,180,137,101,108,74,59,46,52,33,34,40,23,20,16,15,13,10,8,7,10,3,4,7,11,6,7,3,7,5,3,4,6,1,1,2,2,2,0,7,0,1,2,1,0,1,2,1,1,1,2,0,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0
West Kameng,12,246,0,0,0,0,0,0,0,0,1,4483,17756,807,204,108,104,50,45,23,14,15,15,14,10,9,9,11,6,8,3,7,2,5,2,2,6,5,1,0,2,4,1,3,4,0,2,2,1,0,1,0,2,1,2,1,0,1,0,0,1,1,0,2,3,1,0,2,0,1,1,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,375,1123,1172,1399,1495,1478,1256,1060,880,749,625,475,427,391,312,335,295,255,246,195,199,171,145,114,130,126,115,84,75,89,79,65,48,69,60,72,46,57,41,46,46,40,40,38,51,36,47,27,34,31,27,26,34,22,27,28,21,16,24,28,16,18,16,30,17,21,17,21,14,18,16,12,17,16,14,6,15,17,12,13,8,10,17,4,13,15,14,5,13,12,14
Baramula,1,8,0,0,0,0,0,0,0,0,4,20,502,2336,1885,1028,652,434,309,202,172,122,82,59,42,54,41,30,27,26,21,19,19,10,10,15,9,5,11,10,9,11,6,4,3,8,6,8,7,11,3,5,7,3,3,5,2,11,3,3,1,4,4,1,3,2,2,8,2,0,4,1,1,1,4,4,2,2,3,1,3,3,0,0,1,3,1,1,1,0,3,0,3,0,0,2,0,3,4,1,0,3,2
North Tripura,16,292,0,0,0,0,0,0,0,0,0,677,3237,1068,581,471,419,379,361,276,260,232,125,129,89,92,69,63,51,43,38,38,24,20,26,26,22,9,18,16,11,10,14,12,7,7,9,7,6,4,1,7,4,1,1,4,2,4,0,1,4,1,1,2,0,4,0,2,1,0,0,0,0,2,1,1,1,2,1,0,1,0,0,1,2,0,1,1,1,0,2,0,1,0,0,0,0,0,0,2,0,1,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,4,822,2078,1058,1164,968,871,643,514,364,318,235,189,130,113,96,63,42,55,41,36,23,27,22,17,15,18,13,23,14,15,8,11,10,7,3,5,7,6,9,4,5,3,1,3,5,0,3,0,2,3,4,1,4,2,1,2,3,0,1,1,3,4,1,2,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,0,2798,7460,473,151,78,45,38,35,24,17,15,14,12,13,7,7,9,0,2,1,3,2,3,0,2,0,2,1,0,4,0,1,0,1,0,0,0,0,0,1,1,1,0,0,3,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,63,356,569,510,430,371,325,319,270,206,171,159,150,154,109,94,102,82,92,71,60,64,72,56,57,50,56,40,39,35,27,30,35,34,32,25,26,17,23,21,23,18,16,24,9,19,3,18,12,14,7,11,9,10,12,4,13,9,3,3,10,7,4,6,8,6,10,10,1,5,5,4,4,5,5,6,8,3,2,6,6,4,5,5,4,2,4,4,3
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,23,213,333,373,371,411,342,342,297,268,228,180,164,156,125,139,95,92,85,85,68,90,55,52,50,49,53,40,41,40,39,30,27,34,36,20,14,17,21,27,23,18,18,18,25,17,16,14,17,21,18,19,14,19,10,16,8,17,11,14,11,13,13,5,11,7,7,7,6,8,7,14,4,6,9,8,6,5,6,7,5,6,6,5,9,5,5,4,1,0,6
