,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Mirzapur,9,199,0,0,0,0,0,0,0,0,0,0,1333,5986,3516,2441,1545,1050,769,545,421,325,262,172,177,115,141,103,94,86,79,67,59,48,46,39,36,40,32,26,23,26,18,19,16,16,17,13,12,6,9,7,9,3,8,5,4,9,5,4,4,4,8,8,4,3,4,7,3,4,3,5,3,1,4,1,4,4,3,0,1,1,6,2,1,2,2,0,1,2,3,4,2,2,0,1,0,2,1,1,1,1,2
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,35,1046,1637,1677,1722,1650,1366,1216,919,757,584,443,339,254,203,168,165,102,86,66,62,48,40,43,27,31,19,32,17,16,24,13,12,8,13,14,2,4,10,10,9,7,6,7,3,5,6,5,5,3,3,1,5,4,3,3,5,6,2,5,2,0,3,2,5,4,2,1,0,1,1,1,0,1,2,1,1,1,2,3,2,1,1,1,1,0,1,0,1,2,1
Bikaner,8,101,0,0,0,0,0,0,0,0,0,0,4736,80315,23685,9982,5145,3005,1952,1336,962,754,578,457,431,301,281,233,236,204,174,156,158,140,120,106,101,104,83,95,77,56,60,62,59,49,43,42,37,44,41,29,29,32,28,31,31,17,22,25,19,17,25,25,12,30,21,18,18,21,12,18,10,10,16,17,12,11,15,10,9,13,14,10,9,9,12,14,6,5,7,6,9,7,6,7,11,12,8,7,5,3,7
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,4,1,6,4,1,4,1,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,19,16,10,7,8,12,7,5,7,4,2,2,3,4,5,3,2,4,0,3,2,4,2,4,2,6,3,2,2,1,2,3,2,0,3,1,2,2,5,5,1,1,3,3,3,2,1,2,1,3,2,3,4,2,2,2,3,1,6,2,6,2,5,4,2,6,0,1,1
Tiruvannamalai,33,606,0,0,0,0,0,0,0,0,0,0,76,2574,1810,2564,3274,3193,2860,2186,1647,1310,898,676,499,335,246,210,154,129,92,90,67,60,46,47,36,29,21,19,26,18,24,15,10,10,10,9,15,12,7,5,9,4,2,6,5,4,6,4,5,6,1,4,4,4,7,6,3,5,1,3,4,3,0,2,2,5,0,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,0,0,3,1,2,2,0,0,1
Udupi,29,569,0,0,0,0,0,0,0,0,0,0,843,6320,3850,1745,891,544,410,307,192,115,90,84,58,43,42,42,36,24,26,26,14,14,21,12,23,11,7,13,12,10,10,7,5,9,1,5,6,5,6,5,3,6,1,4,3,4,8,2,6,3,1,3,2,2,2,1,0,1,2,1,3,0,0,2,2,0,1,2,0,4,1,1,0,0,2,1,4,0,1,2,2,1,2,0,0,2,0,0,0,0,0
Bellary,29,565,0,0,0,0,0,0,0,0,0,0,174,6222,9059,5218,3217,2029,1399,987,817,601,460,427,369,322,267,259,218,213,176,133,142,135,129,112,94,87,76,73,69,73,56,67,56,47,42,36,39,40,35,40,38,25,21,19,25,28,28,24,22,23,16,19,18,29,13,15,16,17,15,16,12,20,12,8,10,13,12,10,5,18,15,14,8,6,9,6,11,12,10,6,10,6,8,4,8,6,6,5,8,6,11
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,920,1785,1891,1783,1431,1231,1005,845,762,609,534,463,397,335,313,246,218,210,166,145,132,148,106,98,93,95,75,71,58,56,53,34,56,46,41,34,43,30,32,30,39,30,26,36,25,19,14,32,14,21,23,19,16,18,12,12,14,15,14,14,20,12,11,9,11,7,13,15,5,8,6,5,7,5,10,8,7,7,10,11,6,13,9,2,5,4,4,6,7,8
Jamui,10,238,0,0,0,0,0,0,0,0,0,0,2834,7977,1273,382,174,113,74,83,49,45,33,30,38,29,22,23,21,15,11,14,15,15,15,12,13,8,13,5,2,8,7,5,4,6,6,5,4,2,5,4,4,2,5,1,2,2,5,2,0,4,4,1,5,2,3,1,3,2,4,1,0,2,0,2,1,1,4,2,3,1,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Harda,23,448,0,0,0,0,0,0,0,0,0,1,2360,3220,3066,2039,1122,689,367,272,219,151,109,96,77,63,59,39,41,37,37,20,20,16,24,13,9,21,9,11,12,11,6,8,8,7,4,4,4,4,1,7,6,4,2,3,2,3,3,4,0,2,5,2,5,1,2,0,6,1,2,2,4,0,4,0,2,0,4,1,0,1,1,0,1,3,1,0,2,2,1,2,0,0,2,0,5,0,0,0,0,1,1
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,398,1121,1269,831,603,525,480,402,340,275,273,214,176,151,144,156,131,113,120,95,83,73,78,78,84,64,55,51,42,63,46,32,41,36,44,38,43,26,28,31,29,39,29,23,26,38,18,18,17,17,17,14,14,13,17,12,7,12,16,15,19,14,10,11,12,13,7,8,9,9,8,13,7,8,5,7,9,11,3,11,4,5,6,0,2,7,3,13,6
Gondiya,27,507,0,0,0,0,0,0,0,0,0,2,2414,9574,4342,2376,1284,806,590,381,292,242,166,164,97,96,71,63,59,55,31,35,27,22,26,23,22,9,13,16,17,8,9,8,6,4,7,12,9,1,5,8,7,6,8,9,3,5,5,1,4,4,3,3,2,5,3,2,2,1,1,2,3,1,2,1,3,0,1,1,2,1,0,3,0,2,1,0,1,2,3,1,2,3,1,0,3,0,0,4,2,1,0
Hailakandi,18,318,0,0,0,0,0,0,0,0,0,0,1501,1987,919,550,323,169,108,75,38,15,20,18,13,7,16,17,4,0,4,10,6,7,6,4,3,2,1,2,0,2,2,1,0,3,2,2,1,0,2,3,0,0,0,0,0,1,0,2,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0
Churachandpur,14,274,0,0,0,0,0,0,0,0,0,80,15360,3437,486,205,133,72,68,54,31,33,18,18,20,17,13,9,16,12,8,7,5,9,10,5,4,7,4,5,8,4,1,5,2,3,1,3,0,3,2,1,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopal,23,444,0,0,0,0,0,0,0,0,0,0,19,1467,1765,1498,1121,903,654,546,416,320,243,222,178,149,135,133,96,75,87,66,68,48,57,49,46,43,35,29,53,31,33,23,27,26,30,28,16,14,15,16,9,19,19,20,6,14,6,7,12,17,21,7,14,11,11,16,9,6,8,15,9,10,6,5,6,6,7,9,7,5,8,6,3,10,13,1,8,6,6,6,8,10,5,6,5,4,6,4,10,10,4
Panchkula,6,69,0,0,0,0,0,0,0,0,0,0,0,76,650,359,434,348,289,207,188,136,134,89,70,70,60,46,50,35,44,25,26,18,24,18,22,7,20,14,14,7,8,6,12,7,8,9,10,5,10,10,7,5,7,9,7,4,3,3,4,4,6,2,5,7,6,2,3,3,3,5,4,6,4,6,2,1,2,1,1,2,1,3,2,5,2,2,4,3,5,2,3,1,0,3,2,3,1,0,1,3,2
Sonbhadra,9,200,0,0,0,0,0,0,0,0,0,0,3569,13999,4094,2244,1495,993,678,446,341,222,161,137,108,96,65,61,53,35,28,35,22,24,24,20,27,9,19,20,8,17,17,11,12,15,10,13,15,7,7,7,11,14,12,7,6,16,11,9,6,2,9,10,4,6,9,3,8,2,4,9,8,9,8,2,5,8,5,7,3,9,5,1,5,4,4,2,5,7,6,5,5,2,9,9,6,8,3,7,2,9,4
Jhalawar,8,129,0,0,0,0,0,0,0,0,0,0,26,4524,6688,4239,2605,1752,1226,1018,743,636,489,422,334,283,276,223,191,187,144,130,112,112,68,66,58,56,44,55,38,40,40,44,35,26,23,28,30,23,18,11,16,15,16,13,12,11,15,12,13,9,14,10,7,8,5,5,6,4,10,6,4,4,5,5,4,5,4,4,7,0,1,5,3,3,2,3,3,5,0,0,1,1,3,4,4,1,2,4,2,5,2
Mahendragarh,6,84,0,0,0,0,0,0,0,0,0,0,0,3,126,642,1444,1351,976,608,491,373,294,253,231,195,161,145,121,120,118,108,86,65,65,60,59,52,35,48,38,30,30,30,29,32,20,19,22,13,12,14,14,10,12,14,10,9,7,12,5,3,1,7,6,5,6,2,1,4,1,2,4,3,1,2,0,3,2,3,1,1,2,5,4,4,2,2,3,2,1,7,1,1,3,2,1,1,0,0,1,1,0
Sawai Madhopur,8,108,0,0,0,0,0,0,0,0,0,0,74,3592,5102,3299,1839,1424,1073,870,688,537,431,404,346,309,263,223,229,153,132,142,101,108,90,75,78,65,68,51,51,44,49,27,29,39,25,26,27,28,22,16,12,12,14,20,20,18,19,9,6,6,3,9,6,10,8,8,6,2,6,6,6,6,5,2,4,7,5,2,3,4,2,4,1,4,6,4,2,2,1,2,2,1,3,1,5,1,3,6,3,5,2
Shimla,2,33,0,0,0,0,0,0,0,0,1,8,684,15402,5641,972,363,213,124,78,68,66,39,37,37,24,19,23,22,12,13,10,13,9,9,11,6,6,7,7,2,6,9,6,3,2,3,3,4,2,8,2,5,2,3,1,0,4,1,2,2,7,5,2,1,2,3,3,2,2,2,2,2,0,0,3,0,2,0,1,0,1,1,1,0,1,2,2,0,0,1,0,1,1,1,1,1,1,1,2,1,0,0
South 24 Parganas,19,343,0,0,0,0,0,0,0,0,0,15,3413,3236,1698,1320,1114,1110,1011,907,899,871,721,737,702,561,566,451,366,370,316,294,214,214,186,166,141,132,106,108,82,79,75,60,48,47,46,42,31,44,41,22,30,32,30,29,23,25,24,24,14,22,18,26,12,18,20,14,18,14,17,10,14,17,8,16,9,5,17,10,14,8,7,13,8,11,12,6,8,11,8,4,6,6,14,11,7,7,5,9,9,9,8
Pratapgarh,9,173,0,0,0,0,0,0,0,0,0,0,16,1443,2806,2686,2404,1871,1380,957,708,518,383,269,193,179,109,93,64,45,45,36,30,25,21,13,13,15,19,9,10,5,10,6,6,9,8,5,5,7,6,7,7,3,2,4,2,1,6,0,2,0,1,0,2,3,1,2,4,2,3,2,1,4,1,1,2,1,3,0,3,0,2,1,1,0,1,1,2,0,1,1,0,1,0,0,1,0,0,2,1,1,0
Jaintia Hills,17,299,0,0,0,0,0,0,0,0,0,11,5262,6277,1960,906,525,317,284,191,160,121,83,72,72,70,42,43,31,39,33,23,16,24,18,24,15,21,19,13,9,8,10,12,6,15,6,9,5,2,6,3,4,5,5,4,1,3,6,3,4,2,6,2,3,3,1,1,4,1,2,0,3,1,2,2,0,1,1,2,0,2,1,0,1,2,2,0,0,1,1,5,1,0,1,2,2,2,0,0,2,0,1
Kapurthala,3,36,0,0,0,0,0,0,0,0,0,0,0,0,104,1126,1351,1087,769,610,466,335,266,214,175,143,94,94,79,55,47,45,30,29,37,29,27,21,27,22,24,25,23,17,8,13,12,17,10,18,6,10,6,8,9,5,13,7,7,4,10,4,5,10,3,7,6,1,2,5,3,2,5,4,3,4,3,5,5,3,1,5,1,1,2,3,5,2,2,3,9,8,3,2,5,3,1,0,3,1,1,0,2
Hisar,6,80,0,0,0,0,0,0,0,0,0,0,0,550,4597,4608,2454,1439,854,666,470,396,267,245,216,195,146,139,124,112,113,97,108,86,79,77,47,51,51,43,53,47,38,39,40,24,29,26,23,22,20,21,24,15,22,21,14,13,8,11,13,16,4,15,9,5,7,4,10,8,8,9,4,8,2,7,9,8,15,6,5,7,4,7,3,5,5,12,5,11,2,1,6,8,2,1,3,8,5,3,6,4,9
Mandi,2,27,0,0,0,0,0,0,0,0,0,0,128,8308,5327,1971,950,442,303,195,174,104,87,74,63,48,38,39,37,33,29,17,14,15,10,13,14,8,12,3,14,7,5,6,6,6,5,5,6,6,5,1,4,1,3,3,1,2,4,2,5,1,4,4,1,3,2,2,1,3,0,1,1,0,2,1,1,0,0,2,0,0,0,1,1,0,0,1,4,1,2,1,1,1,1,0,0,1,1,0,1,0,1
Faridabad,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,20,84,115,148,132,154,135,113,99,86,88,94,96,74,78,57,77,55,50,42,58,71,54,56,63,51,33,48,46,32,28,36,25,27,27,26,20,25,28,18,16,16,19,12,10,15,12,14,12,8,9,6,12,10,5,13,6,8,11,9,12,11,4,5,8,8,13,11,4,5,5,8,7,10,5,9,7,4,3,7,5,4,6,7,6,0,3,5
Hoshangabad,23,449,0,0,0,0,0,0,0,0,0,4,5860,8309,5038,3002,1924,1226,776,546,409,319,245,179,154,118,115,99,73,73,37,59,41,32,32,30,27,24,17,22,16,19,14,11,5,13,13,9,12,4,6,8,13,7,7,6,8,12,10,4,8,6,6,6,2,8,4,4,4,7,3,2,6,2,1,3,1,4,2,1,3,3,3,4,4,3,5,2,2,2,2,1,0,2,5,0,1,4,1,1,4,2,1
Hoshiarpur,3,38,0,0,0,0,0,0,0,0,0,0,3,1425,2565,2987,2272,1629,1149,768,595,424,310,252,178,162,109,74,73,60,57,43,50,29,38,31,31,23,17,20,13,33,13,12,10,16,13,13,15,7,13,3,14,5,11,5,11,2,6,9,2,3,10,5,8,4,4,7,3,4,7,8,5,2,3,3,3,2,3,4,2,6,3,4,3,3,4,6,0,3,2,3,4,3,2,1,1,2,1,2,1,4,1
Jodhpur,8,113,0,0,0,0,0,0,0,0,0,0,652,27554,28644,14987,8431,5226,3551,2366,1715,1309,1053,797,647,470,446,375,344,276,213,210,188,157,134,134,127,110,103,97,92,78,68,75,62,60,53,54,50,48,50,52,28,48,38,38,32,23,39,36,21,26,22,16,21,24,33,16,21,15,25,17,18,11,15,9,18,12,16,12,12,13,11,9,16,11,8,6,10,11,13,7,9,15,10,10,6,9,7,13,13,5,5
Anuppur,23,461,0,0,0,0,0,0,0,0,0,1,3485,6203,2214,1181,767,476,321,226,186,131,119,121,97,66,63,49,46,45,28,32,22,22,22,18,19,14,20,21,20,11,17,18,18,8,7,7,14,11,5,16,10,8,8,7,7,8,3,7,5,5,9,3,4,5,3,10,3,4,3,6,7,6,5,3,5,3,2,4,3,3,1,5,3,1,3,5,2,5,6,3,3,3,5,2,5,0,0,1,7,1,3
Mumbai,27,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,10,7,6,6,4,1,1,2,1,3,4,4,3,8,7,6,16,4,16,16,13,5,6,7,7,5,7,4,6,4,5,3,3,3,4,4,8,1,2,2,6,1,2,2,1,2,2,3,5,5,0,0,2,2,2,1,2,0,2,0,0,2,2,1,1,3,2,1,1,1,3,0,0,1,2,0,0,1,1,0,2,2,2,0
Thiruvarur,33,619,0,0,0,0,0,0,0,0,0,0,41,485,465,1150,1539,1369,1008,834,589,425,281,203,134,113,109,75,57,39,48,27,24,18,22,18,15,12,7,19,11,7,6,4,4,4,2,6,10,7,6,4,7,4,3,2,4,4,4,3,2,0,4,3,0,2,4,2,1,0,2,3,1,0,1,0,0,2,0,5,1,1,0,2,0,2,2,0,1,3,1,3,0,1,0,0,1,1,1,0,0,2,2
Uttara Kannada,29,563,0,0,0,0,0,0,0,0,0,2,8282,23016,4946,1991,1065,650,386,303,207,187,132,108,91,79,80,56,47,51,33,40,33,39,25,32,23,14,19,16,15,20,15,17,13,16,12,15,13,15,8,6,11,14,14,10,6,14,5,4,6,9,7,5,2,8,3,7,5,4,1,4,2,5,3,1,3,7,6,3,2,7,3,3,5,3,2,2,1,2,2,0,0,0,1,3,4,2,1,1,1,2,0
Bandipore,1,9,0,0,0,0,0,0,0,0,0,0,28,2343,7134,1161,140,61,47,32,42,21,16,16,11,7,10,4,6,4,5,3,3,6,2,3,5,2,3,6,5,6,2,2,1,2,1,2,1,0,1,3,1,0,3,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Sabar Kantha,24,472,0,0,0,0,0,0,0,0,0,0,112,4607,8114,5950,3999,2574,1807,1192,889,613,436,361,291,251,171,149,125,107,86,72,62,57,36,33,32,29,22,20,17,21,28,15,14,13,14,18,19,7,12,12,12,4,2,10,4,8,5,5,6,8,6,8,3,3,3,3,2,5,4,4,5,3,1,3,3,9,2,6,1,2,1,3,0,4,1,2,0,1,0,2,1,0,3,1,2,1,1,1,1,0,2
Rohtak,6,82,0,0,0,0,0,0,0,0,0,0,0,4,674,1434,1135,821,563,416,278,228,202,143,124,109,89,86,81,62,66,54,49,48,42,53,33,39,32,28,31,31,37,36,23,35,19,21,32,19,18,23,19,16,20,16,17,14,14,14,11,6,12,17,12,11,8,7,7,13,10,2,8,9,6,6,5,5,6,4,10,10,5,6,5,3,4,5,3,5,2,8,6,5,3,2,4,0,6,5,5,2,2
Mandla,23,454,0,0,0,0,0,0,0,0,0,18,10752,14742,3477,1452,751,450,276,212,138,98,77,70,38,34,30,28,23,11,7,12,13,14,8,13,8,7,9,5,4,1,5,5,2,0,6,6,2,1,5,0,0,4,2,0,1,0,0,2,1,0,1,1,1,2,1,0,0,1,0,1,0,3,1,0,1,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
Faizabad,9,177,0,0,0,0,0,0,0,0,0,0,16,1722,1796,1763,1778,1497,977,624,412,289,200,175,108,76,68,69,51,45,42,39,36,30,26,19,11,10,9,16,12,10,9,7,10,10,10,13,7,6,6,10,4,6,4,4,4,4,7,4,2,2,3,5,4,3,3,4,3,1,5,1,3,4,4,1,0,3,2,0,1,2,4,4,3,3,3,4,1,3,0,0,2,3,2,4,2,2,1,0,3,1,1
Champhai,15,284,0,0,0,0,0,0,0,0,0,25,9713,3398,561,232,129,124,75,63,42,31,18,18,12,13,9,9,4,8,11,12,7,6,10,4,6,4,4,3,0,4,1,1,2,0,4,2,5,1,3,2,2,3,4,0,1,0,1,3,1,1,2,1,0,1,0,0,3,0,0,0,0,4,0,1,0,3,1,1,1,1,1,2,3,4,1,2,0,1,1,0,0,0,1,0,0,0,1,0,5,1,0
Jalaun,9,165,0,0,0,0,0,0,0,0,0,0,79,9433,6399,1794,780,443,265,202,167,141,100,88,80,43,35,27,25,27,24,17,17,14,12,16,6,4,14,6,6,10,5,10,2,2,5,6,5,6,1,3,2,3,3,2,0,2,2,3,6,2,2,1,0,2,1,3,0,3,2,1,2,1,1,0,1,0,0,3,1,2,2,1,0,1,1,2,1,1,3,1,1,1,2,0,1,3,0,1,1,0,0
Purba Medinipur,19,345,0,0,0,0,0,0,0,0,0,0,41,1070,2494,2427,1933,1577,1422,1176,937,763,568,506,381,276,233,162,130,92,102,88,72,62,46,54,37,41,28,34,31,19,22,19,15,21,16,15,13,12,13,11,9,10,12,18,11,8,7,7,5,6,10,6,7,11,8,3,5,8,6,6,2,3,4,4,4,4,5,6,3,2,2,5,1,2,1,1,3,5,2,3,0,3,4,3,3,0,3,1,5,1,2
North West,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,4,6,19,24,21,24,23,21,20,22,15,15,14,19,13,14,28,14,20,17,7,15,11,18,11,19,9,7,13,11,11,20,10,10,17,7,13,10,10,11,9,7,9,8,14,4,11,7,11,12,9,8,5,8,6,4,6,2,3,8,9,6,8,9,5,7,9,5,5,5,13,1,7,1,6,9,9
Ganjam,21,388,0,0,0,0,0,0,0,0,0,0,404,8037,9132,4961,3094,2142,1541,1237,910,689,599,523,362,305,260,206,184,174,126,122,104,71,67,65,57,58,41,43,37,34,31,30,33,23,18,22,14,18,20,22,14,12,12,9,7,12,14,6,14,9,9,7,9,7,6,4,7,7,8,3,5,2,2,5,2,3,7,4,3,4,3,1,2,2,2,0,2,2,2,1,3,3,5,1,4,3,1,1,1,1,3
Jhansi,9,166,0,0,0,0,0,0,0,0,0,0,128,6992,5763,2389,1398,1019,727,566,454,341,297,227,196,127,134,119,125,104,71,60,60,51,57,30,38,30,35,38,34,20,26,19,19,9,11,17,14,20,12,16,18,12,19,11,8,13,12,17,10,7,8,11,7,8,9,10,15,12,9,3,9,7,7,3,7,7,6,7,6,6,5,5,8,4,5,3,7,6,3,8,9,3,6,8,4,8,3,10,4,3,3
Mathura,9,145,0,0,0,0,0,0,0,0,0,0,0,41,1507,2230,1679,1328,1085,892,752,577,481,411,438,331,263,237,203,184,182,164,121,112,94,89,83,88,61,63,44,50,55,53,37,47,38,31,38,30,21,36,31,18,24,26,13,19,22,27,20,22,12,13,16,14,12,15,10,11,9,15,11,15,8,9,11,8,8,12,12,10,7,8,4,1,3,14,9,8,5,5,9,6,5,4,14,6,8,7,5,7,6
