,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,0,3,1,3,1,3,5,1,3,4,2,0,0,1,1,0,3,4,0,1,1,1,2,0,1,2,2,1,0,0,3,0,3,1,2,2,1,1,0,1,2,0,1,1,1,2,1,3,2,0,0,2,1,1,1,0,1,2,1,0,0,0,1,1,1,0,1,0,2
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,0,49,2023,4030,5020,4282,2971,2117,1536,1064,771,569,427,332,277,226,204,144,136,112,100,90,73,67,64,74,37,44,54,30,36,35,30,32,28,18,29,17,19,17,17,17,14,20,14,18,13,14,4,10,12,14,13,13,10,5,6,11,7,3,10,4,6,4,7,3,5,8,5,3,3,7,4,3,8,7,6,5,3,2,4,6,1,4,6,1,3,1,3,1,2,4
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,418,2859,2961,1497,708,336,172,73,38,29,21,11,14,8,5,5,6,3,4,2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,60,4897,6309,3504,2006,1378,870,684,504,380,273,226,173,146,104,101,71,68,52,46,49,33,13,26,23,20,21,12,14,12,11,12,4,10,10,8,6,10,4,4,7,5,3,3,5,3,2,10,3,4,4,1,1,3,2,0,1,0,3,0,0,1,1,1,3,1,2,2,0,1,0,0,3,1,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1
West Kameng,12,246,0,0,0,0,0,0,0,0,0,167,15434,7410,397,111,69,53,28,25,21,13,16,9,9,5,7,1,4,5,4,1,3,2,2,0,0,0,2,1,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,3,771,2005,2185,2087,1622,1329,1001,782,612,514,436,394,298,257,227,196,183,170,157,134,123,118,113,104,69,88,67,72,71,55,69,44,48,50,46,49,47,34,34,35,35,36,37,21,28,25,20,26,23,26,28,21,27,18,14,12,15,17,15,25,9,17,23,11,14,11,11,18,16,12,13,18,18,9,6,11,11,11,7,13,14,16,11,9,10,7,11,14,7,9
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,16,762,2027,1591,984,652,471,325,245,178,143,108,77,69,66,52,49,33,29,42,25,19,24,12,8,11,6,14,8,12,10,5,6,12,8,7,4,7,8,5,1,8,4,6,5,7,9,8,7,9,6,2,4,8,2,7,4,4,3,4,0,4,4,2,0,3,4,3,1,0,2,0,0,0,2,1,2,1,1,2,1,1,3,2,2,0,1,0,1,0,2
North Tripura,16,292,0,0,0,0,0,0,0,0,0,0,1188,2655,1161,742,653,543,442,375,234,170,122,118,105,57,57,57,43,35,25,22,25,23,16,12,12,5,6,11,6,8,6,8,4,2,6,1,5,0,2,1,2,6,3,0,4,2,0,7,2,0,1,0,1,1,3,4,0,1,0,1,1,0,1,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,0,22,1975,1374,885,1145,1079,786,593,401,355,280,184,159,142,95,98,56,58,43,44,35,25,45,17,16,24,13,16,13,9,15,10,10,8,10,7,8,11,5,2,2,5,6,4,7,3,1,2,3,3,1,1,4,3,1,1,3,1,0,0,0,0,0,0,0,0,3,4,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,0,80,7118,3743,173,42,13,8,8,8,5,5,6,3,1,3,4,0,3,3,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,103,637,739,612,549,447,356,350,282,203,159,137,122,113,75,80,59,71,64,49,42,44,37,27,41,26,34,23,23,19,19,23,15,14,12,14,14,20,4,14,5,12,11,9,6,13,8,9,4,7,8,9,5,6,7,4,7,4,2,8,4,5,5,3,5,3,5,2,3,2,3,5,2,0,2,1,1,3,3,2,1,3,2,2,3,0,2,2,1
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,70,312,320,379,397,363,341,286,261,248,196,164,156,147,114,91,92,108,87,89,70,65,65,50,55,49,41,39,49,51,35,32,34,34,20,32,24,30,21,28,18,14,20,16,25,14,12,19,10,17,21,17,22,15,12,12,18,8,9,12,9,10,15,15,15,5,10,15,12,6,11,12,8,7,3,6,11,13,7,5,12,10,5,3,5,2,6,3,4,5
