,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,8,2,0,2,5,5,0,0,1,1,6,7,2,1,0,0,2,2,0,2,2,3,2,1,4,2,1,4,1,1,2,0,3,8,3,1,7,2,2,4,1,12,3,1,2,3,0,2,1,1,4,0,2,1,0,3,1,0,4,7,2,3,3,3,5,0,0,4,1,4,1,0
Tirunelveli,33,628,0,0,0,0,0,0,0,0,4,8,668,4480,4702,4260,3004,2128,1469,1097,833,644,476,412,329,273,232,185,164,179,163,124,118,131,87,79,75,74,66,57,58,56,52,41,31,43,27,38,26,31,26,22,22,19,19,15,13,18,21,17,15,9,8,6,16,16,9,13,7,6,9,7,7,9,7,10,12,7,4,15,9,4,12,5,10,4,12,8,4,2,6,4,3,0,3,4,9,3,4,2,7,1,3
Udalguri,18,326,0,0,0,0,0,0,0,0,0,21,1202,3622,2578,981,376,177,75,46,24,21,17,6,3,6,6,8,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,6,38,114,875,4261,6915,4719,2011,887,440,295,165,126,96,55,59,36,26,29,20,9,13,12,10,15,9,6,10,2,8,6,5,3,6,2,1,11,1,0,1,12,2,4,0,4,0,2,6,2,0,0,4,1,0,5,0,1,2,0,1,1,2,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,0,127,12915,9893,610,96,43,36,17,10,10,10,8,9,2,1,4,0,1,0,2,0,2,4,2,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,16,759,4897,4209,1865,1076,876,626,424,329,277,207,164,115,119,82,80,90,62,70,56,50,42,45,35,41,40,25,19,18,36,40,24,17,23,13,25,17,33,22,13,15,14,15,14,17,24,14,16,6,12,17,14,10,16,14,7,12,15,10,11,5,6,7,10,6,10,8,8,12,6,13,6,12,6,9,5,3,12,4,6,5,12,5,4,5,6,8,12,4,4,3
Baramula,1,8,0,0,0,0,0,0,0,0,0,1,561,1267,425,612,776,738,757,572,493,354,326,229,233,136,112,116,102,83,62,52,46,32,33,22,26,22,13,21,14,17,21,6,15,10,7,4,13,6,9,6,3,8,2,5,6,4,7,2,8,5,1,5,7,3,6,4,8,2,3,2,4,5,2,3,4,1,1,4,3,2,2,2,4,4,1,4,2,1,4,4,2,1,2,0,3,1,0,3,0,0,1
North Tripura,16,292,0,0,0,0,0,0,0,0,1,6,95,166,482,679,266,116,85,49,18,28,18,9,2,0,1,0,6,4,6,1,6,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,1,2,26,228,1041,1777,1567,999,798,576,451,261,251,142,106,71,56,31,28,20,25,10,23,6,0,6,4,6,2,1,3,0,0,5,0,2,4,1,2,0,0,0,0,1,0,1,0,0,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,8,858,7798,2127,143,76,55,29,26,18,17,5,6,3,6,8,3,3,3,1,4,1,1,0,1,3,4,2,1,0,1,2,1,0,2,1,0,0,3,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
