,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,0,1,2,1,3,2,2,1,1,4,2,1,2,1,3,2,1,0,1,4,3,2,2,3,1,0,3,1,1,0,3,1,4,0,0,2,1,0,2,1,3,0,1,1,0,0,0,3,6,0,0,1,0,1,2,2,0,3,1,2,2,3,0,1,4,2,3,0,2,1,2,3
Tirunelveli,33,628,0,0,0,0,0,1,49,387,1878,2629,3404,4014,3171,2439,1744,1383,1045,827,618,503,386,327,270,206,203,182,149,133,113,100,103,91,65,78,77,65,34,40,42,43,32,28,24,37,26,24,26,24,21,24,16,19,29,22,16,14,15,15,5,14,22,16,14,5,6,12,11,9,7,8,10,7,4,6,4,3,8,5,6,6,6,2,5,4,7,4,2,5,5,0,4,5,4,7,8,8,6,0,6,4,6
Udalguri,18,326,0,0,0,0,0,0,0,0,0,355,1837,2136,1593,1108,744,500,307,179,119,60,50,44,32,22,14,17,7,11,11,6,5,5,3,4,2,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,11,3693,5398,3366,2222,1588,1157,943,706,512,456,343,300,227,198,151,140,96,95,94,60,44,37,38,39,27,18,22,20,23,17,8,13,9,12,6,7,8,11,7,7,4,6,9,8,3,4,2,6,1,4,6,2,0,4,3,1,4,3,1,2,3,4,2,0,2,4,2,1,0,0,1,1,1,3,0,1,3,3,1,1,0,0,2,1,2,0,0,0,0,0,1,0
West Kameng,12,246,0,0,0,0,0,0,0,0,74,14232,8569,391,145,88,53,40,39,25,19,17,20,12,8,7,10,4,9,5,3,4,0,4,1,1,2,3,1,2,0,0,0,0,1,3,4,2,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,4,1009,1383,1390,1669,1494,1226,954,856,693,577,504,474,410,365,284,276,248,214,191,201,169,143,135,136,105,115,127,104,91,96,68,82,76,60,56,70,59,51,50,66,48,26,41,36,38,36,30,34,37,40,27,34,32,29,33,25,31,20,26,20,24,19,15,19,19,19,24,22,17,19,12,13,20,15,22,16,8,14,14,16,13,6,13,11,12,12,12,17,11,14,14,13
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,284,2425,2320,1276,636,331,236,200,145,91,79,56,35,41,30,36,22,20,16,11,20,16,10,11,9,8,6,7,3,6,5,8,5,2,3,2,8,7,3,3,8,6,8,8,0,5,1,1,3,2,4,1,1,2,4,5,1,0,2,2,1,3,3,3,1,0,0,0,1,1,1,4,3,3,0,3,3,1,0,0,1,1,2,0,2,1,2,2,3,0,1
North Tripura,16,292,0,0,0,0,0,0,0,0,6,2446,2290,857,621,546,491,372,286,192,160,123,109,67,58,54,44,38,34,27,19,18,15,23,16,12,8,9,3,6,4,6,2,4,5,1,2,5,0,0,1,1,1,0,0,1,1,1,4,1,2,2,2,1,2,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,3,971,1967,721,957,992,891,676,537,401,338,283,255,181,139,104,86,59,51,56,47,41,30,22,30,24,18,13,18,14,15,14,17,12,14,13,8,12,8,7,7,3,2,5,5,1,2,5,6,3,2,1,1,2,1,3,2,2,3,4,1,2,1,2,0,0,2,0,1,5,1,0,3,1,0,1,0,0,1,2,0,3,0,0,1,0,0,0,1,0,0,1,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,2,18,5822,4729,294,112,42,51,31,19,18,17,16,6,4,7,4,2,1,4,1,4,1,1,3,4,2,2,1,3,0,1,2,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,2,348,796,705,639,511,430,352,263,202,221,148,144,115,119,62,59,60,51,53,47,34,45,25,32,20,19,25,22,24,16,19,14,13,21,9,14,11,6,4,10,11,7,5,5,5,8,7,5,5,8,9,8,5,3,2,4,5,9,5,5,4,1,5,5,4,3,3,1,3,6,5,2,3,3,3,2,3,2,1,2,2,1,6,2,3,2,1,1,1,1
