,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,6,4,4,7,3,8,8,11,7,8,7,12,10,14,14,14,6,14,20,26,35,307
Tirunelveli,33,628,0,24,2,6,4,3,6,9,16,13,25,23,42,61,61,77,132,169,224,312,287,401,437,552,591,575,673,770,902,1170,1365,1470,1545,1576,1691,1509,1417,1334,1082,981,806,705,629,574,447,405,321,329,225,220,176,170,157,164,95,97,69,72,58,63,37,37,30,36,28,31,29,25,25,15,19,58
Udalguri,18,326,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,7,6,11,23,52,73,149,238,397,622,817,940,985,972,789,632,513,464,371,277,216,159,124,109,50,46,35,22,18,11,13,5,6,1,2,3,1,0,5,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,9,46,161,459,1081,1963,2709,2785,2390,1987,1589,1220,973,851,773,569,518,421,339,276,241,182,116,128,80,74,56,44,40,24,14,19,24,22,20,8,11,6,3,6,4,6,3,1,1,0,0,0,0,0,0
West Kameng,12,246,0,215,44,42,52,74,71,104,117,181,204,274,400,499,706,898,1073,1367,1611,1911,2222,2264,2165,1897,1424,930,530,359,216,170,151,169,140,114,135,84,103,93,87,65,66,44,40,31,24,28,40,34,20,8,20,16,14,10,10,9,8,7,14,8,5,4,4,4,11,15,5,0,0,0,0,4
Surat,24,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,98,201,338,377,456,666,898,1097,1093,1201,1210,1054,869,893,844,740,580,546,544,466,375,338,294,296,249,210,188,173,160,130,135,149,114,114,111,81,86,82,79,60,96,90,120,109,123,94,429
Baramula,1,8,0,0,0,2,0,1,0,1,0,1,2,4,3,4,17,19,19,40,49,75,133,167,237,274,335,419,439,434,424,361,358,345,381,353,377,378,354,300,289,245,235,194,166,162,151,126,96,63,62,51,62,46,38,30,26,27,31,30,24,8,18,14,12,10,13,11,8,17,5,5,6,15
North Tripura,16,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,21,42,123,250,439,650,712,681,629,531,517,434,392,405,369,328,345,298,229,245,212,179,189,135,99,104,90,66,57,56,26,30,23,19,8,14,8,13,5,7,10,4,2,0,0,0,2,0,1,0,1,0,0
Kollam,32,600,0,17,1,3,2,2,0,5,10,8,11,18,24,42,40,60,63,77,139,186,214,300,376,395,474,369,313,300,307,351,387,391,454,431,476,466,436,440,407,343,323,309,223,177,167,114,106,68,47,35,45,36,27,33,24,16,12,13,4,4,2,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,36,4,8,21,14,8,11,16,17,28,41,45,51,73,107,141,191,296,389,559,793,1062,1309,1338,1242,1128,807,487,292,173,112,60,57,49,45,32,29,19,14,10,13,9,8,5,7,10,5,9,0,3,1,4,1,0,1,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
