,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Muzaffarpur,10,216,0,0,0,0,0,0,2,0,0,3,3,5,8,9,17,19,33,51,90,135,199,294,409,499,637,763,825,887,952,948,824,900,867,838,770,562,467,421,320,238,209,166,142,105,88,67,47,45,26,38,19,20,23,28,28,29,27,16,21,18,20,14,5,10,9,8,5,3,3,2,0,2
Giridih,20,349,0,921,113,131,187,195,238,306,334,390,450,471,518,641,674,714,778,850,788,834,907,891,875,858,823,787,705,678,604,568,521,425,433,391,356,283,267,220,177,147,149,105,116,88,61,52,40,39,32,36,38,34,25,16,19,19,24,8,14,20,11,16,13,12,12,10,2,4,0,1,0,8
Khunti,20,365,0,365,49,58,89,91,127,134,169,214,266,312,353,408,497,601,676,752,801,862,760,747,655,539,437,336,273,198,157,112,101,79,73,62,39,48,27,23,13,6,14,10,16,12,12,15,7,7,6,0,6,1,5,6,2,1,4,1,1,2,3,0,0,1,1,0,0,0,0,0,0,0
Jammu,1,21,0,2,1,0,0,1,0,1,0,4,4,1,1,5,7,2,3,4,6,9,28,29,42,39,67,70,116,137,152,192,208,245,280,258,316,288,308,299,320,313,335,317,317,347,337,289,338,341,334,312,275,266,254,220,176,161,148,136,96,92,73,93,65,53,72,65,62,72,54,34,25,55
Koch Bihar,19,329,0,0,0,0,0,0,0,0,0,0,1,1,0,5,7,15,19,28,39,61,90,156,269,401,609,761,1026,1314,1513,1618,1565,1352,1070,816,596,464,306,210,136,108,111,85,85,73,70,67,54,30,32,22,20,9,7,8,11,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Sultanpur,9,179,0,2,0,0,1,0,2,0,0,1,1,2,6,2,7,18,35,39,77,124,177,255,337,457,658,822,963,1160,1339,1449,1541,1471,1497,1337,1222,959,782,687,550,375,265,231,205,135,94,82,56,51,33,32,29,26,16,18,18,21,12,12,14,10,9,3,7,5,8,9,8,2,3,2,3,9
Janjgir-champa,22,405,0,0,0,0,1,0,0,1,1,1,4,0,0,3,3,2,7,10,11,22,41,36,66,103,141,213,332,455,615,757,886,1020,1093,1090,1122,1051,962,866,780,705,626,557,493,451,369,276,224,215,171,145,118,102,104,67,56,48,43,37,29,30,24,22,11,18,12,13,8,10,9,9,5,40
Jharsuguda,21,371,0,57,8,9,14,18,15,24,16,26,24,51,28,54,77,69,86,106,104,153,180,203,199,219,220,267,318,351,382,331,335,343,368,292,296,289,270,280,221,239,211,218,183,157,140,119,135,120,76,91,88,77,91,85,74,72,65,57,59,60,47,27,26,45,34,27,16,28,16,15,13,45
Lower Dibang Valley,12,258,0,1450,209,218,241,294,352,429,441,578,663,795,879,1011,1210,1357,1535,1692,1857,1687,1706,1503,1312,1014,703,461,286,139,86,54,24,14,5,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debagarh,21,373,0,1109,133,168,180,203,241,271,303,361,406,415,492,536,585,553,596,566,538,507,437,404,340,295,227,204,144,116,106,81,58,64,42,40,40,28,18,18,12,15,13,8,4,2,3,3,7,2,4,0,1,4,5,0,1,0,1,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
