,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,7,2,9,9,9,11,13,11,8,15,17,18,12,18,31,60,63,69,51,108
Tirunelveli,33,628,0,46,9,7,21,18,17,21,25,31,53,39,76,82,91,123,177,219,307,378,463,520,754,760,867,928,992,960,1055,1167,1223,1283,1217,1235,1095,942,956,913,787,666,575,520,488,436,331,369,281,259,239,154,192,142,132,103,121,73,66,49,61,68,44,47,50,43,27,22,24,23,24,33,21,71
Udalguri,18,326,0,194,18,32,36,46,36,34,35,39,64,67,57,61,90,112,94,124,165,179,183,182,204,258,265,247,301,223,239,216,208,177,182,184,142,119,104,86,65,59,39,36,16,8,7,2,16,14,5,0,0,2,4,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,375,62,57,84,64,51,70,82,131,149,109,183,222,250,309,336,400,450,565,628,764,949,1010,1168,1251,1234,1164,1223,1060,878,862,777,568,491,428,323,200,177,137,128,106,87,77,50,42,42,42,39,16,34,19,25,18,7,8,4,7,14,9,10,1,6,2,2,2,0,3,1,0,0,0
West Kameng,12,246,0,539,83,98,82,126,174,212,202,250,287,449,510,571,694,859,1056,1215,1306,1496,1562,1672,1496,1542,1353,1256,1009,736,422,227,164,83,57,44,46,29,37,23,3,15,9,14,6,9,6,11,8,4,7,9,8,3,3,1,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,23,4,5,4,4,8,15,12,26,27,26,59,37,84,84,107,157,158,185,209,224,265,277,273,352,470,658,827,956,1014,946,884,793,780,768,729,668,559,551,533,467,362,328,304,237,248,206,221,172,160,142,116,113,127,111,98,100,102,95,83,76,91,99,119,126,88,78,62,68,58,229
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,33,65,120,231,386,438,353,227,158,169,190,217,292,344,360,452,407,407,399,389,343,357,349,271,229,225,192,163,124,115,84,57,60,36,36,37,28,26,29,29,23,15,18,7,15,12,10,14,15,10,3,18
North Tripura,16,292,0,45,9,22,13,17,10,9,20,22,33,49,44,55,71,107,117,194,219,283,321,335,440,414,420,437,491,423,404,394,389,418,380,272,194,180,112,84,52,44,30,23,6,13,13,4,12,0,2,4,0,0,3,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,6,0,0,0,0,0,1,3,1,0,2,4,0,5,9,6,17,19,33,63,69,99,194,225,295,405,495,549,561,566,513,392,328,250,212,160,150,125,138,115,113,84,50,44,32,28,30,16,23,16,14,12,14,25,5,2,6,5,9,1,3,5,3,13,0,0,0,0,2,0,0
Lower Subansiri,12,255,0,478,86,78,115,106,126,150,165,184,259,254,330,389,495,454,545,594,617,625,591,551,524,439,379,308,264,156,118,94,81,48,41,33,37,19,21,5,15,4,6,2,6,2,12,5,13,5,3,2,2,1,1,0,4,0,0,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0
