,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,11,8,6,10,14,12,10,12,14,15,15,24,17,25,44,90,71,62,44,36
Tirunelveli,33,628,0,125,19,16,31,27,29,37,53,56,56,79,88,112,137,128,189,212,285,330,388,487,590,694,849,978,1050,1199,1412,1465,1473,1489,1334,1227,1180,1061,980,842,782,652,650,543,512,418,347,345,281,230,244,189,183,145,160,129,106,96,83,72,71,64,40,40,33,31,35,25,25,23,30,22,23,88
Udalguri,18,326,0,56,8,9,7,11,14,24,25,25,33,53,48,48,81,94,107,145,197,229,273,298,374,429,479,515,615,625,560,627,553,463,464,349,313,234,181,141,81,65,57,51,32,27,18,21,22,9,9,5,3,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,1372,158,164,203,201,234,221,283,307,307,335,381,432,422,506,575,566,545,545,543,507,493,454,418,372,367,358,278,287,243,227,197,156,181,141,102,102,96,86,89,107,66,29,49,31,33,26,30,25,12,31,9,16,5,1,9,7,10,6,0,7,8,1,2,0,1,0,0,0,0,0
West Kameng,12,246,0,653,94,114,132,198,220,262,297,359,470,603,703,868,995,1222,1411,1696,1806,1945,1850,1779,1638,1207,847,646,361,221,115,65,73,39,37,31,23,23,12,17,13,13,10,10,11,11,6,11,2,3,6,2,5,3,4,2,5,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,4,0,0,1,1,3,5,1,0,3,6,7,9,9,17,28,33,49,57,103,148,173,215,263,287,294,375,428,504,640,693,852,999,1063,980,903,728,584,589,511,509,480,421,426,426,384,335,312,274,242,209,203,193,190,161,138,119,146,105,116,110,117,122,96,118,137,162,115,104,97,542
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,21,32,77,111,189,257,319,301,265,182,154,168,183,182,208,311,413,431,464,516,505,467,478,387,360,280,250,182,145,111,109,76,62,37,49,42,29,19,34,21,26,26,24,12,13,10,15,11,14,10,1,1,0
North Tripura,16,292,0,543,90,82,100,99,104,115,94,142,144,213,214,238,270,247,233,310,265,291,269,250,229,215,161,182,170,128,142,122,117,101,84,100,89,89,37,47,66,67,46,55,49,21,19,23,25,24,19,16,11,9,21,10,7,11,2,4,4,1,8,5,3,0,1,0,0,0,0,3,0,0
Kollam,32,600,0,3,4,4,1,2,7,5,7,20,11,21,18,36,33,46,74,91,135,155,218,233,291,333,369,464,480,528,571,564,551,548,498,428,461,368,359,309,303,249,262,163,127,114,113,74,52,51,50,54,37,31,24,8,8,9,7,8,4,4,2,0,0,0,0,2,0,0,0,0,0,0
Lower Subansiri,12,255,0,270,43,61,54,79,80,97,123,134,193,199,260,352,466,508,617,672,797,817,827,774,813,625,484,426,320,201,125,124,78,52,27,30,28,22,11,12,16,11,12,9,17,12,2,10,4,4,6,4,7,1,0,3,1,3,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0
