,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,7,3,3,4,4,4,9,8,12,10,15,13,14,12,16,413
Tirunelveli,33,628,0,476,43,53,74,98,71,104,120,141,165,145,205,255,250,286,291,356,337,390,452,501,524,562,627,629,710,741,791,877,989,980,943,961,925,859,886,769,657,556,447,423,335,315,257,215,205,180,184,131,93,103,97,87,77,52,46,54,36,51,45,24,43,39,25,30,23,12,10,11,3,25
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,13,32,43,68,99,114,136,154,175,230,254,338,406,461,556,652,665,702,662,600,598,485,376,301,254,180,124,112,87,68,49,47,20,17,17,24,9,10,11,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,21,10,11,7,7,19,28,28,60,68,92,152,230,308,445,570,805,1067,1264,1442,1485,1509,1449,1313,1328,1150,939,883,789,688,633,491,466,370,325,309,229,177,144,165,129,115,84,60,52,55,38,32,31,20,25,16,20,25,15,9,14,9,5,8,0,3,4,1,5,1,0,0,0,0,0
West Kameng,12,246,0,51,4,4,14,5,10,23,24,51,45,72,137,194,302,482,857,1365,1819,2597,3008,3184,2915,2243,1641,1051,520,299,152,107,79,50,60,45,46,31,29,27,29,29,15,21,10,14,15,18,12,9,8,11,10,13,7,10,11,3,1,5,2,1,2,3,1,0,0,1,0,0,0,0,0,0
Surat,24,492,0,25,2,3,7,11,11,14,14,18,24,30,34,64,76,75,96,119,112,133,120,179,174,202,216,262,343,453,505,586,744,825,867,869,772,768,751,710,685,628,560,541,483,394,413,386,321,306,247,230,205,198,164,163,150,170,154,128,129,123,100,112,89,92,79,91,89,72,91,116,135,628
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,14,42,60,161,242,333,383,402,329,268,288,350,322,372,414,408,404,381,370,355,341,325,290,256,203,188,169,158,125,92,78,56,50,38,25,31,29,25,26,20,33,16,25,19,17,11,16,5,6,10,6,4,1
North Tripura,16,292,0,28,4,10,20,11,24,21,43,41,59,101,113,126,185,247,287,341,373,421,389,403,358,281,278,226,213,216,211,240,201,205,213,162,168,203,167,172,189,174,177,156,175,167,150,128,115,123,113,112,89,71,48,51,34,42,24,21,13,13,12,5,3,12,3,7,3,9,5,3,2,3
Kollam,32,600,0,367,33,59,66,50,55,72,91,93,89,125,135,144,155,183,205,181,187,214,199,211,202,227,225,256,260,292,346,312,283,281,274,247,244,260,204,199,182,206,181,121,112,94,77,54,35,42,37,45,28,25,16,18,21,6,5,10,5,13,9,9,8,1,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,147,45,36,64,66,103,105,159,187,269,322,457,575,812,885,1166,1138,1108,1066,760,496,341,176,110,83,67,38,39,30,29,38,24,14,22,18,21,10,20,9,10,6,11,13,8,13,12,7,4,6,5,3,0,4,4,2,0,4,2,1,2,1,1,1,0,0,0,1,0,2,1,1
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,73,127,163,170,269,256,369,393,322,368,352,329,311,275,268,244,219,198,189,181,124,113,93,74,76,69,47,48,39,36,26,23,21,25,20,9,68
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,17,13,26,46,48,46,51,54,54,61,78,86,108,120,123,147,145,155,174,188,214,209,262,257,237,212,213,227,161,175,175,168,160,125,109,118,98,85,105,88,99,71,71,70,61,65,55,44,42,45,22,31,22,13,64
Mirzapur,9,199,0,181,36,47,72,92,92,123,163,197,288,325,420,459,577,629,639,693,764,696,702,562,595,593,624,590,592,560,549,537,560,555,509,514,502,488,426,467,426,403,314,284,258,245,222,195,178,166,142,97,89,69,51,41,51,33,27,26,21,28,21,16,6,19,5,10,9,8,12,8,6,51
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,20,25,77,110,214,335,517,749,850,988,1065,1034,1122,1125,1028,936,783,741,628,509,363,298,256,165,164,132,117,81,69,75,60,51,42,38,36,34,38,27,13,23,17,14,8,10,4,8,5,6,9,7,4,5,22
Bikaner,8,101,0,63,7,10,11,17,14,21,17,43,51,66,95,138,239,333,534,869,1570,2706,4312,6647,10051,12936,13939,12431,10142,8418,7438,6672,6229,5515,4767,3977,3143,2390,1955,1553,1171,889,801,660,555,479,432,388,343,290,252,214,197,174,145,103,120,87,84,83,87,68,58,62,54,44,36,33,28,36,30,30,31,206
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,4,2,1,0,7,4,5,0,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
