,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,5,5,6,7,7,15,9,19,9,18,12,10,14,23,28,38,86,227
Tirunelveli,33,628,0,40,4,4,6,7,7,18,16,26,33,44,60,65,81,139,146,221,291,347,432,523,515,572,603,628,762,864,1042,1062,1312,1302,1292,1305,1299,1246,1209,1126,1025,866,809,726,702,585,551,413,390,383,320,249,245,240,179,177,140,137,106,100,88,60,55,53,60,46,43,30,32,36,28,20,26,95
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,18,29,54,108,146,238,241,325,449,544,677,766,926,1065,969,707,551,368,266,192,143,107,73,58,47,33,17,12,9,9,3,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,9,13,33,98,186,366,699,1145,1667,2096,2340,2290,2055,1796,1469,1085,879,712,608,447,409,321,263,228,172,135,126,102,83,64,70,43,34,27,21,23,19,27,11,19,12,10,8,9,7,4,3,2,3,3,0,2,0,0,0,0
West Kameng,12,246,0,2,1,0,2,1,1,2,3,9,18,36,54,101,165,347,645,1076,1686,2505,3138,3343,3232,2573,1829,1192,685,402,191,118,75,63,53,35,25,22,20,21,17,8,12,7,13,10,14,9,12,8,5,6,0,4,4,2,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,11,17,44,89,198,331,496,581,804,1159,1270,1318,1256,1172,988,834,748,643,607,524,490,389,396,369,305,252,227,212,190,177,184,137,175,132,133,133,112,90,98,76,106,76,103,85,98,130,132,106,93,387
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,7,17,21,35,60,151,183,275,390,393,368,321,254,274,317,320,350,309,356,334,353,358,325,299,297,288,309,246,197,201,160,126,99,84,77,65,53,51,30,27,41,21,21,25,20,16,14,13,14,13,6,3,5,3,0,0,0
North Tripura,16,292,0,1,0,0,2,1,0,0,0,0,2,3,3,4,10,8,31,68,158,264,455,672,835,853,712,537,395,314,313,255,245,247,253,201,204,201,201,190,162,180,159,124,131,97,104,76,68,48,46,49,40,11,12,10,4,11,4,6,6,5,2,10,5,1,5,1,0,0,0,0,0,0
Kollam,32,600,0,46,6,7,12,8,15,11,14,15,20,34,35,35,63,70,115,133,196,216,253,341,358,381,393,381,383,364,384,406,466,453,435,425,424,365,311,334,319,293,262,237,201,171,123,103,80,65,62,45,45,34,29,31,15,22,7,6,13,8,1,6,7,5,3,2,1,0,0,0,0,0
Lower Subansiri,12,255,0,31,4,7,11,12,15,14,36,44,56,108,140,234,352,468,650,1000,1275,1406,1380,1268,903,604,378,211,128,71,55,51,34,29,25,28,32,21,19,15,14,14,9,10,8,9,8,7,1,2,2,6,2,4,3,1,2,0,1,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0
