,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,5,4,5,7,9,15,10,10,6,12,7,14,13,19,19,19,33,64,76,64,134
Tirunelveli,33,628,0,11,1,3,5,6,5,9,10,18,18,21,43,57,83,116,155,198,248,333,421,533,580,611,615,630,722,825,965,1123,1282,1366,1473,1483,1417,1369,1238,1165,1016,929,833,703,624,569,445,458,370,305,317,248,240,175,173,140,146,114,92,94,65,71,51,45,30,38,32,35,18,28,20,22,18,73
Udalguri,18,326,0,151,19,23,29,26,36,41,48,50,60,66,75,102,113,115,162,165,227,227,307,381,445,445,539,538,555,593,591,540,474,407,347,274,180,137,114,80,58,51,34,23,15,16,10,10,6,1,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,9,2,2,4,3,10,4,11,9,21,23,51,63,92,144,221,343,502,828,1009,1427,1574,1828,1852,1848,1576,1271,1131,906,780,719,587,519,478,382,364,307,262,198,158,118,106,98,66,62,47,28,34,25,29,18,11,21,18,12,12,6,9,3,3,4,5,4,2,0,0,0,0,0,0,0
West Kameng,12,246,0,1361,142,198,218,233,278,287,355,430,507,592,681,772,910,973,1127,1183,1440,1419,1429,1403,1302,1187,1007,801,519,344,186,114,53,49,34,27,31,29,18,15,15,11,12,11,20,10,18,7,8,6,3,7,2,6,4,3,3,7,5,4,0,0,1,0,1,3,0,0,0,4,0,0,0,0
Surat,24,492,0,0,0,0,0,0,1,0,0,0,2,2,2,6,9,14,23,39,43,90,86,108,125,163,195,250,289,336,455,633,781,863,938,912,997,976,920,834,771,725,660,580,474,496,376,364,333,267,256,241,236,182,155,151,168,145,125,117,128,108,89,84,71,93,98,90,94,108,124,129,102,455
Baramula,1,8,0,1,0,1,0,0,0,0,0,0,2,1,0,0,7,3,7,15,22,37,53,79,128,146,232,278,333,327,349,331,282,263,291,289,341,392,349,357,358,327,330,292,275,256,255,221,212,186,153,143,95,79,62,51,35,42,34,35,15,23,19,27,31,17,16,10,11,13,12,7,16,29
North Tripura,16,292,0,93,17,14,11,22,24,33,33,36,45,63,91,92,134,173,197,273,330,359,454,477,534,520,556,461,391,374,338,305,246,241,211,245,194,147,131,145,153,109,111,98,68,64,59,45,38,23,29,17,18,13,14,15,3,3,4,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,15,7,0,5,8,4,2,6,2,16,14,21,26,35,60,76,85,115,156,185,308,394,437,476,473,522,539,476,506,535,493,490,381,403,385,366,320,312,272,227,176,111,129,95,71,62,45,44,34,30,26,25,18,19,8,8,6,4,3,5,2,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,667,62,96,81,102,130,144,159,172,232,268,272,323,381,464,468,516,528,617,577,606,535,447,341,261,126,106,46,49,52,37,26,27,29,18,22,21,13,9,8,9,6,7,7,11,7,11,4,3,1,2,0,2,3,2,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,44,107,210,330,455,500,456,466,418,388,356,336,292,244,232,191,168,136,97,85,68,62,49,38,42,38,36,20,35,16,15,16,11,8,8,4,8,9,3,0
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,14,15,31,39,44,76,88,142,190,207,214,236,253,243,312,300,304,279,299,231,255,188,217,167,165,134,142,125,91,102,102,107,66,66,48,54,57,51,42,40,33,40,17,19,10,13,13,7,4,16
Mirzapur,9,199,0,1,0,0,1,0,3,3,6,8,9,19,21,47,65,100,154,272,391,510,644,805,894,904,801,860,807,814,809,832,821,749,743,701,651,647,587,588,596,539,495,472,359,337,287,228,190,198,151,171,167,124,98,79,32,36,22,17,19,14,15,7,7,10,13,7,9,9,11,10,8,6
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,36,92,172,267,392,479,518,549,649,746,824,1033,1061,1141,1184,1096,1076,852,753,570,403,303,210,131,99,74,62,46,44,43,26,20,19,14,12,10,8,7,9,6,2,5,4,1,0,0,0
Bikaner,8,101,0,163,41,55,84,66,122,190,257,354,548,748,1047,1502,2122,3028,4109,5437,6739,8506,9467,10459,10469,10038,8885,7775,7090,6515,5509,4898,4010,3113,2439,1801,1467,1195,1057,801,618,604,482,449,362,334,307,235,228,194,194,166,156,130,87,93,87,80,75,70,54,62,51,44,39,42,36,28,43,33,37,28,26,63
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,35,27,26,24,13,29,23,26,28,26,32,39,34,52,47,44,51,43,529
Tiruvannamalai,33,606,0,65,17,15,17,7,16,21,29,37,40,55,74,93,106,108,144,200,226,281,318,412,508,557,632,709,835,987,1126,1252,1418,1565,1521,1635,1586,1383,1224,1117,906,787,649,509,413,324,267,233,198,136,121,98,65,63,49,43,42,26,28,22,25,12,16,9,8,4,2,8,6,6,4,1,6,23
Udupi,29,569,0,39,3,9,21,16,22,12,30,30,29,42,62,76,149,140,165,238,314,372,484,616,624,757,790,940,1030,1048,1078,1026,916,832,677,532,401,368,299,252,192,124,116,110,73,66,55,58,42,39,27,29,22,29,26,16,18,10,8,13,5,11,3,1,2,2,7,1,2,1,0,0,0,1
Bellary,29,565,0,107,14,17,31,31,53,27,75,74,98,113,152,192,265,284,403,520,566,755,884,1251,1431,1525,1694,1815,1875,1774,1607,1590,1359,1299,1215,1067,890,770,748,584,519,490,446,413,391,370,284,320,270,235,204,203,169,162,142,123,127,123,93,71,66,65,59,42,41,42,58,35,34,20,30,20,24,143
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,30,58,107,179,249,279,309,378,525,629,786,816,981,1086,1112,1048,1021,961,973,881,760,679,576,519,401,289,283,227,211,159,167,131,114,100,74,75,65,58,61,52,44,59,55,47,50,45,55,60,317
Jamui,10,238,0,0,0,0,0,1,0,1,0,1,3,3,9,12,35,51,104,164,289,463,771,1132,1435,1603,1492,1205,1071,774,612,497,385,318,234,194,139,95,71,54,53,35,35,21,18,14,9,11,14,3,6,4,4,4,6,6,5,4,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Harda,23,448,0,48,10,5,19,15,16,35,65,55,78,91,143,165,228,305,311,370,442,399,456,447,369,347,347,424,586,734,861,919,951,821,771,572,496,398,341,261,236,186,163,152,119,99,65,66,65,49,35,35,37,32,23,23,10,12,12,11,7,10,4,8,9,1,1,3,2,1,2,4,1,1
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,55,135,217,240,307,315,397,508,553,505,489,457,471,493,494,448,422,368,324,310,266,257,265,212,183,149,126,109,92,93,76,76,56,63,66,46,56,72,29,26,19,18,10,9
Gondiya,27,507,0,9,1,3,5,5,1,3,16,16,13,24,37,58,67,133,242,360,627,851,1222,1507,1735,1781,1741,1605,1408,1199,1163,1056,984,871,753,646,566,445,407,330,319,213,179,161,123,121,84,79,60,42,46,36,21,20,25,20,18,12,17,11,5,10,9,4,7,4,3,3,3,3,4,4,0,21
Hailakandi,18,318,0,321,38,44,60,78,79,70,96,113,123,117,157,140,197,215,224,228,208,271,240,275,253,250,202,186,167,145,139,107,71,52,54,41,38,27,12,8,18,12,11,7,9,5,3,6,4,2,0,1,3,1,4,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,1812,228,259,330,351,383,473,556,697,799,846,953,1058,1125,1126,1117,1189,1107,947,826,620,441,316,201,142,87,59,60,43,38,31,15,27,10,14,15,21,10,18,8,10,9,4,4,9,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopal,23,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,10,32,62,107,165,218,306,382,457,479,555,563,590,516,495,493,480,477,416,377,350,348,283,314,294,287,228,228,210,197,159,134,117,103,95,117,101,92,66,69,61,77,70,75,64,49,65,68,47,64,62,248
