,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Khagaria,10,223,0,0,0,0,0,0,0,0,0,0,0,3192,2542,327,187,97,71,55,32,25,12,15,9,10,9,3,5,2,2,3,3,0,0,1,0,2,2,2,1,2,3,0,0,0,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valsad,24,491,0,0,0,0,0,0,0,0,0,0,77,3157,2447,1653,1116,737,505,353,286,274,230,214,152,137,139,135,113,97,79,68,54,47,30,44,30,19,30,37,25,21,26,27,20,16,11,12,18,12,13,16,11,13,9,11,10,8,3,3,9,6,6,6,5,7,10,4,5,10,6,4,10,5,5,4,8,8,3,3,2,1,5,5,3,1,1,6,1,7,0,2,5,2,9,1,2,3,4,3,2,4,2
Bhandara,27,506,0,0,0,0,0,0,0,0,0,0,128,5730,4973,2086,1020,639,412,285,215,164,122,121,88,75,59,57,35,41,29,29,22,22,22,21,16,10,11,6,17,10,10,9,6,9,8,11,10,7,4,6,2,4,4,4,2,2,3,2,4,1,3,5,4,0,2,0,5,0,2,2,2,0,1,2,1,0,0,3,3,0,2,0,1,0,1,0,0,2,0,1,3,0,2,3,0,1,0,0,0,2,1
Moga,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,12,370,1619,1847,1358,964,741,516,461,356,281,225,223,177,162,143,123,103,100,67,74,76,54,68,61,44,44,36,33,42,36,33,24,22,26,22,16,15,15,20,17,15,10,10,7,12,14,12,11,10,11,12,8,3,8,11,6,8,8,5,5,5,7,3,4,4,3,1,4,2,2,1,5,4,4,5,3,1,2,2,2,1,3,2,2,0,4,1
Ratlam,23,434,0,0,0,0,0,0,0,0,0,0,0,1010,6000,5717,3310,1726,882,565,373,263,236,148,109,85,88,57,44,38,36,36,24,20,21,13,12,9,10,14,9,10,11,10,12,6,8,5,7,5,8,5,8,9,6,10,3,4,2,5,3,6,1,0,2,2,2,2,2,5,2,0,1,0,0,1,0,3,0,1,2,2,1,1,1,1,3,2,0,2,1,0,3,3,2,2,1,0,0,0,1,1,1
Jaisalmer,8,114,0,0,0,0,0,0,0,0,0,1,11,49337,112988,5388,1369,675,426,360,248,243,185,150,161,154,124,127,109,98,87,93,89,70,77,64,51,50,47,45,48,45,25,27,25,22,23,15,16,18,7,4,12,10,16,4,4,8,8,4,1,3,8,5,2,5,3,4,3,5,9,3,2,7,2,2,5,6,4,4,0,3,2,5,1,2,2,2,3,3,0,2,2,0,0,2,1,1,2,3,1,2,1
Kurukshetra,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,583,714,700,583,479,424,324,316,258,241,203,214,154,159,121,115,102,106,86,90,85,79,60,64,55,49,31,30,30,29,29,22,28,23,23,20,27,20,18,21,17,21,8,5,6,13,7,7,12,11,10,5,8,8,5,9,5,4,4,6,6,5,5,4,6,2,7,3,2,4,4,2,2,4,5,2,4,1,4,4,10,2,2,0,2
Kupwara,1,1,0,0,0,0,0,0,0,0,0,0,0,77,2952,3904,995,617,377,262,146,103,66,54,36,24,17,18,11,7,6,9,12,2,6,7,6,4,4,3,3,3,1,6,1,2,2,3,0,3,4,0,1,1,2,2,2,1,2,4,2,1,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doda,1,16,0,0,0,0,0,0,0,0,0,0,0,5,2617,4056,1018,572,439,270,209,126,98,77,53,41,38,19,32,23,29,13,11,10,10,8,9,6,9,4,4,5,3,6,7,10,2,4,8,6,3,3,5,4,5,1,5,2,0,2,2,2,3,0,3,0,1,1,0,0,0,2,0,1,0,0,2,1,2,1,0,0,0,1,2,3,1,3,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1
Kargil,1,4,0,0,0,0,0,0,0,0,0,0,0,231,15271,43318,10651,1933,341,91,34,22,15,12,3,8,5,7,5,1,6,3,3,1,3,1,3,3,3,4,2,1,2,0,1,0,1,1,1,0,1,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
