distName,st_cen_cd,censuscode,SOL_14,SOL_15,SOL_16,SOL_17,SOL_18
The Nilgiris,33,611,2366.3699,3912.461,3059.6401,4688.92,4530.96
Coimbatore,33,632,23884.756,24471.262,27506.98,30261.47,29746.71
Nalanda,10,229,11740.002,16291.145,14938.536,16947.95,21602.74
Godda,20,351,4822.2974,5289.843,4642.2095,7729.1606,8861.52
Chikmagalur,29,570,5198.8965,8622.232,5913.176,11710.1,13087.43
Kanpur Nagar,9,164,31369.95,40984.67,34881.43,44323.562,46982.613
Farrukhabad,9,159,4781.8755,6194.015,8346.024,10038.859,10907.14
South Goa,30,586,9953.601,7695.5977,9629.617,12571.47,10523.63
Varanasi,9,197,18571.033,24356.566,18908.078,27279.62,28295.84
Kolar,29,581,13620.004,17697.604,18064.07,22056.49,22199.27
Uttar Dinajpur,19,330,13228.096,14952.455,11707.428,14422.109,15784.32
Mon,13,261,1822.5758,2078.155,779.71423,2403.4,2021.4698
Madurai,33,623,10323.781,13964.775,12520.753,16148.609,16849.531
Mahamaya Nagar,9,144,13322.114,16457.996,13521.111,15693.069,16091.801
Sirohi,8,117,10557.898,11474.602,8284.982,12705.67,13649.879
Auraiya,9,162,15106.061,19665.805,21725.768,21178.47,20990.36
Jagatsinghapur,21,380,11733.025,31075.562,24515.828,19108.68,21308.771
Upper Siang,12,252,3776.874,6410.499,-537.4326,4068.27,3781.7402
Gulbarga,29,579,29151.607,31031.1,25786.15,34491.902,32186.86
Umaria,23,431,4729.61,5889.2363,3479.0518,8282.26,7567.8203
Jaipur,8,110,121307.18,126766.25,100801.734,98267.94,115187.13
Pithoragarh,5,62,11766.016,12331.046,6063.269,11283.15,9771.4
Reasi,1,20,6834.521,5698.6104,5934.7954,7714.8203,6488.34
Kohima,13,270,3329.3372,3544.3066,2263.3152,3159.1597,3148.75
Sirmaur,2,32,6118.5454,6069.7783,4046.6455,6181.49,6130.66
Saharsa,10,214,7013.9385,9129.856,7169.0645,8253.04,10383.65
West,11,242,2071.2383,1848.7313,912.9534,1795.6799,1612.01
Malappuram,32,592,2313.7876,3928.995,2926.0552,6884.91,7445.7803
Viluppuram,33,607,16894.371,16380.166,17254.2,21980.648,21262.79
Tapi,24,493,6268.1685,7020.7876,5116.0703,7851.46,8821.9
West Godavari,28,546,18335.387,19384.543,17060.305,25080.617,29636.121
Madhepura,10,213,6218.2725,8629.167,8023.87,9373.26,11886.1
Saraikela-kharsawan,20,369,13412.994,13600.211,11751.179,16138.44,16242.0205
Tiruppur,33,633,16152.857,18147.21,18420.088,22333.5,22619.68
Mayurbhanj,21,376,13298.254,15846.539,8555.249,17530.84,14819.31
Barnala,3,54,7420.536,7254.834,6135.823,6613.3994,8151.13
Dakshin Bastar Dantewada,22,416,2860.342,5788.776,1268.0204,9428.511,8409.56
Budaun,9,149,14193.493,22291.809,20452.318,25785.04,25095.66
Ukhrul,14,279,1398.6074,2392.8044,340.43665,3933.2603,3315.0098
Krishnagiri,33,631,9581.291,12563.947,12487.205,17872.28,17783.791
Hugli,19,338,21278.566,20549.65,18631.398,23355.469,24284.8
Hanumangarh,8,100,17742.738,17488.365,10927.562,18260.58,19114.361
Muzaffarpur,10,216,10210.929,16415.746,15583.064,20534.1,29292.42
Giridih,20,349,10698.589,11557.734,10642.26,16148.781,17866.63
Khunti,20,365,2214.2344,2722.843,1262.993,3625.2402,3903.5903
Jammu,1,21,39129.42,42164.926,37810.55,34344.957,37248.78
Koch Bihar,19,329,13529.962,13077.636,10494.27,12248.05,14426.71
Sultanpur,9,179,18950.342,17636.543,22530.2,29712.098,27516.77
Janjgir-champa,22,405,31832.943,24843.549,21823.174,25171.129,23929.05
Jharsuguda,21,371,15162.894,15681.66,13642.473,15593.369,14716.95
Lower Dibang Valley,12,258,2908.4873,5281.0205,178.2209,3707.78,3504.45
Debagarh,21,373,1681.2218,2811.3787,692.9566,2972.42,2662.91
Udham Singh Nagar,5,67,30341.893,28621.152,25141.322,28191.48,28437.672
Murshidabad,19,333,25586.617,24904.568,23263.387,28397.723,27691.94
Ludhiana,3,41,36806.336,40501.184,33619.785,35535.34,43377.832
Dimapur,13,265,7597.711,6764.254,6150.886,5780.4697,6814.3394
Y.s.r.,28,551,11745.741,15960.221,10697.927,23939.41,28632.607
