,Month,MSW_2011,BF_2011,MSL_2011,FC_2011,CHH_2011,numEMP_2011
0,normal_viirs_India_2013-03-01_2013-03-31_500_log,0.611704942024091,0.6437074829931972,0.589731977559028,0.6522616616004906,0.5685480339883908,0.6216150706427732
1,normal_viirs_India_2013-08-01_2013-08-31_500_log,0.591323028067062,0.6257063121380568,0.5549498606789722,0.6581771720378888,0.5107438408030903,0.6218537159416864
2,normal_viirs_India_2013-05-01_2013-05-31_500_log,0.5906961324179867,0.6375244941402917,0.5650997084688842,0.6844208676587646,0.5595324119986158,0.6967062633284777
3,normal_viirs_India_2013-09-01_2013-09-30_500_log,0.651101130458064,0.6105919837070631,0.646270079603413,0.672025045132223,0.5807919160378178,0.6795737387286683
4,normal_viirs_India_2013-11-01_2013-11-30_500_log,0.6658256556147333,0.6608201696697272,0.6392658668013964,0.6948136796379891,0.6044817167132759,0.6932196747011561
5,normal_viirs_India_2013-04-01_2013-04-30_500_log,0.6184057991420499,0.6588717376179151,0.5552969419145103,0.7016873493063971,0.5447649754118471,0.6813827452235309
6,normal_viirs_India_2013-01-01_2013-01-31_500_log,0.616065895936274,0.6342002562476567,0.5457264259162873,0.6264753322744002,0.5137185945569178,0.6181641893712195
7,normal_viirs_India_2013-07-01_2013-07-31_500_log,0.5774659452078807,0.6130931666353783,0.5405614977260986,0.6333672357832022,0.41953165167450873,0.610316020838617
8,normal_viirs_India_2013-02-01_2013-02-28_500_log,0.623951634746299,0.6348756330598839,0.5758292581659609,0.645099833644405,0.5657487077529161,0.6771561159268015
9,normal_viirs_India_2013-12-01_2013-12-31_500_log,0.6501312058892839,0.6933673907800636,0.6205321697434705,0.6646913580246914,0.558768710828636,0.670579326738747
10,normal_viirs_India_2013-10-01_2013-10-31_500_log,0.6227464259747981,0.6477329840310451,0.6701395610659868,0.6765778414953827,0.5934041689812353,0.7167752609887705
11,normal_viirs_India_2013-06-01_2013-06-30_500_log,0.5661732373909871,0.6441728463068949,0.5805339463327248,0.6548827656764165,0.5056865319037605,0.5853909465020576
