,Month,MSW_2011,BF_2011,MSL_2011,FC_2011,CHH_2011,numEMP_2011
0,normal_viirs_India_2013-02-01_2013-02-28_500,0.6354981151492779,0.6175834326672665,0.5056719882116707,0.6420025357813375,0.540525060988466,0.6092123686243736
1,normal_viirs_India_2013-01-01_2013-01-31_500,0.5989513479497708,0.6182061488563038,0.5614590060652024,0.6206422353887792,0.5131341212721133,0.6473211391954621
2,normal_viirs_India_2013-03-01_2013-03-31_500,0.5687818241489159,0.634331801092575,0.5213993076143296,0.664538080390055,0.5406055414207471,0.6123679375711897
3,normal_viirs_India_2013-08-01_2013-08-31_500,0.5547698559684513,0.5860504390357956,0.5636651544243836,0.6443209752759016,0.5584896100017067,0.6457541956283279
4,normal_viirs_India_2013-06-01_2013-06-30_500,0.517822195445614,0.5900100781053161,0.5127292973625577,0.6524957025459023,0.5199012101853884,0.6083629669897989
5,normal_viirs_India_2013-12-01_2013-12-31_500,0.6319973102581798,0.6067276946285245,0.6033078259163384,0.6532292906921493,0.5758672372495639,0.6390675078984431
6,normal_viirs_India_2013-05-01_2013-05-31_500,0.6314761386813597,0.6236804131540974,0.5392635650779658,0.7027336860670194,0.5407980392913669,0.6719050879438117
7,normal_viirs_India_2013-11-01_2013-11-30_500,0.6149689293410258,0.591731522694873,0.566285030053146,0.680701910393787,0.5134850679728514,0.6629340922750845
8,normal_viirs_India_2013-09-01_2013-09-30_500,0.6305403764420159,0.5728267425491103,0.5473976241641889,0.6330605919727259,0.5656920422974522,0.6629731262209895
9,normal_viirs_India_2013-10-01_2013-10-31_500,0.5992508568011924,0.6054644402044232,0.5524847874054223,0.6964344842447818,0.5495932620759398,0.7037581831447866
10,normal_viirs_India_2013-04-01_2013-04-30_500,0.5304321192475561,0.6290877912406511,0.5065391049323397,0.6483053368770487,0.5166160266345265,0.6396516974253754
11,normal_viirs_India_2013-07-01_2013-07-31_500,0.5049920553016529,0.5826527093548935,0.5283683902123619,0.6361687025061511,0.45569400143449945,0.6326098933501446
