,Month,MSW_2011,BF_2011,MSL_2011,FC_2011,CHH_2011,numEMP_2011
0,corrected_viirs_India_2014-07-01_2014-07-31_500,0.6079743087294115,0.6237819808898755,0.5580549417830222,0.6516384697454656,0.5043386703924188,0.6466085015286532
1,corrected_viirs_India_2014-10-01_2014-10-31_500,0.622249300922618,0.5807485826667412,0.6018361448930464,0.6865543488350505,0.5244963324885352,0.6697137240663779
2,corrected_viirs_India_2014-05-01_2014-05-31_500,0.6321051667317833,0.6023541711947702,0.5680400106170415,0.6494415327669933,0.5594697429670108,0.6372440855563218
3,corrected_viirs_India_2014-02-01_2014-02-28_500,0.6118525332210806,0.6462293443890693,0.539182833627278,0.6566068851783138,0.4959218489680206,0.6354900226147587
4,corrected_viirs_India_2014-09-01_2014-09-30_500,0.6329764850575039,0.6376937885090059,0.5385927297733694,0.707602378762386,0.5789332918546402,0.6676289104010524
5,corrected_viirs_India_2014-04-01_2014-04-30_500,0.6150265635360487,0.6378506165740209,0.5440817862643497,0.6363480448312169,0.5219302963350582,0.6347472658507578
6,corrected_viirs_India_2014-06-01_2014-06-30_500,0.5676532639883425,0.5786284045131367,0.5360305283883225,0.6040207828883498,0.520289728161641,0.6328707081816121
7,corrected_viirs_India_2014-12-01_2014-12-31_500,0.6221150822764909,0.6451435888055607,0.5830341757818496,0.6511711083492024,0.5427718181845356,0.6784809005867152
8,corrected_viirs_India_2014-01-01_2014-01-31_500,0.605882282655451,0.6242487861434592,0.5254051815849569,0.6443785118228402,0.5282519609438937,0.6444871857045723
9,corrected_viirs_India_2014-03-01_2014-03-31_500,0.6348330060650156,0.6449041190799109,0.5073172641129283,0.6289122660911138,0.5278432397804954,0.6273909552874147
10,corrected_viirs_India_2014-11-01_2014-11-30_500,0.644964019015734,0.6249667584619998,0.5759127355898195,0.6589288309922879,0.5894779179868821,0.6254200625481668
11,corrected_viirs_India_2014-08-01_2014-08-31_500,0.6347272632389397,0.6178614866491764,0.5126972697689024,0.6373163683544801,0.5248315062461448,0.6223734447529526
