,Month,MSW_2011,BF_2011,MSL_2011,FC_2011,CHH_2011,numEMP_2011
0,corrected_viirs_India_2014-01-01_2014-01-31_500_log,0.6337543150128649,0.6718260716985207,0.5449067951224984,0.6883504969994361,0.5973233689337535,0.6473586198982602
1,corrected_viirs_India_2014-03-01_2014-03-31_500_log,0.6210432593411316,0.7238941374328413,0.5323201920106916,0.6862745098039215,0.5546284408160657,0.6596660785759785
2,corrected_viirs_India_2014-08-01_2014-08-31_500_log,0.6311465600939286,0.6175286178164042,0.5718161039536226,0.6661965905663384,0.4463636064603138,0.653812272546931
3,corrected_viirs_India_2014-05-01_2014-05-31_500_log,0.6232122271627459,0.6305585721810582,0.5695214609387949,0.6381254019247625,0.5622593511846358,0.6162733454249917
4,corrected_viirs_India_2014-04-01_2014-04-30_500_log,0.6456662706662706,0.6689705031810295,0.5159837238311865,0.6664151445908975,0.5300922220363681,0.6266886253798392
5,corrected_viirs_India_2014-09-01_2014-09-30_500_log,0.6615672177075685,0.6304219801127998,0.6067326948167547,0.7140244791873865,0.6100332903816561,0.6777443819300324
6,corrected_viirs_India_2014-06-01_2014-06-30_500_log,0.5756613756613755,0.6156328848708553,0.5248674686763324,0.6366979907812907,0.529524514208199,0.6538297470288352
7,corrected_viirs_India_2014-07-01_2014-07-31_500_log,0.6114369061451531,0.6400495733829068,0.5491006719195138,0.6890752832781818,0.5809688092118306,0.6258255942067434
8,corrected_viirs_India_2014-10-01_2014-10-31_500_log,0.6266125150728172,0.6155362854361603,0.6249660676696006,0.6939697172255311,0.520139141084184,0.7148085629067107
9,corrected_viirs_India_2014-02-01_2014-02-28_500_log,0.6560934744268078,0.6804804270277417,0.5514495670371876,0.6981534775249522,0.5210103406316388,0.6740916162198671
10,corrected_viirs_India_2014-11-01_2014-11-30_500_log,0.6281712476341008,0.6365821522407413,0.5342183734874676,0.6694326039594581,0.5397523745951053,0.6653446346032241
11,corrected_viirs_India_2014-12-01_2014-12-31_500_log,0.6713063068526124,0.6815027430969459,0.6293079990810555,0.6455735499014384,0.5598931808058479,0.6982497015719606
