State,District,Name,sureDoubtfulNegativeMaskSum,unsureDoubtfulMaskSum,slopePositive,slopeNegative,stderrSum,stderrMedian,stderrMean,confidentForPositive
33,628,Tirunelveli,2,2,0,4,0.6703666901,0.1176814316,0.1117277817,0
9,137,Jyotiba Phule Nagar,2,1,1,3,0.5337778819,0.1168986793,0.08896298032,0
13,268,Longleng,4,1,0,5,0.6950421818,0.1168986793,0.1158403636,0
20,357,Purbi Singhbhum,1,1,2,2,0.5444408502,0.1168986793,0.09074014169,0
21,378,Bhadrak,1,2,2,3,0.7682104391,0.1168986793,0.1280350732,0
1,2,Badgam,2,1,1,3,0.643397782,0.1160576915,0.1072329637,0
12,256,Kurung Kumey,3,2,0,5,0.806924542,0.1140824409,0.1344874237,0
10,238,Jamui,0,2,4,1,0.7813192088,0.1140574363,0.1302198681,0
9,139,Baghpat,3,2,0,5,0.7619995938,0.1129836177,0.1269999323,0
9,146,Agra,2,1,2,3,0.6490958068,0.1129836177,0.1081826345,0
9,182,Balrampur,2,2,1,3,0.7026725782,0.1129836177,0.1171120964,0
10,235,Aurangabad,1,2,2,2,0.7123532081,0.1129836177,0.1187255347,0
15,287,Lawngtlai,3,1,0,4,0.6937837925,0.1115290331,0.1156306321,0
21,377,Baleshwar,0,2,2,0,0.6826874344,0.1102458609,0.1137812391,0
24,486,Vadodara,0,0,4,0,0.5504061613,0.1102458609,0.09173436021,0
33,616,Ariyalur,0,3,1,2,0.6938666494,0.1097306535,0.1156444416,0
9,175,Allahabad,1,2,3,1,0.6805615529,0.1087509567,0.1134269255,0
12,251,East Siang,3,1,0,4,0.6116250269,0.1087509567,0.1019375045,0
23,419,Morena,3,1,0,4,0.5561941445,0.1087509567,0.09269902408,0
2,34,Kinnaur,2,2,1,3,0.7225347541,0.1086713184,0.120422459,0
6,76,Sonipat,0,2,4,0,0.6657973853,0.1086713184,0.1109662309,0
10,230,Patna,1,1,3,1,0.5771007377,0.1086713184,0.09618345628,0
14,279,Ukhrul,0,2,4,0,0.5408484139,0.1081696828,0.09014140231,0
24,483,Kheda,1,2,2,3,0.7209632837,0.1051269614,0.1201605473,0
6,79,Sirsa,1,0,2,1,0.4815456578,0.1042546212,0.08025760963,0
9,144,Mahamaya Nagar,3,1,1,4,0.5850901376,0.1042546212,0.09751502294,0
9,169,Mahoba,0,2,4,0,0.625527727,0.1042546212,0.1042546212,0
13,267,Tuensang,2,2,0,4,0.7580945778,0.1040531428,0.1263490963,0
20,358,Palamu,1,1,2,1,0.5727796833,0.1040531428,0.09546328056,0
21,382,Jajapur,2,1,1,3,0.5568839522,0.1040531428,0.09281399204,0
23,459,Ashoknagar,1,1,3,1,0.4880479706,0.1040531428,0.08134132843,0
9,143,Aligarh,3,1,0,4,0.6278474428,0.1035092898,0.1046412405,0
20,355,Bokaro,0,2,2,2,0.6001570071,0.1035092898,0.1000261679,0
23,448,Harda,3,0,1,3,0.4676695591,0.1035092898,0.07794492652,0
19,345,Purba Medinipur,0,3,0,2,0.7097714482,0.1003395596,0.1182952414,0
9,186,Sant Kabir Nagar,1,2,3,2,0.7350921997,0.1003395596,0.1225153666,0
9,189,Kushinagar,1,2,1,3,0.6870650919,0.1003395596,0.1145108486,0
10,236,Gaya,0,1,4,1,0.6451833664,0.1003395596,0.1075305611,0
10,237,Nawada,1,2,5,1,0.8602026314,0.1003395596,0.1433671052,0
28,543,Vizianagaram,3,1,0,4,0.5016977978,0.1003395596,0.08361629963,0
33,627,Thoothukkudi,2,2,0,4,0.6998916199,0.1003395596,0.1166486033,0
