distName,st_cen_cd,censuscode,SOL
Chandigarh,4,55,11509.359
Tirunelveli,33,628,23261.998
Udalguri,18,326,7548.9897
Washim,27,502,13341.69
West Kameng,12,246,3791.6199
Surat,24,492,62336.24
Baramula,1,8,6444.54
North Tripura,16,292,5215.6396
Kollam,32,600,8938.641
Lower Subansiri,12,255,2221.52
Palwal,6,89,13035.7705
Ramgarh,20,361,15508.861
Mirzapur,9,199,22715.342
Ghazipur,9,195,25643.84
Bikaner,8,101,58966.465
Mahe,34,636,90.229996
South,11,243,2099.69
Tiruvannamalai,33,606,15153.989
Udupi,29,569,7774.3
Bellary,29,565,40705.258
Agra,9,146,52644.887
Jamui,10,238,8477.67
Harda,23,448,6736.0596
Sonipat,6,76,19282.46
Gondiya,27,507,10624.09
Hailakandi,18,318,2316.42
Churachandpur,14,274,3947.88
Bhopal,23,444,28882.17
Panchkula,6,69,9147.69
Sonbhadra,9,200,24071.12
Jhalawar,8,129,19316.15
South,7,98,28480.242
Mahendragarh,6,84,10176.72
Sawai Madhopur,8,108,13383.9
Shimla,2,33,8741.83
South 24 Parganas,19,343,59191.66
Pratapgarh,8,131,8217.82
Jaintia Hills,17,299,5865.9
Kapurthala,3,36,9673.34
Hisar,6,80,18149.121
Mandi,2,27,7193.09
Faridabad,6,88,30158.64
Hoshangabad,23,449,15330.04
Hoshiarpur,3,38,12780.0205
Jodhpur,8,113,86403.87
Anuppur,23,461,11569.31
Mumbai,27,519,14209.359
Thiruvarur,33,619,5469.26
Uttara Kannada,29,563,12736.8
Bandipore,1,9,4253.1104
Sabar Kantha,24,472,20567.719
Rohtak,6,82,12996.39
Mandla,23,454,10380.4
Faizabad,9,177,21092.61
Champhai,15,284,2141.5898
Jalaun,9,165,17941.81
Purba Medinipur,19,345,29746.648
North West,7,90,44484.273
Ganjam,21,388,19696.508
Jhansi,9,166,28079.65
Mathura,9,145,32485.541
Bankura,19,339,24198.09
Fatehgarh Sahib,3,40,7928.16
Dhaulpur,8,106,9078.42
Bageshwar,5,63,2884.78
Belgaum,29,555,40368.55
Mau,9,192,18077.1
Vadodara,24,486,49817.617
Kolhapur,27,530,18994.82
Araria,10,209,10753.47
Phek,13,266,2478.9802
Ashoknagar,23,459,9994.5
Perambalur,33,615,4714.8604
Mandsaur,23,433,13264.17
Gwalior,23,421,34444.05
Guntur,28,548,49109.58
Chennai,33,603,14641.41
Saran (chhapra),10,219,15512.02
Darjiling,19,327,11193.01
Chittoor,28,554,37402.152
Guna,23,458,19320.79
Banka,10,225,9503.77
Chamoli,5,57,11751.37
Muzaffarnagar,9,133,32052.73
Sagar,23,427,36689.008
Azamgarh,9,191,31277.5
Kurnool,28,552,31487.174
The Nilgiris,33,611,4688.92
Coimbatore,33,632,30261.47
Nalanda,10,229,16947.95
Godda,20,351,7729.1606
Chikmagalur,29,570,11710.1
Kanpur Nagar,9,164,44323.562
Farrukhabad,9,159,10038.859
South Goa,30,586,12571.47
Varanasi,9,197,27279.62
Kolar,29,581,22056.49
Uttar Dinajpur,19,330,14422.109
Mon,13,261,2403.4
Madurai,33,623,16148.609
Mahamaya Nagar,9,144,15693.069
Sirohi,8,117,12705.67
Auraiya,9,162,21178.47
Jagatsinghapur,21,380,19108.68
Upper Siang,12,252,4068.27
Gulbarga,29,579,34491.902
Umaria,23,431,8282.26
Jaipur,8,110,98267.94
Pithoragarh,5,62,11283.15
Reasi,1,20,7714.8203
Kohima,13,270,3159.1597
Sirmaur,2,32,6181.49
Saharsa,10,214,8253.04
West,11,242,1795.6799
Malappuram,32,592,6884.91
Viluppuram,33,607,21980.648
Tapi,24,493,7851.46
West Godavari,28,546,25080.617
Madhepura,10,213,9373.26
Saraikela-kharsawan,20,369,16138.44
Tiruppur,33,633,22333.5
Mayurbhanj,21,376,17530.84
Barnala,3,54,6613.3994
Dakshin Bastar Dantewada,22,416,9428.511
Budaun,9,149,25785.04
Ukhrul,14,279,3933.2603
Krishnagiri,33,631,17872.28
Hugli,19,338,23355.469
Hanumangarh,8,100,18260.58
Muzaffarpur,10,216,20534.1
Giridih,20,349,16148.781
Khunti,20,365,3625.2402
Jammu,1,21,34344.957
Koch Bihar,19,329,12248.05
Sultanpur,9,179,29712.098
Janjgir-champa,22,405,25171.129
Jharsuguda,21,371,15593.369
Lower Dibang Valley,12,258,3707.78
Debagarh,21,373,2972.42
Udham Singh Nagar,5,67,28191.48
Murshidabad,19,333,28397.723
Ludhiana,3,41,35535.34
Dimapur,13,265,5780.4697
Y.s.r.,28,551,23939.41
Bilaspur,22,406,53353.14
Aurangabad,10,235,17266.21
North,7,91,10626.6
Kabeerdham,22,407,16674.65
Barpeta,18,303,4849.7197
Banswara,8,125,10146.66
Rudraprayag,5,58,3250.64
Erode,33,610,18559.13
Nagpur,27,505,66236.17
Gopalganj,10,217,13489.899
Haveri,29,564,12542.7295
Puducherry,34,635,6561.32
Amreli,24,480,24043.33
Lahul & Spiti,2,25,20426.34
Jorhat,18,312,7033.2197
Chhatarpur,23,425,26861.61
Osmanabad,27,525,14772.38
Udhampur,1,19,9130.25
Chandrapur,27,509,29027.371
Mandya,29,573,17714.41
South Garo Hills,17,295,2616.1501
Sahibzada Ajit Singh Nagar,3,52,21052.922
Lunglei,15,286,2840.71
Lalitpur,9,167,14038.889
Chandel,14,280,3601.46
Ganderbal,1,11,2438.6602
Rupnagar,3,51,8483.13
Hamirpur,2,28,2474.79
Hamirpur,9,168,14477.93
Warangal,28,540,34037.31
Kandhamal,21,390,5649.0503
Yamunanagar,6,71,11326.931
Singrauli,23,463,28112.871
Khordha,21,386,21727.291
Kangra,2,24,11839.83
Katni,23,450,16296.02
Barwani,23,441,9249.48
Kasaragod,32,588,3500.69
Ambedkar Nagar,9,178,18440.76
Narsimhapur,23,452,18576.88
Durg,22,409,45731.48
Chirang,18,320,5539.51
Neemuch,23,432,10622.25
Panipat,6,75,17393.629
Nizamabad,28,533,22410.67
Salem,33,608,30371.44
Sehore,23,445,18016.701
Banas Kantha,24,469,31624.24
Aligarh,9,143,35892.87
Chikkaballapura,29,582,14437.21
Etah,9,201,13856.83
Solan,2,31,9829.1
Sivaganga,33,622,8346.561
West Garo Hills,17,293,7937.2695
Puruliya,19,340,19170.428
Hazaribagh,20,360,17671.871
Chitrakoot,9,171,8179.43
Parbhani,27,513,17928.441
Baran,8,128,23897.21
Visakhapatnam,28,544,46485.777
Satna,23,429,30709.582
Hardoi,9,155,22542.51
Dakshina Kannada,29,575,18984.67
Seoni,23,456,15406.02
Rohtas,10,234,15529.689
Dewas,23,437,17929.58
Moradabad,9,135,33507.88
Ramban,1,17,3381.97
Rewari,6,85,14125.319
Tamenglong,14,273,3589.3298
South Tripura,16,290,10133.569
Sonitpur,18,306,14198.41
Birbhum,19,334,28521.21
Una,2,29,5062.03
Darbhanga,10,215,11030.8
Jajapur,21,382,23767.76
Pratapgarh,9,173,25023.121
Chittaurgarh,8,126,29350.398
Ernakulam,32,595,24898.44
East Garo Hills,17,294,6064.5796
Tehri Garhwal,5,59,8468.7
Udaipur,8,130,33190.89
Raipur,22,410,64994.7
Kansiram Nagar,9,202,9538.109
Dhalai,16,291,4197.24
Koriya,22,400,11648.92
Supaul,10,208,8720.399
Jalandhar,3,37,24079.32
Akola,27,501,19171.93
Samastipur,10,221,11455.17
Mysore,29,577,33687.4
Shupiyan,1,13,1214.31
Bharatpur,8,105,20586.3
Thrissur,32,594,11999.52
Yanam,34,634,1149.6
Saiha,15,288,1220.5201
Senapati,14,272,5073.26
Chamba,2,23,10370.39
Dungarpur,8,124,8728.67
Muktsar,3,44,10966.24
Meerut,9,138,31778.7
Gadag,29,561,10736.19
Jaunpur,9,194,29814.91
Bhind,23,420,20354.58
Solapur,27,526,68592.12
Almora,5,64,5087.44
Upper Subansiri,12,249,3890.47
Patan,24,470,12833.661
Jashpur,22,402,9709.879
Bokaro,20,355,27597.6
Thiruvananthapuram,32,601,14785.59
Rae Bareli,9,158,30851.367
Kurung Kumey,12,256,3994.33
Wokha,13,264,2555.9902
Gumla,20,366,5381.62
Dibang Valley,12,257,4675.88
Nadia,19,336,24846.07
Davanagere,29,567,18577.58
Pashchim Medinipur,19,344,35531.082
Cachar,18,316,7112.12
Kaimur (bhabua),10,233,9959.18
Simdega,20,367,2875.56
Firozpur,3,43,28708.527
Baghpat,9,139,12014.251
Purbi Singhbhum,20,357,29889.459
Bahraich,9,180,19441.09
Kishtwar,1,18,14386.29
Hardwar,5,68,23404.889
Raisen,23,446,21480.3
Gajapati,21,389,3879.64
Malkangiri,21,399,5839.6104
Deoria,9,190,14759.189
Amravati,27,503,36593.734
Bharuch,24,488,41372.72
Baleshwar,21,377,14040.19
Puri,21,387,10471.7
Sant Ravi Das Nagar(bhadohi),9,198,9441.16
Barddhaman,19,335,81740.61
Bara Banki,9,176,21560.4
Anand,24,482,15662.359
Bathinda,3,46,23695.59
Latur,27,524,17468.99
Bangalore,29,572,180357.72
North,11,241,3211.88
Ganganagar,8,99,26913.281
Narayanpur,22,415,2597.0498
Peren,13,271,1421.63
