distName,st_cen_cd,censuscode,SOL
Chandigarh,4,55,12104.055
Tirunelveli,33,628,20346.75
Udalguri,18,326,7406.423
Washim,27,502,11233.652
West Kameng,12,246,4188.715
Surat,24,492,59726.793
Baramula,1,8,5631.3594
North Tripura,16,292,4646.645
Kollam,32,600,6179.0864
Lower Subansiri,12,255,2457.6228
Palwal,6,89,12063.045
Ramgarh,20,361,14893.523
Mirzapur,9,199,14783.221
Ghazipur,9,195,15773.506
Bikaner,8,101,64155.91
Mahe,34,636,68.54874
South,11,243,2015.7119
Tiruvannamalai,33,606,11208.696
Udupi,29,569,5769.9165
Bellary,29,565,37496.76
Agra,9,146,54961.84
Jamui,10,238,5652.1895
Harda,23,448,5347.138
Sonipat,6,76,23543.178
Gondiya,27,507,8496.702
Hailakandi,18,318,2177.6045
Churachandpur,14,274,2359.3486
Bhopal,23,444,28778.715
Panchkula,6,69,9599.167
Sonbhadra,9,200,20102.688
Jhalawar,8,129,25707.51
South,7,98,34983.57
Mahendragarh,6,84,12368.655
Sawai Madhopur,8,108,24798.182
Shimla,2,33,8294.872
South 24 Parganas,19,343,53647.605
Pratapgarh,8,131,8481.654
Jaintia Hills,17,299,6187.2163
Kapurthala,3,36,10103.348
Hisar,6,80,22971.816
Mandi,2,27,6636.899
Faridabad,6,88,35312.13
Hoshangabad,23,449,11863.081
Hoshiarpur,3,38,12156.746
Jodhpur,8,113,88401.664
Anuppur,23,461,8865.49
Mumbai,27,519,13311.816
Thiruvarur,33,619,6553.74
Uttara Kannada,29,563,7868.032
Bandipore,1,9,3358.0657
Sabar Kantha,24,472,17875.32
Rohtak,6,82,13620.641
Mandla,23,454,6123.182
Faizabad,9,177,14919.013
Champhai,15,284,1198.5369
Jalaun,9,165,14718.894
Purba Medinipur,19,345,25719.006
North West,7,90,54882.273
Ganjam,21,388,17149.568
Jhansi,9,166,27266.082
Mathura,9,145,32370.492
Bankura,19,339,23211.027
Fatehgarh Sahib,3,40,7658.0576
Dhaulpur,8,106,12751.92
Bageshwar,5,63,3016.5767
Belgaum,29,555,32796.7
Mau,9,192,11949.645
Vadodara,24,486,48488.805
Kolhapur,27,530,14792.268
Araria,10,209,8382.33
Phek,13,266,2154.0051
Ashoknagar,23,459,8045.95
Perambalur,33,615,3932.479
Mandsaur,23,433,11963.597
Gwalior,23,421,34431.453
Guntur,28,548,39312.31
Chennai,33,603,10811.929
Saran (chhapra),10,219,13975.422
Darjiling,19,327,10338.599
Chittoor,28,554,28887.656
Guna,23,458,20527.85
Banka,10,225,8558.396
Chamoli,5,57,12383.194
Muzaffarnagar,9,133,28490.797
Sagar,23,427,30884.035
Azamgarh,9,191,20138.746
Kurnool,28,552,23012.494
The Nilgiris,33,611,3912.461
Coimbatore,33,632,24471.262
Nalanda,10,229,16291.145
Godda,20,351,5289.843
Chikmagalur,29,570,8622.232
Kanpur Nagar,9,164,40984.67
Farrukhabad,9,159,6194.015
South Goa,30,586,7695.5977
Varanasi,9,197,24356.566
Kolar,29,581,17697.604
Uttar Dinajpur,19,330,14952.455
Mon,13,261,2078.155
Madurai,33,623,13964.775
Mahamaya Nagar,9,144,16457.996
Sirohi,8,117,11474.602
Auraiya,9,162,19665.805
Jagatsinghapur,21,380,31075.562
Upper Siang,12,252,6410.499
Gulbarga,29,579,31031.1
Umaria,23,431,5889.2363
Jaipur,8,110,126766.25
Pithoragarh,5,62,12331.046
Reasi,1,20,5698.6104
Kohima,13,270,3544.3066
Sirmaur,2,32,6069.7783
Saharsa,10,214,9129.856
West,11,242,1848.7313
Malappuram,32,592,3928.995
Viluppuram,33,607,16380.166
Tapi,24,493,7020.7876
West Godavari,28,546,19384.543
Madhepura,10,213,8629.167
Saraikela-kharsawan,20,369,13600.211
Tiruppur,33,633,18147.21
Mayurbhanj,21,376,15846.539
Barnala,3,54,7254.834
