distName,st_cen_cd,censuscode,SOL
Chandigarh,4,55,11508.678
Tirunelveli,33,628,18747.885
Udalguri,18,326,6593.054
Washim,27,502,8430.15
West Kameng,12,246,-82.26518
Surat,24,492,54892.5
Baramula,1,8,4409.032
North Tripura,16,292,3852.4675
Kollam,32,600,5697.2617
Lower Subansiri,12,255,502.88654
Palwal,6,89,8540.446
Ramgarh,20,361,14259.895
Mirzapur,9,199,13805.073
Ghazipur,9,195,16846.742
Bikaner,8,101,34344.133
Mahe,34,636,82.28386
South,11,243,1810.6024
Tiruvannamalai,33,606,11079.779
Udupi,29,569,4308.601
Bellary,29,565,29437.758
Agra,9,146,48688.74
Jamui,10,238,4645.51
Harda,23,448,3792.1782
Sonipat,6,76,17274.668
Gondiya,27,507,5530.291
Hailakandi,18,318,1408.9807
Churachandpur,14,274,310.90817
Bhopal,23,444,27593.092
Panchkula,6,69,8482.336
Sonbhadra,9,200,14646.639
Jhalawar,8,129,18330.12
South,7,98,28376.06
Mahendragarh,6,84,7575.62
Sawai Madhopur,8,108,13722.307
Shimla,2,33,5838.568
South 24 Parganas,19,343,52396.633
Pratapgarh,8,131,4880.9473
Jaintia Hills,17,299,3508.628
Kapurthala,3,36,8615.285
Hisar,6,80,16111.95
Mandi,2,27,4808.177
Faridabad,6,88,28021.041
Hoshangabad,23,449,9129.545
Hoshiarpur,3,38,9983.645
Jodhpur,8,113,67110.28
Anuppur,23,461,7295.389
Mumbai,27,519,13767.375
Thiruvarur,33,619,4012.5286
Uttara Kannada,29,563,3359.9326
Bandipore,1,9,2364.4412
Sabar Kantha,24,472,11601.5625
Rohtak,6,82,9191.387
Mandla,23,454,2925.3335
Faizabad,9,177,17518.004
Champhai,15,284,-560.2985
Jalaun,9,165,13750.118
Purba Medinipur,19,345,22200.85
North West,7,90,46013.234
Ganjam,21,388,13376.178
Jhansi,9,166,26750.484
Mathura,9,145,28841.541
Bankura,19,339,18938.395
Fatehgarh Sahib,3,40,6923.2656
Dhaulpur,8,106,7501.8496
Bageshwar,5,63,1398.4873
Belgaum,29,555,28566.416
Mau,9,192,13469.551
Vadodara,24,486,41618.367
Kolhapur,27,530,12220.816
Araria,10,209,8191.702
Phek,13,266,883.92377
Ashoknagar,23,459,6056.005
Perambalur,33,615,3354.5942
Mandsaur,23,433,8932.178
Gwalior,23,421,27103.617
Guntur,28,548,37530.17
Chennai,33,603,14737.744
Saran (chhapra),10,219,9887.147
Darjiling,19,327,9006.753
Chittoor,28,554,25615.576
Guna,23,458,15267.296
Banka,10,225,5032.3535
Chamoli,5,57,5925.9136
Muzaffarnagar,9,133,34086.53
Sagar,23,427,26957.29
Azamgarh,9,191,23289.64
Kurnool,28,552,15327.178
The Nilgiris,33,611,3059.6401
Coimbatore,33,632,27506.98
Nalanda,10,229,14938.536
Godda,20,351,4642.2095
Chikmagalur,29,570,5913.176
Kanpur Nagar,9,164,34881.43
Farrukhabad,9,159,8346.024
South Goa,30,586,9629.617
Varanasi,9,197,18908.078
Kolar,29,581,18064.07
Uttar Dinajpur,19,330,11707.428
Mon,13,261,779.71423
Madurai,33,623,12520.753
Mahamaya Nagar,9,144,13521.111
Sirohi,8,117,8284.982
Auraiya,9,162,21725.768
Jagatsinghapur,21,380,24515.828
Upper Siang,12,252,-537.4326
Gulbarga,29,579,25786.15
Umaria,23,431,3479.0518
Jaipur,8,110,100801.734
Pithoragarh,5,62,6063.269
Reasi,1,20,5934.7954
Kohima,13,270,2263.3152
Sirmaur,2,32,4046.6455
Saharsa,10,214,7169.0645
West,11,242,912.9534
