distName,st_cen_cd,censuscode,SOL
Bageshwar,5,63,2347.2317
Belgaum,29,555,28238.342
Mau,9,192,6454.7393
Vadodara,24,486,48327.812
Kolhapur,27,530,13334.908
Araria,10,209,6861.081
Phek,13,266,1899.6421
Ashoknagar,23,459,6115.8276
Perambalur,33,615,3089.0752
Mandsaur,23,433,9528.501
Gwalior,23,421,25021.781
Guntur,28,548,40992.793
Chennai,33,603,13403.977
Saran (chhapra),10,219,8950.314
Darjiling,19,327,10256.514
Chittoor,28,554,23052.455
Guna,23,458,15147.821
Banka,10,225,5372.47
Chamoli,5,57,11228.04
Muzaffarnagar,9,133,31513.695
Sagar,23,427,25923.05
Azamgarh,9,191,16038.129
Kurnool,28,552,20497.264
The Nilgiris,33,611,2366.3699
Coimbatore,33,632,23884.756
Nalanda,10,229,11740.002
Godda,20,351,4822.2974
Chikmagalur,29,570,5198.8965
Kanpur Nagar,9,164,31369.95
Farrukhabad,9,159,4781.8755
South Goa,30,586,9953.601
Varanasi,9,197,18571.033
Kolar,29,581,13620.004
Uttar Dinajpur,19,330,13228.096
Mon,13,261,1822.5758
Madurai,33,623,10323.781
Mahamaya Nagar,9,144,13322.114
Sirohi,8,117,10557.898
Auraiya,9,162,15106.061
Jagatsinghapur,21,380,11733.025
Upper Siang,12,252,3776.874
Gulbarga,29,579,29151.607
Umaria,23,431,4729.61
Jaipur,8,110,121307.18
Pithoragarh,5,62,11766.016
Reasi,1,20,6834.521
Kohima,13,270,3329.3372
Sirmaur,2,32,6118.5454
Saharsa,10,214,7013.9385
West,11,242,2071.2383
Malappuram,32,592,2313.7876
Viluppuram,33,607,16894.371
Tapi,24,493,6268.1685
West Godavari,28,546,18335.387
Madhepura,10,213,6218.2725
Saraikela-kharsawan,20,369,13412.994
Tiruppur,33,633,16152.857
Mayurbhanj,21,376,13298.254
Barnala,3,54,7420.536
Dakshin Bastar Dantewada,22,416,2860.342
Budaun,9,149,14193.493
Ukhrul,14,279,1398.6074
Krishnagiri,33,631,9581.291
Hugli,19,338,21278.566
Hanumangarh,8,100,17742.738
Muzaffarpur,10,216,10210.929
Giridih,20,349,10698.589
Khunti,20,365,2214.2344
Jammu,1,21,39129.42
Koch Bihar,19,329,13529.962
Sultanpur,9,179,18950.342
Janjgir-champa,22,405,31832.943
Jharsuguda,21,371,15162.894
Lower Dibang Valley,12,258,2908.4873
Debagarh,21,373,1681.2218
Udham Singh Nagar,5,67,30341.893
Murshidabad,19,333,25586.617
Ludhiana,3,41,36806.336
Dimapur,13,265,7597.711
Y.s.r.,28,551,11745.741
Bilaspur,22,406,52196.734
Aurangabad,10,235,9946.807
North,7,91,10234.61
Kabeerdham,22,407,13129.882
Barpeta,18,303,4309.9126
Banswara,8,125,10712.265
Rudraprayag,5,58,3504.2998
Erode,33,610,11377.846
Nagpur,27,505,61408.992
Gopalganj,10,217,4490.0127
Haveri,29,564,8251.328
Puducherry,34,635,5599.7944
Amreli,24,480,18560.805
Lahul & Spiti,2,25,25829.367
Jorhat,18,312,6361.113
Chhatarpur,23,425,17298.834
Osmanabad,27,525,9276.118
Udhampur,1,19,9732.279
Chandrapur,27,509,23435.434
Mandya,29,573,11258.916
South Garo Hills,17,295,2051.363
Sahibzada Ajit Singh Nagar,3,52,19648.398
Lunglei,15,286,1003.65045
Lalitpur,9,167,9440.746
Chandel,14,280,1007.8733
Ganderbal,1,11,2086.1992
Rupnagar,3,51,8274.947
Hamirpur,2,28,2548.3965
Hamirpur,9,168,10212.667
Warangal,28,540,24827.805
Kandhamal,21,390,1097.5914
Yamunanagar,6,71,13423.119
Singrauli,23,463,24531.727
Khordha,21,386,21531.541
Kangra,2,24,11567.045
Katni,23,450,12131.956
Barwani,23,441,5596.32
Kasaragod,32,588,1073.1094
Ambedkar Nagar,9,178,6948.1973
Narsimhapur,23,452,15210.345
Durg,22,409,46812.355
Chirang,18,320,6754.952
Neemuch,23,432,9063.895
Panipat,6,75,29415.828
Nizamabad,28,533,20035.09
Salem,33,608,25479.086
Sehore,23,445,12959.92
Banas Kantha,24,469,25503.098
Aligarh,9,143,22334.955
Chikkaballapura,29,582,9512.224
Etah,9,201,8273.622
Solan,2,31,10576.715
Sivaganga,33,622,4191.32
West Garo Hills,17,293,5472.149
Puruliya,19,340,16629.314
Hazaribagh,20,360,12884.223
Chitrakoot,9,171,4506.566
Parbhani,27,513,14522.569
Baran,8,128,28344.773
Visakhapatnam,28,544,35762.67
Satna,23,429,17640.242
Hardoi,9,155,12407.923
Dakshina Kannada,29,575,13009.628
Seoni,23,456,8562.72
Rohtas,10,234,9423.79
Dewas,23,437,15250.526
Moradabad,9,135,30168.309
Ramban,1,17,3136.1997
Rewari,6,85,17232.06
Tamenglong,14,273,2744.5288
South Tripura,16,290,8317.836
Sonitpur,18,306,11448.377
Birbhum,19,334,23314.291
Una,2,29,4746.046
Darbhanga,10,215,9595.92
Jajapur,21,382,25297.256
Pratapgarh,9,173,13864.167
Chittaurgarh,8,126,34339.6
Ernakulam,32,595,15974.881
East Garo Hills,17,294,4909.933
Tehri Garhwal,5,59,11046.203
Udaipur,8,130,32474.805
Raipur,22,410,66291.02
Kansiram Nagar,9,202,4978.509
Dhalai,16,291,3456.9065
Koriya,22,400,8218.0205
Supaul,10,208,7542.93
Jalandhar,3,37,22895.445
Akola,27,501,15145.861
Samastipur,10,221,9176.727
Mysore,29,577,22901.617
Shupiyan,1,13,1300.3081
Bharatpur,8,105,31370.334
Thrissur,32,594,7111.5376
Yanam,34,634,2080.561
Saiha,15,288,220.42616
Senapati,14,272,2373.815
Chamba,2,23,11349.618
Dungarpur,8,124,7743.9624
Muktsar,3,44,13486.368
Meerut,9,138,34125.855
Gadag,29,561,5746.498
Jaunpur,9,194,11432.111
Bhind,23,420,11996.198
Solapur,27,526,53818.59
Almora,5,64,4194.827
Upper Subansiri,12,249,3340.333
Patan,24,470,9237.777
Jashpur,22,402,6676.999
Bokaro,20,355,23915.281
Thiruvananthapuram,32,601,8918.056
Rae Bareli,9,158,17209.207
Kurung Kumey,12,256,3205.106
Wokha,13,264,2108.8027
Gumla,20,366,3352.471
Dibang Valley,12,257,5100.98
Nadia,19,336,21747.77
Davanagere,29,567,11306.087
Pashchim Medinipur,19,344,30351.908
Cachar,18,316,6179.6143
Kaimur (bhabua),10,233,6600.086
Simdega,20,367,1452.2263
Firozpur,3,43,28003.75
Baghpat,9,139,6158.188
Purbi Singhbhum,20,357,26099.062
Bahraich,9,180,8972.321
Kishtwar,1,18,14919.174
Hardwar,5,68,27342.668
Raisen,23,446,12649.7295
Gajapati,21,389,1264.3958
Malkangiri,21,399,1877.829
Deoria,9,190,9719.159
Amravati,27,503,26100.646
Bharuch,24,488,50304.008
Baleshwar,21,377,12507.634
Puri,21,387,9273.743
Sant Ravi Das Nagar(bhadohi),9,198,4191.4717
Barddhaman,19,335,65089.23
Bara Banki,9,176,9641.405
Anand,24,482,14538.988
Bathinda,3,46,24866.012
Latur,27,524,9527.481
Bangalore,29,572,159375.86
North,11,241,4728.9243
Ganganagar,8,99,26593.902
Narayanpur,22,415,37.85315
Peren,13,271,956.70166
Gurgaon,6,86,47468.266
Pashchimi Singhbhum,20,368,12511.132
Bagalkot,29,556,14511.595
Bijnor,9,134,21485.037
Nayagarh,21,385,3668.3933
Thiruvallur,33,602,37108.67
Nagappattinam,33,618,6290.1245
Korba,22,404,30888.44
Karur,33,613,6081.0566
Bhilwara,8,122,32232.049
Chamrajnagar,29,578,5719.228
Raigarh,22,403,37167.555
Ratnagiri,27,528,3691.8813
Marigaon,18,304,3432.9995
Gautam Buddha Nagar,9,141,70600.67
Gorakhpur,9,188,17100.438
Shahid Bhagat Singh Nagar,3,39,5931.334
Rampur,9,136,14786.143
Dumka,20,362,5136.3516
Bareilly,9,150,25002.21
Pashchim Champaran,10,203,8256.271
Ambala,6,70,18815.781
Pathanamthitta,32,599,2904.6907
Kozhikode,32,591,2090.6548
Mainpuri,9,148,17425.678
Thanjavur,33,620,7909.1704
Chhindwara,23,455,11689.462
Kannur,32,589,2551.8843
Saharanpur,9,132,24185.53
Datia,23,422,6830.158
Dhemaji,18,308,2730.9324
Champawat,5,65,1693.0342
Yadgir,29,580,11524.502
Sidhi,23,462,6761.2324
Uttarkashi,5,56,11943.011
Madhubani,10,207,10694.021
Satara,27,527,15579.219
Indore,23,439,37068.184
Maldah,19,332,14957.928
Baksa,18,324,5143.1836
Kathua,1,7,12858.601
Junagadh,24,479,23003.166
Haora,19,341,20751.951
Kannauj,9,160,12735.039
Golaghat,18,313,13387.581
Dehradun,5,60,25446.691
Chatra,20,347,2669.8357
Shajapur,23,436,11799.435
Jind,6,77,20807.848
Rajgarh,23,442,9355.935
Amritsar,3,49,36529.664
Lakshadweep,31,587,-121.66834
Gonda,9,183,13940.106
Jabalpur,23,451,26511.219
West Siang,12,250,3715.8193
Leh (ladakh),1,3,144603.39
Mumbai Suburban,27,518,42966.234
Thoothukkudi,33,627,5781.717
Bhavnagar,24,481,25789.809
Narmada,24,487,3534.544
Koraput,21,398,8804.253
Lohit,12,259,2696.8657
Hassan,29,574,10990.153
Nainital,5,66,11778.183
Tawang,12,245,1320.9812
Nashik,27,516,51059.844
Garhchiroli,27,508,4175.6606
Latehar,20,359,3565.6946
Uttar Bastar Kanker,22,413,4368.484
Serchhip,15,285,390.3145
Subarnapur,21,392,4445.2793
North East,7,92,9293.937
Rajouri,1,6,7599.2783
Alwar,8,104,65778.34
Panna,23,426,6388.589
Dhar,23,438,16887.916
Shrawasti,9,181,4687.7803
East Godavari,28,545,43414.19
Kanniyakumari,33,629,8390.428
Jalgaon,27,499,21167.51
Maharajganj,9,187,6069.7075
Pulwama,1,12,2073.712
Kolkata,19,342,22153.746
Pune,27,521,112912.33
Munger,10,226,4771.8994
Dharmapuri,33,630,5075.456
Pudukkottai,33,621,5800.566
Karimnagar,28,534,33283.742
Banda,9,170,8307.957
Jalor,8,116,15354.059
Sahibganj,20,352,3423.5552
Mokokchung,13,262,2934.1738
Kheda,24,483,15971.78
Bauda,21,391,1386.9623
Pali,8,118,24371.668
Kamrup Metropolitan,18,322,9969.305
Panch Mahals,24,484,14942.245
Deoghar,20,350,10880.866
Jehanabad,10,239,4268.75
Kodagu,29,576,698.41626
Srinagar,1,10,6717.4316
Aurangabad,27,515,25596.604
Dhule,27,498,11450.731
Kishanganj,10,210,5207.96
Gurdaspur,3,35,23536.49
Sikar,8,111,42349.44
West Nimar,23,440,9792.182
Nawada,10,237,4901.7266
Ujjain,23,435,19707.465
Nagaur,8,112,56626.234
Patna,10,230,32060.098
Dausa,8,109,27055.785
West Khasi Hills,17,296,4458.548
Samba,1,22,9508.013
Tinsukia,18,309,67743.48
Chitradurga,29,566,13148.172
Sambalpur,21,372,18175.49
Purba Champaran,10,204,7484.581
Burhanpur,23,467,2162.1199
Idukki,32,596,1773.7976
Jalpaiguri,19,328,19715.172
Anjaw,12,260,3359.4543
Shahdol,23,460,7277.797
Bargarh,21,370,10715.493
East Khasi Hills,17,298,7871.7207
Bhiwani,6,81,25290.748
Navsari,24,490,7262.6816
Bastar,22,414,9289.462
Barmer,8,115,39996.965
Lohardaga,20,356,2593.5596
Kota,8,127,41770.508
Sirsa,6,79,20629.768
Gaya,10,236,18981.605
Diu,25,494,487.13538
Dima Hasao,18,315,3524.992
Dadra & Nagar Haveli,26,496,9688.894
Nalbari,18,323,2010.0103
Anantnag,1,14,6592.6357
Mansa,3,47,9132.515
Ramanathapuram,33,626,2924.3315
Kendujhar,21,375,17321.59
Raichur,29,559,21993.92
Tiruchirappalli,33,614,14185.872
Dindigul,33,612,9451.039
Rajsamand,8,123,18705.283
Jhajjar,6,83,23432.02
Ranchi,20,364,31326.164
East,7,93,13888.906
East,11,244,2833.8452
Karimganj,18,317,4021.987
Ajmer,8,119,36392.008
Bidar,29,558,16438.121
Kendrapara,21,379,4706.128
Nalgonda,28,539,33361.6
Bhagalpur,10,224,11583.992
Bhadrak,21,378,6654.5034
Imphal East,14,278,3482.8198
Patiala,3,48,23621.969
Sundargarh,21,374,24512.006
Kaithal,6,73,19596.938
Sri Potti Sriramulu Nellore,28,550,21765.92
Anugul,21,384,30064.742
Bangalore Rural,29,583,16984.2
Bijapur,22,417,-909.0171
Anantapur,28,553,18788.896
Palakkad,32,593,4482.6094
Sant Kabir Nagar,9,186,4054.9666
Theni,33,624,3505.188
Rajkot,24,476,43531.242
Allahabad,9,175,41356.465
Sitamarhi,10,206,4890.5605
Balangir,21,393,12524.5
Bijapur,29,557,15194.804
Sangrur,3,53,18099.19
Balaghat,23,457,6332.3286
Rangareddy,28,537,130217.086
Dakshin Dinajpur,19,331,8117.227
Pakur,20,353,3177.0427
Bundi,8,121,18050.07
Garhwal,5,61,8078.6875
Faridkot,3,45,7166.0723
Bilaspur,2,30,3750.689
Badgam,1,2,5349.0635
Buxar,10,232,4462.5156
Churu,8,102,30761.637
Adilabad,28,532,22827.484
Ariyalur,33,616,3818.6
Kanpur Dehat,9,163,8571.912
Tonk,8,120,15302.4375
Betul,23,447,7816.2446
Sivasagar,18,311,13544.809
Nanded,27,511,18755.086
Karauli,8,107,28053.598
Namakkal,33,609,11457.41
Bhojpur,10,231,6297.087
Kullu,2,26,9505.37
Porbandar,24,478,4880.89
Basti,9,185,7348.2764
Data Not Available,99,0,202612.39
Daman,25,495,3640.7788
Mamit,15,281,1142.0032
Sheopur,23,418,7271.7163
Surendranagar,24,475,22061.031
Palamu,20,358,6924.547
Kiphire,13,269,841.1979
Alappuzha,32,598,4133.493
Kancheepuram,33,604,56164.605
Sheikhpura,10,228,1817.9646
Balrampur,9,182,5754.9907
Morena,23,419,15013.616
Karnal,6,74,34418.703
Shimoga,29,568,9257.068
Rewa,23,430,17738.307
Kalahandi,21,395,8754.536
Jhabua,23,464,6989.295
Sheohar,10,205,444.48093
Vidisha,23,443,10512.974
Changlang,12,253,5189.765
West,7,96,22275.963
East Nimar,23,466,9109.315
Goalpara,18,302,7052.9907
Nicobar,35,638,-157.03629
Kokrajhar,18,300,6328.119
Prakasam,28,549,25271.709
Rajnandgaon,22,408,16257.531
Jyotiba Phule Nagar,9,137,14558.659
Vizianagaram,28,543,7763.298
Siwan,10,218,3968.586
Shahjahanpur,9,152,17160.258
Bid,27,523,21072.799
Lakhimpur,18,307,3675.999
Karbi Anglong,18,314,10339.045
Ahmadabad,24,474,62970.42
Tikamgarh,23,424,14992.0625
Virudunagar,33,625,9461.251
South West,7,97,50930.734
Wayanad,32,590,317.1626
Longleng,13,268,710.0946
Cuddalore,33,617,17037.479
Hyderabad,28,536,53451.25
Bishnupur,14,275,938.6749
Kaushambi,9,174,10692.227
Dharwad,29,562,11541.026
Buldana,27,500,15320.681
Mahbubnagar,28,538,44584.13
Begusarai,10,222,14210.075
Dhanbad,20,354,33272.223
Fatehpur,9,172,13006.722
Rayagada,21,396,3752.7776
Vaishali,10,220,8688.879
Mahoba,9,169,5792.483
Dhubri,18,301,3999.5908
North Goa,30,585,14873.199
Bongaigaon,18,319,2555.2246
Jamtara,20,363,4419.961
Medak,28,535,42660.234
Jamnagar,24,477,78377.82
Sitapur,9,154,14331.402
Vellore,33,605,20448.555
Khagaria,10,223,3074.3413
Valsad,24,491,12647.426
Bhandara,27,506,6041.054
Moga,3,42,11910.924
Ratlam,23,434,12494.399
Jaisalmer,8,114,32195.62
Kurukshetra,6,72,17298.553
Kupwara,1,1,4080.9229
Doda,1,16,4634.154
Raigarh,27,520,49317.113
Kargil,1,4,27544.307
Punch,1,5,8334.186
Jhunjhunun,8,103,32748.879
West Tripura,16,289,19460.957
Central,7,95,3463.0173
Pilibhit,9,151,7313.2715
Thane,27,517,95853.75
Ballia,9,193,9871.975
East Kameng,12,247,2946.1328
Tirap,12,254,1534.4353
Dhamtari,22,412,5959.9575
North 24 Parganas,19,337,49617.477
Tarn Taran,3,50,21072.766
Kamrup,18,321,9389.299
Dibrugarh,18,310,40136.707
Ghaziabad,9,140,41689.43
Kachchh,24,468,57427.67
Firozabad,9,147,19665.184
Arwal,10,240,1910.4081
Kinnaur,2,34,10767.797
Unnao,9,156,10596.575
Papum Pare,12,248,6061.1377
Ramanagara,29,584,11951.594
Chandauli,9,196,10399.692
Tuensang,13,267,1996.75
Kottayam,32,597,3739.145
South Andaman,35,640,1281.2788
Mewat,6,87,11335.352
Etawah,9,161,19761.209
East Siang,12,251,6969.1416
Sangli,27,531,15030.342
Gandhinagar,24,473,22061.576
Lucknow,9,157,79415.81
Mahesana,24,471,19373.871
Dohad,24,485,9436.725
Dhenkanal,21,383,17358.139
Shivpuri,23,423,14015.578
The Dangs,24,489,720.6818
Imphal West,14,277,395.8084
Wardha,27,504,15401.945
Garhwa,20,346,2841.4128
Nandurbar,27,497,10478.708
Sindhudurg,27,529,516.868
Lakhisarai,10,227,3296.248
Khammam,28,541,19605.117
Alirajpur,23,465,4656.747
Nabarangapur,21,397,2043.8531
Nagaon,18,305,12388.737
New Delhi,7,94,10533.9795
Kheri,9,153,16263.852
Koppal,29,560,11013.753
Srikakulam,28,542,11198.551
Kushinagar,9,189,5122.403
Kulgam,1,15,2352.5835
Damoh,23,428,11987.818
Dindori,23,453,2246.6558
Tumkur,29,571,22227.775
Kolasib,15,282,1079.5721
Purnia,10,211,10371.794
Darrang,18,325,3924.9507
Yavatmal,27,510,28075.584
Lawangtlai,15,287,196.18364
Aizawl,15,283,3179.4087
Zunheboto,13,263,1897.632
Siddharth Nagar,9,184,7413.5435
Fatehabad,6,78,14393.184
Nuapada,21,394,3136.5088
Kodarma,20,348,7112.7227
Jalna,27,514,13104.895
Surguja,22,401,22795.139
Bulandshahr,9,142,24291.25
Cuttack,21,381,23451.654
Krishna,28,547,31343.053
Thoubal,14,276,760.64996
North & Middle Andaman,35,639,-595.27747
Katihar,10,212,6741.854
Ahmadnagar,27,522,48652.992
Hingoli,27,512,7348.0596
Ri Bhoi,17,297,4598.8965
Mahasamund,22,411,12300.114
Karaikal,34,637,1862.0471
