distName,st_cen_cd,censuscode,SOL
Chandigarh,4,55,12220.094
Tirunelveli,33,628,20132.443
Udalguri,18,326,6764.5303
Washim,27,502,9162.639
West Kameng,12,246,3256.458
Surat,24,492,57627.285
Baramula,1,8,6278.082
North Tripura,16,292,5264.6196
Kollam,32,600,4982.1143
Lower Subansiri,12,255,1611.8367
Palwal,6,89,14807.187
Ramgarh,20,361,14850.041
Mirzapur,9,199,11255.978
Ghazipur,9,195,12425.562
Bikaner,8,101,60922.15
Mahe,34,636,55.883865
South,11,243,2378.667
Tiruvannamalai,33,606,10911.304
Udupi,29,569,3950.545
Bellary,29,565,30073.41
Agra,9,146,49335.504
Jamui,10,238,4578.873
Harda,23,448,3861.0686
Sonipat,6,76,28011.559
Gondiya,27,507,7467.6914
Hailakandi,18,318,2340.6409
Churachandpur,14,274,1484.4766
Bhopal,23,444,26004.193
Panchkula,6,69,9387.557
Sonbhadra,9,200,18685.541
Jhalawar,8,129,21866.242
South,7,98,34672.477
Mahendragarh,6,84,13384.558
Sawai Madhopur,8,108,21231.41
Shimla,2,33,8378.887
South 24 Parganas,19,343,56523.64
Pratapgarh,8,131,7336.694
Jaintia Hills,17,299,5605.3545
Kapurthala,3,36,9804.903
Hisar,6,80,26083.273
Mandi,2,27,7445.867
Faridabad,6,88,34548.67
Hoshangabad,23,449,9651.922
Hoshiarpur,3,38,12444.698
Jodhpur,8,113,88208.09
Anuppur,23,461,8529.983
Mumbai,27,519,13927.887
Thiruvarur,33,619,6669.9053
Uttara Kannada,29,563,4007.5835
Bandipore,1,9,4870.8276
Sabar Kantha,24,472,16409.098
Rohtak,6,82,18411.053
Mandla,23,454,4066.2224
Faizabad,9,177,10202.036
Champhai,15,284,534.46643
Jalaun,9,165,12804.259
Purba Medinipur,19,345,25037.404
North West,7,90,47509.32
Ganjam,21,388,16588.318
Jhansi,9,166,22212.22
Mathura,9,145,34244.93
Bankura,19,339,21104.22
Fatehgarh Sahib,3,40,7629.848
Dhaulpur,8,106,11453.678
