,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,3,1,0,0,0,0,3,0,1,0,0,1,1,0,1,1,0,4,1,1,2,0,1,2,2,1,0,1,1,0,0,1,4,1,1,0,1,1,2,0,1,1,2,0,0,0,1,2,2,1,0,0,0,1,0,1,2,2,2,2,1,3,1,4,0,1
Tirunelveli,33,628,0,0,0,0,0,0,4,98,448,1691,2691,2749,2963,2781,2229,1812,1321,1028,821,617,502,434,348,316,232,169,206,131,134,103,123,98,85,63,75,57,63,50,57,52,32,39,24,38,39,33,26,40,29,21,34,22,23,19,26,11,18,25,16,15,15,10,16,8,9,7,10,20,3,15,10,18,6,8,3,7,5,5,6,11,5,7,13,3,10,1,6,5,0,9,5,4,5,1,5,4,6,4,7,5,1
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,110,604,671,1044,1128,1136,964,735,585,451,328,227,195,175,133,86,84,66,58,47,36,35,31,20,28,15,21,20,20,14,10,9,11,10,8,1,5,6,2,8,0,3,2,3,2,4,0,2,3,1,1,3,2,1,2,2,1,0,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,1154,5646,4252,2777,1846,1333,1018,783,603,434,431,301,244,183,168,135,98,98,80,66,49,52,48,46,35,33,31,22,13,22,14,15,11,8,4,10,9,9,12,9,2,5,7,6,3,9,3,2,8,5,4,5,2,4,4,2,3,3,2,5,2,4,0,1,2,3,5,3,2,2,2,0,2,1,2,2,0,2,1,0,1,1,0,0,0,2,0,1,2,0,0,1
West Kameng,12,246,0,0,0,0,0,0,0,0,0,3,9583,12953,591,190,109,71,48,35,27,26,16,8,6,17,5,9,7,11,8,4,4,12,4,4,3,6,1,1,2,1,3,2,1,1,1,3,1,1,1,2,2,3,2,1,0,0,3,1,1,2,0,0,3,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1
Surat,24,492,0,0,0,0,0,0,0,0,0,268,1133,1142,1255,1430,1316,1141,984,831,763,591,490,427,407,365,316,281,290,227,227,207,172,147,167,132,124,123,107,97,100,83,90,80,89,63,72,69,59,53,47,47,56,48,43,52,50,31,49,46,25,43,40,29,36,23,29,21,29,17,28,34,23,25,23,17,16,16,12,21,19,15,18,9,18,13,19,12,11,19,22,17,7,13,17,10,6,12,8,13,9,12,14
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,1,2,585,2386,2067,1069,620,392,273,191,128,87,68,75,52,36,46,38,27,28,21,21,19,15,11,7,11,7,6,12,8,7,9,6,8,7,8,6,4,4,6,3,6,5,4,4,5,3,4,4,6,2,5,2,2,5,1,2,2,2,1,1,2,1,2,1,4,2,2,2,3,1,1,3,0,1,2,6,2,1,0,2,0,1,4,1,1,0,2,2,2
North Tripura,16,292,0,0,0,0,0,0,0,0,0,75,3101,1478,671,462,369,317,277,233,211,182,167,142,131,93,80,80,85,85,69,70,67,40,38,37,30,33,30,30,21,25,20,28,23,14,21,13,16,13,8,9,7,9,4,7,11,8,8,4,2,5,6,2,4,3,1,2,3,3,3,2,2,1,1,0,1,1,0,0,0,1,0,0,1,0,2,0,2,0,4,0,0,1,3,0,0,0,0,0,1,0,0
Kollam,32,600,0,0,0,0,0,4,14,84,345,1197,1365,1055,1016,1009,778,552,418,397,295,275,209,139,110,105,90,52,53,49,48,31,19,29,26,22,19,20,12,14,5,17,13,7,11,6,9,13,10,1,7,12,12,4,5,3,4,5,6,0,6,3,1,3,2,1,0,1,1,1,0,1,0,1,0,3,3,2,0,1,2,0,0,3,0,3,1,2,0,0,2,0,1,0,0,1,1,0,2,2,2,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,1,4,5395,4916,376,149,74,57,43,25,29,20,17,15,12,8,11,5,10,4,8,6,2,4,1,3,1,3,2,7,2,2,3,2,4,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
