,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,3,1,0,0,3,2,2,1,1,2,3,2,0,3,4,2,1,6,2,5,1,1,0,3,2,4,2,0,3,2,0,2,2,0,1,1,2,0,1,5,1,1,2,2,1,0,1,0,1,0,0,1,1,4,3,1,4,2,1,1,1,0,2
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,3,752,3295,3158,3568,3304,2538,1877,1456,1112,876,666,558,447,402,286,302,246,211,195,150,126,167,118,110,110,101,71,60,67,59,56,56,50,67,33,25,38,38,50,35,28,33,31,21,20,23,25,15,15,19,15,18,17,20,18,9,8,11,11,13,15,14,11,6,11,12,12,5,11,10,7,10,4,2,10,5,6,3,10,6,3,4,5,4,4,3,3,5,3,1,2
Udalguri,18,326,0,0,0,0,0,0,0,0,18,246,1274,2526,2311,1379,696,280,173,87,59,40,21,14,12,12,6,6,4,4,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,1,1004,8867,5930,2335,1267,794,537,370,245,169,112,95,78,63,44,35,37,26,21,12,15,16,15,12,13,11,6,10,3,7,5,2,2,9,5,6,11,2,2,3,4,4,3,3,5,1,2,1,4,0,2,2,0,1,1,1,5,1,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,1,2,0,0,0,0
West Kameng,12,246,0,0,0,0,0,0,1,7,81,1897,10213,9151,1915,216,69,52,30,21,13,12,11,17,10,9,12,4,7,4,1,5,1,2,4,3,0,1,0,1,3,3,1,0,3,1,0,0,2,1,1,0,1,3,2,2,0,3,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,96,793,1324,2169,2062,1800,1383,1075,849,697,554,413,398,331,256,228,226,183,154,129,122,130,104,90,99,96,90,78,62,62,56,45,45,41,48,46,46,41,54,31,38,32,39,40,23,37,26,25,20,25,25,18,23,25,19,26,17,26,23,21,18,19,19,17,12,15,17,13,15,10,18,10,10,13,13,11,9,12,14,9,10,7,12,7,9,8,8,5,8,10,10
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,37,678,1296,836,652,665,568,476,376,347,278,256,194,180,195,146,120,122,103,88,98,49,76,55,52,37,31,30,28,28,20,16,25,14,14,15,13,10,7,9,12,12,6,12,7,11,8,6,6,5,6,8,6,10,3,5,0,2,1,5,4,4,3,2,6,2,3,5,3,3,1,3,1,3,3,2,4,2,7,4,2,4,5,5,7,2,5,1,1,4,1
North Tripura,16,292,0,0,0,0,0,0,0,0,7,103,1344,3194,1593,770,506,312,206,204,130,124,92,61,56,43,40,29,24,22,19,9,7,18,11,6,8,9,5,1,5,7,5,4,1,8,4,5,2,3,0,0,0,1,1,1,0,2,0,1,0,1,0,1,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,1,21,377,2029,2039,1480,979,709,544,431,323,242,173,96,108,63,73,46,42,37,28,21,18,26,13,17,7,17,12,8,9,9,6,9,7,4,5,8,6,5,4,5,3,3,0,1,4,0,3,4,1,1,0,2,1,1,1,1,2,0,0,0,1,2,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,2,12,69,379,1616,4517,3643,562,138,62,41,36,20,7,12,8,5,8,4,4,8,5,5,6,4,1,2,2,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
