,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,3,0,2,3,0,0,1,1,1,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,2,1,2,2,1,3,0,1,1,0,0,2,1,1,0,2,2,1,0,0,1,0,1,1,0,0,3,0,1,2,0,1,1,0,1,0,0,5,1,2
Tirunelveli,33,628,0,0,0,0,0,0,7,31,601,2157,3648,3946,3218,2314,1551,1032,744,562,375,277,207,145,160,117,107,57,65,45,40,28,48,26,46,36,21,30,27,39,12,17,8,21,16,13,9,11,11,5,1,9,14,12,13,11,8,7,9,9,1,1,9,6,13,2,1,6,3,9,2,11,12,7,10,4,2,7,5,2,6,5,5,7,4,8,0,2,7,2,2,3,3,0,2,1,4,0,1,0,0,0,6
Udalguri,18,326,0,0,0,0,0,0,0,0,17,465,728,1233,1568,1412,1005,727,553,361,247,204,137,94,86,50,45,33,29,24,27,17,21,5,9,10,6,5,7,6,5,4,4,6,4,6,4,1,2,2,1,0,0,0,0,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,183,5905,6117,3215,1940,1253,873,591,422,314,271,191,153,107,83,78,75,50,41,45,34,33,17,17,17,17,17,12,12,5,9,9,9,7,5,6,7,5,5,4,4,4,10,1,8,4,2,1,3,3,5,3,0,2,1,5,3,2,3,1,1,5,0,1,1,2,3,1,1,0,1,0,1,1,1,0,1,1,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1
West Kameng,12,246,0,0,0,0,0,0,0,90,5618,14900,2392,302,125,61,44,33,43,19,17,17,13,9,6,11,4,2,7,5,6,4,5,5,3,1,3,2,3,3,3,4,6,5,0,2,4,2,3,0,0,0,1,4,0,0,2,2,1,0,0,1,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Surat,24,492,0,0,0,0,0,0,0,8,907,1279,1373,1584,1513,1290,1140,941,768,622,537,482,450,312,317,296,244,221,187,190,157,148,152,131,119,87,80,99,81,67,74,52,80,61,47,52,58,59,50,34,45,63,32,31,43,25,38,26,29,24,25,19,24,23,19,18,29,17,21,29,20,17,9,21,25,19,16,12,20,11,13,8,12,19,7,10,13,16,12,19,15,12,11,11,14,8,12,16,8,6,6,8,15
Baramula,1,8,0,0,0,0,0,0,0,0,0,121,1490,1612,1325,1034,667,506,344,256,197,151,134,113,76,65,43,40,17,26,18,21,18,17,15,19,12,8,7,9,10,9,8,9,7,6,6,7,7,8,9,3,6,11,3,4,6,4,6,6,2,2,4,0,1,3,4,1,4,2,1,2,1,3,2,1,1,1,1,0,1,2,0,0,1,0,0,0,1,4,4,3,4,4,2,1,1,2,2,2,3,1,1
North Tripura,16,292,0,0,0,0,0,0,0,0,1382,2836,943,571,392,313,287,257,221,194,162,143,112,127,99,80,83,73,73,69,63,56,40,39,38,35,27,26,24,26,23,14,20,8,15,15,15,7,7,8,7,3,3,5,3,5,6,2,1,6,4,1,2,5,3,0,2,2,3,0,2,1,2,1,2,1,0,0,1,1,2,0,0,1,0,0,0,1,2,1,1,0,2,0,2,0,2,1,0,3,0,0,0
Kollam,32,600,0,0,0,0,0,0,8,166,463,554,714,699,776,601,461,365,292,253,241,192,157,106,87,98,80,59,36,56,30,18,26,22,18,9,9,17,13,11,13,12,9,9,3,9,6,11,5,1,9,2,4,4,1,5,2,6,3,3,5,5,2,6,5,1,4,0,2,4,0,0,1,1,7,1,1,0,3,3,0,1,2,0,4,0,0,0,0,0,1,1,2,0,1,3,0,0,2,0,0,0,2
Lower Subansiri,12,255,0,0,0,0,0,0,3,121,4319,5759,570,134,86,39,31,20,22,14,9,13,4,14,6,8,4,5,5,4,3,4,2,3,2,0,0,7,0,0,1,0,1,1,0,0,3,2,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
