,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,2,3,1,1,6,1,1,1,5,0,3,1,4,0,3,1,0,1,2,1,6,1,0,0,2,4,2,3,0,2,4,3,4,1,2,1,1,3,2,0,2,2,1,0,3,2,3,2,3,1,1,1,1,1,2,2,1,0,1,0,0,1,3,4,3,2,1,1
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,0,191,3328,4307,4402,3371,2395,1702,1169,913,786,652,489,389,345,301,242,207,194,166,139,115,109,96,93,79,84,79,77,61,58,49,47,44,47,38,39,36,24,26,34,23,28,15,15,25,16,15,16,12,14,17,11,14,11,10,8,12,13,15,12,13,13,12,5,10,8,5,3,10,13,3,7,5,5,7,9,7,4,4,2,1,4,5,0,2,5,3,4,3,4,8
Udalguri,18,326,0,0,0,0,0,0,0,0,0,23,573,3499,2925,1208,431,221,119,52,30,29,8,9,4,3,4,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,56,3944,10178,4038,1613,816,461,269,195,129,103,58,49,44,36,33,21,23,14,11,15,11,9,11,8,9,5,3,7,4,3,4,8,7,5,5,3,4,3,4,1,1,2,3,2,1,0,4,1,1,1,1,2,0,0,0,0,3,1,0,2,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,1,58,4309,15324,3646,306,75,22,13,12,9,9,5,2,4,1,1,4,2,0,0,1,1,2,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,7,686,1707,2704,2319,1745,1229,893,714,585,524,407,324,296,239,245,202,176,148,150,125,119,93,95,85,71,89,74,52,44,71,46,56,56,53,57,42,34,44,35,45,43,28,37,29,28,22,23,24,23,23,20,27,21,19,22,23,14,8,18,14,17,19,13,11,16,16,17,15,13,7,9,16,21,19,11,13,17,13,15,11,10,10,13,15,12,8,4,12,13,12,10
Baramula,1,8,0,0,1,1,9,28,67,121,222,255,353,351,285,170,112,81,53,38,40,25,16,18,19,23,13,12,15,8,8,17,15,20,13,9,12,0,13,4,0,2,6,8,14,10,0,2,2,7,2,6,2,0,0,3,9,4,3,8,1,1,0,0,0,0,6,2,0,0,0,0,0,0,7,0,0,2,0,4,0,0,2,0,0,5,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
North Tripura,16,292,0,0,0,0,0,0,0,0,9,719,3227,1731,1044,744,419,298,224,169,100,86,60,30,23,18,14,20,13,11,4,9,3,5,4,4,3,3,4,0,4,2,2,3,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,0,0,72,1796,2745,1590,977,649,461,354,343,254,155,111,108,88,48,50,38,25,22,24,19,15,12,14,14,14,22,14,2,7,4,10,1,8,3,4,1,2,0,3,3,3,3,4,4,3,2,1,1,4,1,1,1,1,2,3,1,2,2,1,1,2,2,2,0,0,0,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Lower Subansiri,12,255,0,0,0,0,0,0,3,0,6,220,4366,5000,1090,237,91,54,40,23,22,15,7,7,8,5,3,1,2,2,4,1,1,3,3,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
