,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,1,1,0,2,3,0,2,1,1,2,0,0,1,1,2,2,2,0,1,0,1,2,1,2,1,1,1,1,1,1,0,2,1,0,1,2,3,0,4,1,1,2,0,0,2,1,2,0,0,3,0,0,0,3,1,0,1,2,4
Tirunelveli,33,628,0,0,0,0,0,0,0,0,20,743,2890,2512,3525,3456,2610,2042,1519,1235,993,736,594,511,422,400,318,250,205,202,174,145,152,120,126,105,91,80,69,82,58,65,52,45,49,44,47,43,39,38,34,35,27,16,21,15,25,16,11,14,18,14,24,12,12,17,12,13,20,13,7,12,10,12,12,13,8,13,10,8,6,9,7,8,5,6,7,7,3,6,3,7,6,9,1,2,0,2,10,7,5,4,2
Udalguri,18,326,0,0,0,0,0,0,0,0,0,6,655,1154,1818,1594,1235,919,604,392,241,144,105,70,61,42,19,19,14,21,8,9,8,2,6,3,0,8,1,4,0,3,1,2,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,1,663,5295,4642,2922,2076,1471,1084,842,620,458,352,301,271,187,142,143,98,101,70,58,57,57,31,33,30,21,19,16,20,10,10,7,6,6,9,7,7,6,4,10,6,2,4,4,6,4,3,7,2,2,3,3,3,4,2,3,1,1,0,2,2,1,1,2,2,0,3,0,0,1,2,0,0,0,0,2,2,1,0,1,1,1,1,1,1,1,0,1,1,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,5,1529,16182,4670,618,222,115,92,66,39,30,20,23,22,12,15,6,14,7,10,10,8,10,10,7,7,3,3,3,2,1,3,0,3,2,2,2,5,3,2,1,1,3,1,0,1,0,2,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Surat,24,492,0,0,0,0,0,0,0,0,0,1,475,1426,1479,1847,1743,1390,1117,933,761,634,543,485,413,356,297,255,263,192,166,168,173,114,130,110,103,111,87,93,58,70,79,70,58,49,55,56,42,44,36,38,35,31,40,36,33,38,34,38,26,26,22,26,22,25,27,15,22,19,12,22,18,20,19,17,15,18,18,14,14,18,14,17,11,9,13,6,21,17,11,17,6,13,9,8,8,8,9,12,6,11,15
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,29,593,2650,1852,991,591,356,241,150,119,99,66,61,38,48,42,22,23,14,16,20,17,8,14,12,17,9,7,7,8,9,13,5,7,9,4,4,3,8,9,3,4,7,3,4,5,2,6,5,1,1,2,1,0,4,1,1,3,1,1,0,0,1,3,1,0,0,1,1,1,4,0,1,1,3,0,2,4,3,0,1,0,1,1,2,1,1,0,0,2,0
North Tripura,16,292,0,0,0,0,0,0,0,0,0,276,3436,1187,645,493,421,357,321,301,228,192,156,102,116,81,79,68,62,51,41,42,31,41,25,19,20,23,19,12,18,16,14,11,6,8,7,6,2,9,5,4,4,6,4,2,4,3,1,0,2,0,0,2,1,2,1,0,1,1,1,1,1,2,2,2,0,0,0,1,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1
Kollam,32,600,0,0,0,0,0,0,0,0,1,199,2112,969,718,756,856,719,524,431,344,362,293,289,191,164,157,124,111,81,56,57,50,42,36,36,29,32,25,28,28,15,26,19,12,12,15,6,8,6,12,9,18,8,3,5,7,8,10,7,6,5,5,8,5,5,1,2,5,2,0,2,4,1,0,3,2,1,3,1,2,2,3,1,0,3,1,2,1,2,2,2,0,1,1,1,1,2,2,1,1,1,1
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,19,754,7357,2435,289,98,56,37,29,14,24,19,10,11,7,5,7,6,9,1,8,3,3,1,5,4,1,1,5,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,216,440,459,438,436,409,337,285,263,220,210,145,162,142,125,112,96,89,91,79,88,57,54,53,41,53,34,46,31,31,22,19,32,23,20,23,12,21,11,19,18,17,13,5,18,10,14,8,14,6,9,5,11,8,8,13,11,9,5,5,7,8,15,7,5,5,9,10,7,5,3,5,4,5,5,2,2,5,4,2,7,1,5,4,1,8
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,20,259,448,424,475,403,325,312,240,217,187,165,122,127,116,119,81,74,61,70,70,65,59,55,52,49,46,41,27,27,45,38,25,32,19,26,24,29,19,22,23,17,18,18,14,16,13,10,25,14,15,18,6,12,13,15,13,14,7,11,16,13,9,7,13,11,13,11,10,11,9,11,7,9,9,6,11,6,6,5,11,8,4,10,7,6,4,2,6,5,4
Mirzapur,9,199,0,0,0,0,0,0,0,0,0,1,1408,4768,2887,2067,1457,1127,883,696,572,487,429,345,323,235,238,199,194,158,123,126,100,91,88,86,76,55,57,42,45,43,39,41,31,27,25,17,28,17,13,13,14,11,16,8,10,13,9,8,4,9,5,6,5,4,5,4,6,5,5,6,4,3,5,3,3,2,4,7,3,11,0,1,3,2,1,4,4,2,0,4,2,2,2,2,1,3,1,0,1,0,5
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,2,161,1048,1355,1197,1181,1255,1148,1082,931,831,721,630,528,467,383,268,235,201,145,140,116,103,83,69,65,56,61,40,41,30,26,29,20,26,30,13,15,15,13,16,8,7,11,15,9,12,4,13,8,8,8,5,5,3,11,6,3,9,4,1,2,1,3,2,2,3,2,1,3,2,3,5,3,4,5,3,2,1,4,2,0,1,0,5,1,1,2,1,3,1
Bikaner,8,101,0,0,0,0,0,0,0,0,0,12,16754,72693,19360,9861,5346,3220,1937,1349,982,736,591,502,382,317,268,239,215,172,182,144,132,113,131,89,88,93,75,66,65,59,63,56,52,52,28,37,34,28,31,30,28,39,24,24,17,22,29,20,31,24,21,22,16,16,15,17,19,12,15,17,10,10,8,8,13,8,10,6,6,7,11,7,7,13,8,8,8,13,7,11,7,10,6,7,4,7,8,3,7,6,8
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,4,3,1,2,1,3,3,2,1,3,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,1,7,4,7,6,6,11,7,5,6,5,4,7,3,3,4,5,6,2,2,3,3,3,0,3,5,5,4,4,0,1,4,2,2,1,4,0,1,1,4,2,4,1,3,1,1,2,2,3,4,5,0,3,4,2,1,2,4,0,4
Tiruvannamalai,33,606,0,0,0,0,0,0,0,0,0,235,2034,1989,2188,2708,2825,2534,2216,1830,1333,1106,892,599,502,411,304,240,205,182,120,103,106,61,75,54,42,52,47,20,28,25,22,19,13,14,17,22,14,9,13,10,11,8,4,13,9,9,7,7,8,9,5,11,3,4,2,5,7,5,6,3,3,5,3,3,2,3,1,0,3,1,1,2,4,6,2,4,5,3,2,3,3,0,0,3,1,3,2,1,0,0,3
Udupi,29,569,0,0,0,0,0,0,0,0,0,227,5078,4854,2102,1036,609,448,292,193,126,115,91,74,77,41,48,42,40,32,38,23,24,20,22,26,20,15,6,13,4,9,11,10,5,8,12,5,7,9,4,8,6,7,2,4,1,7,2,4,4,6,3,2,7,6,2,5,1,2,1,4,4,4,4,3,2,1,5,1,4,1,1,5,2,2,0,3,1,2,1,0,1,0,0,1,2,1,1,1,1,0,1
Bellary,29,565,0,0,0,0,0,0,0,0,0,2,2180,9616,6498,3953,2332,1540,1168,876,712,620,512,407,328,328,310,248,229,201,165,161,150,132,130,120,102,94,84,61,75,75,58,44,58,61,44,55,45,44,44,30,35,39,27,35,38,35,19,36,33,19,24,20,23,14,18,18,16,16,24,10,17,15,13,15,9,14,14,5,18,6,7,12,9,10,6,8,13,12,14,6,6,7,4,8,10,6,5,5,9,2,12
Agra,9,146,0,0,0,0,0,0,0,0,0,0,26,701,1535,1270,1138,1065,1048,887,887,712,713,601,604,533,471,423,362,342,322,240,254,223,207,158,160,140,138,122,130,103,86,82,82,74,65,71,46,48,61,49,52,56,39,41,40,30,26,36,41,30,24,25,34,21,22,22,28,21,16,25,16,21,18,14,16,18,17,17,15,15,15,18,10,11,9,12,13,9,12,6,10,16,10,9,12,7,6,5,7,11,5
Jamui,10,238,0,0,0,0,0,0,0,0,1,164,4262,4737,1846,901,470,314,175,128,88,46,52,47,32,26,20,23,10,11,11,6,12,5,6,6,3,4,2,9,3,2,3,2,1,2,1,2,3,0,0,2,0,0,0,3,0,0,1,1,0,0,2,0,1,0,0,0,0,1,1,0,1,1,2,1,0,0,0,1,2,1,2,0,2,1,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0
Harda,23,448,0,0,0,0,0,0,0,0,0,79,2768,3592,3460,1794,783,437,318,218,152,107,105,86,59,50,38,35,32,23,22,22,13,14,13,11,12,8,6,2,6,7,7,4,2,3,5,8,1,4,7,6,3,2,4,0,3,4,0,1,2,3,0,1,2,1,2,0,0,2,3,1,3,1,3,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,2,0,1,0,1,0,1,1,2,0,0,2
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,39,418,924,965,702,618,461,417,390,323,264,244,239,218,173,172,170,150,154,99,130,109,110,96,85,76,73,74,76,72,57,53,76,61,57,52,37,58,46,26,36,36,28,29,28,22,34,21,18,30,27,30,22,19,14,21,18,13,15,15,12,18,19,15,13,10,17,16,15,15,13,13,9,11,4,12,8,14,14,10,9,14,8,3,10,8,9,10,8
