,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Gondiya,27,507,0,0,0,0,0,0,0,0,0,164,6772,7198,3512,1844,1128,638,439,348,268,201,145,118,87,63,57,49,43,29,34,41,20,19,30,20,14,12,14,14,10,8,8,6,10,5,4,8,7,5,4,5,5,4,6,3,5,7,4,2,2,2,3,2,2,2,2,1,2,2,7,1,3,6,2,3,2,3,1,3,3,2,1,3,0,2,1,2,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0
Hailakandi,18,318,0,0,0,0,0,0,0,0,0,129,2831,867,589,459,295,202,126,105,60,30,25,24,19,18,12,3,6,3,10,6,5,2,3,4,3,1,3,3,1,2,2,0,2,0,1,3,2,1,1,2,1,1,0,3,3,0,1,0,2,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,0,0,0,0,0,0,0,1,6304,12803,488,153,104,49,51,38,36,21,12,13,10,11,7,10,8,3,5,6,6,4,2,3,6,5,2,2,2,4,1,1,1,3,1,0,0,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopal,23,444,0,0,0,0,0,0,0,0,0,1,157,1596,1967,1449,1016,706,520,390,342,287,260,212,189,160,155,137,103,92,84,85,71,55,66,51,52,52,45,36,29,26,43,31,25,27,35,24,28,28,30,21,20,17,12,15,19,11,13,16,16,12,9,9,12,20,18,9,12,8,9,11,11,8,9,3,10,15,8,7,10,7,3,9,6,8,8,5,12,9,6,6,12,7,6,7,3,7,6,7,6,7,10
Panchkula,6,69,0,0,0,0,0,0,0,0,0,0,0,52,518,413,290,240,213,254,200,178,126,115,112,94,65,71,72,54,46,39,44,46,23,31,27,25,20,15,24,19,10,23,11,11,8,8,13,5,7,12,8,9,3,8,6,5,10,8,4,7,9,5,8,2,6,5,2,4,7,4,3,5,1,2,2,3,2,3,1,3,3,4,2,6,3,3,1,3,3,3,1,1,6,2,5,1,1,0,0,2,2
Sonbhadra,9,200,0,0,0,0,0,0,0,0,0,61,8041,10998,3351,1793,1200,845,600,435,346,227,173,152,108,72,93,62,55,42,42,37,22,40,26,22,21,18,19,16,11,10,21,16,10,15,14,15,9,12,11,12,10,6,13,7,7,11,11,8,10,9,9,8,10,16,7,7,9,10,9,13,7,7,7,4,8,4,2,7,4,9,7,4,5,4,1,7,3,2,6,2,4,9,5,3,4,5,5,7,3,6,6
Jhalawar,8,129,0,0,0,0,0,0,0,0,0,0,157,4772,6654,4370,2507,1680,1241,968,740,620,499,435,349,278,222,190,154,161,114,108,99,97,78,62,65,59,42,46,35,41,37,40,27,22,23,20,12,21,17,14,14,13,13,9,11,18,6,10,13,9,9,10,8,7,6,4,12,5,6,4,3,6,7,7,5,3,4,5,4,4,6,7,2,4,1,2,6,4,2,3,5,0,1,3,4,3,4,5,3,4,3
Mahendragarh,6,84,0,0,0,0,0,0,0,0,0,0,0,0,32,201,488,822,1118,993,812,576,448,362,325,279,203,176,147,161,143,123,112,98,105,76,69,67,54,57,52,44,43,34,39,40,31,38,26,19,28,27,21,28,12,10,19,9,9,8,11,3,4,6,3,4,6,5,7,5,6,4,5,8,5,2,5,1,0,3,1,1,5,2,3,2,2,0,1,4,2,3,2,2,1,2,2,2,1,2,4,6,0
Sawai Madhopur,8,108,0,0,0,0,0,0,0,0,0,0,82,2191,4241,3477,2373,1627,1254,1006,798,679,580,473,401,318,280,237,228,195,178,166,136,127,126,113,101,76,67,50,66,59,58,50,34,43,42,23,35,26,19,22,29,18,15,14,15,14,9,20,14,14,10,8,6,6,9,8,7,8,4,4,5,9,9,9,3,7,8,5,6,5,5,6,2,7,5,4,2,0,1,6,2,7,2,2,4,3,1,3,4,3,1
Shimla,2,33,0,0,0,0,0,0,0,0,0,2,806,11101,8389,2127,562,248,144,88,94,54,41,33,33,29,23,24,21,14,10,16,14,13,15,7,13,11,7,3,7,3,4,6,3,5,6,5,5,4,7,5,2,1,3,4,2,2,4,3,6,2,2,1,1,3,3,0,1,3,2,2,0,0,2,0,2,0,0,2,2,2,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,3,1,2
South 24 Parganas,19,343,0,0,0,0,0,0,0,0,0,462,3388,1874,1185,1029,988,976,901,834,850,783,774,716,685,656,633,589,508,476,409,364,366,298,271,242,222,199,183,161,166,135,131,114,103,98,82,77,53,70,60,61,45,56,41,37,37,29,37,30,29,19,28,32,22,20,27,26,22,16,17,21,21,22,11,18,7,11,16,10,11,8,13,16,17,13,12,14,6,9,11,5,4,16,17,18,14,8,11,7,10,10,5
Pratapgarh,9,173,0,0,0,0,0,0,0,0,0,0,2,147,900,1468,1459,1546,1533,1316,1293,1122,959,779,672,541,456,367,310,223,207,200,143,114,89,79,62,54,50,26,42,31,12,27,16,21,15,20,15,5,13,8,7,6,6,5,7,8,6,6,6,3,4,2,2,3,4,0,2,1,0,3,4,4,1,2,1,5,2,3,1,0,3,0,2,1,2,3,1,4,3,1,1,0,1,3,2,0,1,1,2,6,2
Jaintia Hills,17,299,0,0,0,0,0,0,0,0,0,361,9005,3613,1153,618,402,279,193,165,130,109,99,66,56,48,50,44,32,38,30,27,29,22,20,19,16,10,17,11,15,11,7,1,9,6,16,6,7,5,6,6,3,7,7,6,4,4,7,4,1,2,2,0,3,0,1,1,1,2,3,0,1,4,2,1,2,3,0,1,2,1,1,1,2,0,0,0,0,2,2,1,1,2,0,0,1,0,1,2,0,1,1
Kapurthala,3,36,0,0,0,0,0,0,0,0,0,0,0,7,235,1047,1353,1056,769,544,483,369,294,212,162,128,88,88,64,58,51,56,44,48,28,35,34,19,25,22,22,18,19,15,10,19,9,9,9,14,3,14,6,4,7,8,6,6,4,6,7,5,9,2,3,8,3,3,9,7,7,9,4,3,2,3,4,4,3,6,0,1,2,4,5,5,3,2,3,2,4,1,3,2,7,3,6,2,3,1,1,3,2
Hisar,6,80,0,0,0,0,0,0,0,0,0,0,8,392,1619,3873,3271,2005,1415,1013,720,586,461,373,305,262,220,208,180,174,142,131,109,97,98,88,73,70,56,65,73,52,43,48,32,41,37,32,35,33,20,32,25,36,20,19,33,14,19,11,19,12,18,9,15,20,12,14,11,7,12,11,9,14,6,9,11,13,10,9,12,9,4,11,7,5,6,8,8,7,2,5,4,2,6,6,6,4,6,1,6,2,6
Mandi,2,27,0,0,0,0,0,0,0,0,0,1,845,7494,5303,1963,962,521,320,248,165,119,93,59,52,63,47,39,36,43,26,11,18,15,13,18,13,9,9,3,5,4,3,3,9,4,3,6,3,4,1,2,0,4,1,2,4,1,2,2,2,1,0,1,4,1,2,1,1,0,0,1,2,0,0,1,0,0,2,2,1,0,0,2,0,0,0,2,1,1,0,1,1,0,1,0,0,1,0,0,0,2,0
Faridabad,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,60,80,52,76,80,85,70,82,92,79,79,98,59,83,61,55,57,66,60,47,47,29,51,46,42,34,47,42,43,48,42,55,34,24,38,39,33,28,27,27,24,35,21,21,18,25,13,21,16,16,26,18,22,22,13,22,16,15,12,14,12,8,13,20,11,10,16,8,10,10,17,7,7,7,14,11,10,8,13,10,7,11,2,11
Hoshangabad,23,449,0,0,0,0,0,0,0,0,0,152,6363,7362,5049,3218,2060,1300,804,577,398,273,240,173,151,106,92,77,70,54,51,47,41,36,30,22,22,25,22,22,19,9,17,15,15,21,3,8,6,5,8,9,11,3,3,5,6,5,7,4,6,5,6,7,7,2,9,5,1,4,2,2,2,3,2,5,2,1,4,2,4,2,3,1,1,0,6,1,1,0,1,3,0,2,3,3,0,1,1,2,2,1,3
Hoshiarpur,3,38,0,0,0,0,0,0,0,0,0,0,8,1301,2408,2884,2494,1788,1181,808,643,414,314,228,175,127,100,91,53,66,55,45,30,37,27,35,33,24,10,21,25,15,11,16,12,9,13,12,7,14,12,10,7,7,9,11,6,2,9,7,6,6,8,10,5,7,4,6,5,6,2,6,4,6,1,4,4,5,3,4,8,2,4,2,1,2,3,1,2,2,3,1,1,4,1,3,1,3,1,3,2,1,4
Jodhpur,8,113,0,0,0,0,0,0,0,0,0,0,3122,30238,24497,14028,8322,5228,3324,2311,1665,1254,997,847,586,537,486,355,323,288,250,200,193,164,165,118,149,119,100,112,93,85,93,92,86,58,61,46,66,37,40,42,48,42,33,24,34,27,39,39,32,28,28,24,24,21,30,26,23,19,17,19,28,25,16,25,17,15,16,12,8,21,19,10,16,16,10,13,11,13,12,12,9,11,9,14,13,14,16,6,11,12,10
Anuppur,23,461,0,0,0,0,0,0,0,0,0,45,3394,5515,2245,1244,856,540,370,317,221,188,158,118,101,91,71,57,73,44,44,30,25,34,25,19,21,26,22,24,14,13,16,19,20,17,10,14,14,11,12,2,11,6,9,6,13,7,5,10,11,6,8,6,5,3,7,6,8,7,7,5,3,8,6,5,6,1,2,7,3,7,1,4,5,6,1,3,5,3,3,4,2,1,2,2,1,8,3,2,1,2,3
Mumbai,27,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,1,5,2,4,2,5,2,3,4,5,9,6,7,8,15,12,11,11,9,9,10,5,6,6,7,5,2,9,4,3,2,6,3,0,3,2,2,3,4,3,2,1,1,5,1,0,2,2,2,2,1,1,3,2,1,2,0,2,4,1,1,1,2,3,1,3,1,0,1,3,1,0,1,1,3,2,3,1,0,1
Thiruvarur,33,619,0,0,0,0,0,0,0,0,0,108,455,656,1415,1422,1152,958,719,543,393,270,205,155,113,102,53,65,53,47,23,25,25,29,11,16,14,12,17,14,12,11,12,9,8,8,8,5,2,3,5,5,6,7,5,3,5,0,5,3,2,3,2,1,1,3,1,2,2,1,0,2,2,4,0,3,0,3,2,3,3,0,1,1,1,2,1,0,0,3,0,1,1,3,0,1,1,1,0,1,0,0,1
Uttara Kannada,29,563,0,0,0,0,0,0,0,0,0,1828,27130,7347,2301,1108,640,430,250,199,169,115,59,70,58,49,37,40,24,23,21,19,28,16,17,13,11,19,10,18,12,8,12,6,10,6,7,10,9,7,7,8,5,8,4,7,8,7,6,3,3,6,3,4,12,6,5,3,3,5,6,8,8,3,3,5,2,2,2,2,2,3,2,5,4,3,3,1,2,6,2,3,0,0,2,2,5,3,1,1,1,0,1
Bandipore,1,9,0,0,0,0,0,0,0,0,0,0,8,1926,7586,1235,143,63,46,40,26,12,10,8,4,3,3,2,3,8,3,5,2,3,0,2,0,2,2,1,2,2,0,1,1,2,1,2,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sabar Kantha,24,472,0,0,0,0,0,0,0,0,0,0,1592,6654,7657,4976,3313,2104,1392,1028,746,584,408,364,300,193,148,133,114,95,64,69,50,48,47,37,33,31,24,35,16,19,13,25,15,13,8,10,13,10,9,8,5,8,4,3,7,5,3,6,8,4,4,4,4,5,2,10,4,7,3,3,4,3,3,1,5,0,1,1,2,3,4,4,2,1,1,1,2,0,2,1,0,2,3,3,1,2,0,3,2,2,1
Rohtak,6,82,0,0,0,0,0,0,0,0,0,0,0,4,157,767,871,821,703,557,464,405,314,243,192,139,128,114,99,105,94,70,61,76,67,52,50,47,47,51,38,31,22,41,41,33,28,33,25,17,34,25,24,16,21,15,25,22,21,14,17,19,13,18,12,6,12,9,11,8,9,11,6,12,12,8,6,7,11,8,5,8,6,6,9,5,11,7,3,2,2,6,4,6,4,6,7,2,3,8,6,7,4
Mandla,23,454,0,0,0,0,0,0,0,0,0,316,12796,12288,3414,1480,795,476,287,210,158,119,66,63,50,30,29,21,18,25,17,16,12,6,13,7,15,8,6,4,6,4,1,4,2,4,4,2,1,7,3,4,0,0,2,4,1,2,2,1,1,2,2,3,2,1,2,0,0,3,0,3,2,1,1,2,1,1,1,3,1,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,2,2
Faizabad,9,177,0,0,0,0,0,0,0,0,0,0,14,238,770,1011,1183,1182,1180,1123,956,740,642,489,402,316,260,195,162,172,113,92,79,67,64,50,59,36,43,31,33,23,28,17,17,9,11,12,11,18,16,11,9,10,9,12,13,10,5,10,9,13,7,8,6,2,2,5,9,6,8,5,3,4,6,3,4,0,9,2,2,2,6,5,6,3,2,3,1,3,1,7,5,4,1,1,0,0,1,1,2,1,4
Champhai,15,284,0,0,0,0,0,0,0,0,0,6554,7560,252,99,66,39,25,16,10,10,10,2,6,4,3,3,4,2,3,1,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalaun,9,165,0,0,0,0,0,0,0,0,0,1,340,4568,6012,3090,1592,1076,679,535,385,310,271,196,166,129,103,105,83,66,47,58,38,43,26,34,23,22,25,16,22,21,20,12,18,12,10,15,8,12,8,13,9,8,4,4,5,3,7,2,4,3,3,5,3,1,1,3,2,2,1,4,5,0,1,1,2,0,0,3,4,5,2,0,4,0,2,1,3,1,2,3,2,3,0,1,3,3,2,1,1,0,0
Purba Medinipur,19,345,0,0,0,0,0,0,0,0,0,2,48,612,1408,1481,1620,1741,1542,1427,1200,972,782,669,549,465,381,332,242,204,153,153,114,98,71,73,64,49,57,49,44,37,35,27,28,24,23,13,13,17,22,18,13,16,15,11,13,18,7,10,9,9,10,12,18,7,7,6,6,10,4,2,6,10,5,5,3,3,8,8,6,5,4,5,7,2,4,0,6,4,4,3,3,5,6,8,2,1,4,5,1,1,2
North West,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,3,3,5,9,10,6,9,10,8,15,14,21,20,16,8,7,12,20,14,16,14,15,18,11,12,8,12,8,11,10,10,11,8,14,9,9,9,11,3,8,15,7,7,10,10,11,14,20,9,12,13,7,5,9,13,6,11,6,10,9,13,6,9,7,5,12,11,6,4,11,3,7,9
Ganjam,21,388,0,0,0,0,0,0,0,0,0,1849,10496,6256,4170,2869,2012,1520,1151,920,767,598,491,365,328,271,208,208,159,151,129,107,73,78,88,54,48,41,49,36,34,30,27,25,27,27,21,17,19,11,12,16,19,20,9,12,9,6,14,6,9,10,8,9,10,7,7,7,6,8,9,6,5,4,8,7,5,8,4,1,4,0,3,4,4,2,3,4,4,4,1,5,1,2,2,4,3,1,3,1,2,2,1
Jhansi,9,166,0,0,0,0,0,0,0,0,0,15,1227,6095,4690,2429,1555,1061,837,650,481,381,305,309,221,188,175,136,110,86,68,70,80,51,52,49,44,43,36,34,32,32,23,23,29,16,25,22,23,17,15,19,16,14,17,11,12,12,12,12,10,14,11,9,10,5,6,9,17,12,11,5,16,6,8,6,9,6,6,10,12,7,10,7,6,4,6,4,6,4,5,4,7,6,5,4,3,3,3,2,6,2,7
Mathura,9,145,0,0,0,0,0,0,0,0,0,0,0,0,6,355,1463,1520,1284,1163,1014,901,764,626,559,488,427,365,334,277,245,262,211,172,170,150,145,99,107,104,101,81,93,76,74,54,69,47,46,25,34,42,43,44,34,27,32,47,24,24,20,22,22,21,18,16,14,15,11,16,14,10,13,10,7,11,7,12,13,15,14,12,9,9,10,8,6,11,6,12,8,2,11,6,8,6,6,7,11,5,8,7,11
