,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,1,0,2,2,1,4,3,4,1,2,5,2,2,3,1,0,2,3,2,1,0,2,1,1,2,0,0,0,2,0,2,1,1,0,4,0,1,0,3,1,1,2,2,2,2,0,1,0,2,3,1,1,1,2,0,2,4,1,2,0,3,1,1,1,3,3,2
Tirunelveli,33,628,0,0,0,0,0,0,0,0,0,1,323,3684,3406,4047,3355,2503,1830,1404,1092,842,645,519,403,356,307,233,216,191,160,154,121,111,108,100,91,80,76,70,70,63,53,48,43,34,31,39,39,22,22,23,24,24,14,23,15,22,22,23,15,15,22,19,13,7,10,10,10,9,13,11,8,3,11,11,4,12,7,6,9,10,10,8,2,4,8,6,5,5,9,7,7,6,5,7,1,6,2,4,4,2,1
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,288,1237,2135,2027,1388,803,440,293,157,105,74,62,40,26,25,17,11,8,5,5,3,2,4,4,1,3,1,2,1,2,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,1,827,6542,6276,3052,1754,1129,707,536,365,230,161,134,91,78,56,46,28,28,21,14,13,10,10,11,13,5,11,5,4,3,10,12,6,6,7,3,1,5,2,4,3,3,1,1,0,4,2,1,1,4,3,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,1,1,0,0,1
West Kameng,12,246,0,0,0,0,0,0,0,0,0,1203,15148,6371,568,141,81,53,35,29,14,21,21,16,14,10,10,10,7,5,7,2,1,3,5,1,0,2,4,2,2,2,2,1,1,1,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Surat,24,492,0,0,0,0,0,0,0,0,0,0,3,354,1086,1262,1759,1851,1444,1193,984,825,627,555,471,445,442,300,243,238,225,204,157,139,140,117,111,110,95,90,83,78,65,67,62,43,48,74,47,45,41,44,42,48,26,37,32,32,47,39,37,39,27,30,28,26,30,39,22,26,15,20,20,30,17,16,8,23,21,22,23,15,28,16,15,11,8,9,20,11,12,9,14,22,12,18,8,18,13,10,16,13,8
Baramula,1,8,0,0,0,0,0,0,0,0,0,3,61,796,2304,1829,1086,546,395,299,225,119,97,73,83,53,52,47,29,24,24,16,17,20,9,26,16,15,10,5,11,5,7,11,6,5,8,8,2,2,3,4,8,7,7,2,2,3,8,1,3,4,3,2,4,4,6,4,1,1,4,3,3,2,4,1,2,4,2,2,3,0,1,3,2,5,1,2,3,0,3,2,0,3,4,2,2,2,1,2,3,3,1
North Tripura,16,292,0,0,0,0,0,0,0,0,0,0,131,1836,1751,1044,668,545,450,385,309,262,215,149,147,125,85,86,65,56,61,57,43,49,40,36,23,26,24,24,18,14,24,15,20,21,15,10,6,5,6,8,9,8,7,7,2,10,3,4,3,5,2,4,1,4,2,3,3,2,2,0,5,3,3,2,1,3,4,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1
Kollam,32,600,0,0,0,0,0,0,0,0,0,28,1320,1694,704,882,873,796,617,449,412,339,295,259,209,181,147,103,112,79,66,59,40,43,28,40,23,26,17,14,14,21,12,15,12,15,15,7,7,13,8,16,11,2,5,3,6,5,4,1,7,5,8,4,2,3,3,3,4,0,3,2,3,2,1,3,2,0,3,2,0,0,0,0,2,1,2,0,1,0,1,1,0,1,0,0,1,2,1,0,1,1,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,5,936,7304,2400,235,98,49,45,30,19,17,13,9,7,9,9,5,3,2,4,1,3,4,2,1,0,1,0,2,0,3,1,2,1,0,0,0,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
