,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,1,0,4,6,3,2,2,3,1,3,0,1,4,0,1,5,4,0,2,4,4,4,2,2,2,3,2,2,0,3,1,2,3,0,1,1,1,2,4,4,2,1,1,1,2,0,6,3,1,0,3,1,3,3,1,1,1,0,2,1,2,2,6,4
Tirunelveli,33,628,0,0,0,0,0,0,0,0,7,163,1390,3533,4667,4262,2891,2033,1453,1083,796,683,523,450,334,303,228,224,202,145,156,102,117,113,90,72,81,73,59,61,60,43,53,53,47,34,44,37,35,25,37,20,26,25,19,25,15,15,17,23,17,22,14,12,14,8,15,13,7,13,10,15,14,10,5,10,11,11,11,11,3,10,8,3,4,1,7,4,8,4,2,6,6,5,2,4,4,8,3,3,3,3,2
Udalguri,18,326,0,0,0,0,0,0,0,0,3,57,783,2232,2347,1597,901,501,269,132,89,59,49,27,24,14,15,15,8,18,4,6,4,3,5,1,1,1,2,1,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,13,512,3746,6657,3484,1396,730,395,301,181,116,103,91,102,61,33,19,42,13,27,15,14,15,13,11,11,12,14,3,2,17,4,11,0,7,0,4,4,6,4,1,0,4,0,1,0,0,0,0,0,2,7,0,2,0,2,0,6,0,0,4,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,1,0,0,4,3,0,0,0,0
West Kameng,12,246,0,0,0,0,0,0,1,1,18,632,10249,11043,1418,170,78,40,25,19,15,11,10,10,8,7,5,7,2,1,3,1,1,4,2,1,2,2,0,2,1,1,1,1,1,2,0,0,1,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,2,126,982,1392,1742,2039,1858,1348,856,681,541,485,434,350,291,292,277,260,215,191,159,150,144,122,128,111,97,88,79,78,63,71,45,77,57,59,56,59,41,42,51,47,43,35,40,32,32,29,28,33,25,19,28,15,26,25,24,23,27,23,27,20,15,27,17,11,20,16,17,12,16,18,21,15,13,14,18,9,15,14,12,19,12,9,15,12,21,10,9,23,12,16
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,8,664,1089,485,440,654,692,648,600,491,456,347,280,258,178,156,142,93,84,74,66,45,55,45,39,32,22,26,17,25,12,13,11,17,15,11,10,19,8,9,9,3,11,1,9,1,2,5,10,2,3,5,5,11,10,7,2,4,2,3,2,5,1,2,6,6,7,2,4,6,3,5,2,2,1,1,2,3,3,4,4,6,0,3,1,5,0,0,1,1,2
North Tripura,16,292,0,0,0,0,0,0,0,18,217,1399,3229,1669,639,327,206,172,54,73,80,56,52,38,26,17,15,14,13,14,11,16,6,13,6,5,8,5,3,7,2,0,2,9,8,3,2,4,3,0,3,0,10,3,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0
Kollam,32,600,0,0,0,0,0,0,0,0,2,7,383,1699,2052,1611,1028,763,532,424,294,274,157,113,93,80,83,43,37,28,35,23,23,22,29,20,18,17,11,9,13,12,13,3,6,5,3,1,1,2,3,3,0,4,3,0,3,1,0,2,3,0,1,1,5,1,0,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,11,37,246,4191,5125,1096,245,75,44,17,23,12,12,8,16,10,6,2,5,4,2,3,2,3,3,1,2,1,2,3,2,1,0,0,0,0,2,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
