,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,3,2,3,0,2,3,4,1,0,0,2,1,2,2,1,2,0,3,2,1,3,1,2,2,0,3,1,2,2,1,0,1,1,0,1,2,1,3,0,0,1,0,2,2,2,4,0,0,0,3,3,1,1,0,1,2,1,3,0,1,3,4,0,2,2,3,3,1
Tirunelveli,33,628,0,0,0,0,2,26,37,117,407,1319,2214,3395,3667,3058,2489,1821,1453,1132,871,721,588,420,414,326,276,234,202,175,175,149,107,117,96,80,72,70,67,68,56,51,53,48,43,48,35,49,43,27,26,29,14,28,24,34,8,12,17,29,18,15,13,15,6,10,17,9,10,13,11,9,6,14,11,4,7,6,7,7,10,7,9,12,6,5,5,2,5,7,4,4,5,2,3,2,3,1,7,3,4,5,8
Udalguri,18,326,0,0,0,0,0,0,0,0,0,49,905,1364,1754,1551,1136,772,524,345,219,162,101,53,46,27,28,25,24,13,11,14,7,3,8,4,3,1,0,3,2,4,0,2,3,1,1,2,0,2,1,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,112,4239,4926,3166,2208,1667,1256,962,716,588,438,314,273,229,171,131,117,101,82,68,66,37,53,31,33,21,22,15,13,17,16,10,10,8,10,5,4,2,4,4,10,5,5,8,6,4,5,3,2,4,3,3,4,1,0,6,6,1,4,2,1,1,3,1,2,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,1,7397,14852,795,224,138,70,42,37,32,27,24,11,16,18,16,9,12,6,5,7,6,3,1,9,3,5,5,2,2,1,1,0,7,3,2,0,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,1,389,1141,1183,1381,1590,1355,1169,1037,845,746,595,545,501,379,363,316,288,249,211,198,184,149,140,165,115,116,112,100,95,82,86,68,78,65,59,58,59,46,50,35,40,43,43,48,39,29,25,30,38,36,29,43,26,30,28,28,23,20,21,18,18,22,20,19,15,21,24,21,22,18,12,15,12,16,18,16,13,19,9,11,15,14,11,12,10,13,9,18,12,10,8,7
Baramula,1,8,0,0,0,0,0,0,0,0,5,6,52,799,2078,1945,1210,776,431,224,167,106,80,48,54,39,33,34,14,13,13,13,7,10,11,9,11,10,11,11,5,3,10,11,7,2,3,1,4,4,2,4,3,3,6,2,5,6,3,3,2,4,2,4,2,2,3,1,0,3,3,0,2,0,1,2,0,4,2,3,2,3,0,3,1,2,0,0,0,0,0,1,3,2,1,3,1,0,1,0,1,0,0
North Tripura,16,292,0,0,0,0,0,0,0,0,0,1196,2999,972,634,492,419,393,300,251,213,165,140,92,78,61,63,61,47,33,39,41,30,23,30,21,12,17,19,14,18,12,8,11,7,13,5,2,4,7,4,6,5,3,3,4,2,3,1,3,4,0,2,5,2,0,2,1,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,1,1,0,0,0,0,0,1,0,3,0,0
Kollam,32,600,0,0,0,0,0,0,1,2,18,1186,1836,746,855,887,770,582,467,361,332,311,256,220,169,162,122,90,85,73,43,36,39,30,46,29,28,17,23,21,21,14,14,6,13,14,14,7,17,8,11,9,9,15,7,5,6,6,4,2,3,1,3,1,6,5,0,4,4,1,1,1,2,3,1,3,3,2,2,2,1,2,1,0,1,0,2,2,0,2,2,0,2,0,2,0,4,0,0,1,2,0,1
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,3,1872,8074,793,162,82,62,45,19,15,20,12,6,8,4,8,6,4,6,3,4,1,0,2,0,4,2,3,0,2,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
