,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Jalor,8,116,0,0,0,0,0,0,0,0,0,0,1,4434,19690,11208,5427,2524,1361,806,516,343,220,171,112,100,75,56,58,39,33,34,28,15,25,14,14,18,20,9,9,4,8,11,6,6,2,4,9,8,7,3,7,3,2,4,6,6,6,4,1,3,2,4,5,3,1,3,3,1,3,2,1,5,1,0,1,4,2,2,0,1,1,3,3,3,0,0,0,0,0,1,2,2,0,2,4,1,0,0,1,4,3
Sahibganj,20,352,0,0,0,0,0,0,0,0,0,0,0,881,3726,1881,1088,623,401,240,158,131,102,72,60,40,38,41,28,20,10,11,15,15,15,12,9,7,10,10,2,1,4,0,1,1,4,3,1,0,0,3,3,2,2,0,0,2,1,1,1,1,2,0,0,1,1,0,1,0,2,0,0,0,1,2,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
Mokokchung,13,262,0,0,0,0,0,0,0,0,0,0,189,2313,2357,856,411,265,187,146,112,67,47,30,25,20,27,15,20,14,12,4,14,2,3,7,9,3,3,2,3,0,1,2,0,2,1,1,1,0,2,1,0,0,3,4,0,0,3,0,2,1,4,0,0,1,0,1,2,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kheda,24,483,0,0,0,0,0,0,0,0,0,0,0,8,953,2643,2262,1957,1663,1381,1251,975,754,596,476,383,306,243,210,161,128,102,99,82,66,57,51,43,37,29,29,28,24,18,21,24,10,18,13,15,13,14,14,9,13,13,5,7,2,14,5,9,7,5,10,6,7,5,8,3,3,4,6,6,6,5,3,2,1,2,2,3,5,2,3,0,2,1,0,3,1,1,3,1,2,1,0,0,1,2,0,0,2
Bauda,21,391,0,0,0,0,0,0,0,0,0,0,0,33,2771,4683,1982,844,460,322,224,176,141,105,143,107,101,85,68,61,71,59,55,53,43,49,40,43,32,25,34,30,25,29,24,12,21,23,24,26,19,21,12,12,13,12,14,13,12,12,14,9,6,12,3,9,6,7,19,14,10,9,7,4,6,5,6,4,7,3,2,1,3,3,5,1,8,2,0,3,1,2,0,0,4,0,1,1,1,2,2,0,1
Pali,8,118,0,0,0,0,0,0,0,0,0,0,1,3066,25426,11229,5128,2785,1762,1140,804,628,418,351,306,205,194,162,128,112,108,81,75,47,58,49,53,34,36,30,35,21,18,21,14,20,10,21,21,10,11,15,12,9,11,8,15,15,10,12,6,11,9,5,9,4,6,8,8,7,5,2,6,6,4,2,4,3,3,2,4,1,7,6,1,3,5,5,3,2,5,4,2,3,4,3,2,0,2,4,2,4,5
Kamrup Metropolitan,18,322,0,0,0,0,0,0,0,0,0,0,0,36,583,801,616,495,399,252,222,185,159,115,96,77,69,58,55,60,36,31,28,26,30,34,27,27,27,19,16,18,27,15,18,28,18,15,22,18,22,15,14,24,11,16,19,14,16,17,17,16,16,10,15,11,19,7,12,5,9,13,16,12,5,3,10,5,8,11,7,6,8,11,5,9,9,9,4,5,8,5,7,5,11,2,7,8,9,7,4,1,4
Panch Mahals,24,484,0,0,0,0,0,0,0,0,0,0,0,50,2178,3977,3693,3107,2343,1790,1342,1013,704,561,398,298,220,168,145,107,97,82,79,55,50,40,29,31,25,11,17,14,20,16,10,9,11,14,9,16,14,10,12,7,8,7,10,7,12,10,13,6,7,11,9,9,5,5,6,4,4,5,3,9,2,3,4,5,6,3,7,7,1,7,3,7,2,3,4,2,4,2,1,1,3,2,1,1,4,3,0,2,1
Deoghar,20,350,0,0,0,0,0,0,0,0,0,0,0,79,2715,2942,1608,895,500,353,272,180,146,124,97,62,74,60,36,47,29,30,28,28,18,26,17,13,12,15,11,9,14,15,14,10,8,9,8,3,9,9,7,3,7,5,3,3,4,4,6,5,4,3,6,6,3,1,3,2,3,1,2,4,3,4,1,3,2,2,4,3,3,1,2,1,1,3,3,0,2,2,1,3,3,1,0,0,0,1,1,3,1
Jehanabad,10,239,0,0,0,0,0,0,0,0,0,0,0,0,63,562,807,573,442,331,272,198,174,135,88,83,55,63,49,42,25,21,16,15,10,8,2,8,6,8,2,4,3,0,3,4,2,5,3,4,1,1,2,0,3,0,1,1,0,1,0,3,0,0,1,1,1,1,2,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,1,0,3,0,1,0,1,0,0,0,1
Kodagu,29,576,0,0,0,0,0,0,0,0,1,4,103,3322,8231,3483,976,308,152,68,32,23,22,14,16,14,9,8,9,11,6,8,5,8,3,7,1,1,0,4,4,7,2,4,1,2,1,3,1,2,2,3,0,1,1,2,1,1,1,2,1,1,0,0,1,0,0,1,2,0,0,1,0,2,1,0,0,0,1,1,5,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0
Srinagar,1,10,0,0,0,0,0,0,0,0,0,0,88,1060,1251,329,272,201,187,162,101,92,81,86,82,87,46,47,39,34,36,35,35,39,25,26,27,25,17,23,23,20,19,18,24,18,8,20,16,15,12,14,8,6,17,4,8,4,7,6,6,5,7,5,6,5,6,10,6,3,4,7,5,5,4,3,5,6,2,4,4,4,1,3,4,6,0,2,3,3,8,0,4,4,5,5,2,5,5,2,3,5,2
Dhule,27,498,0,0,0,0,0,0,0,0,0,0,0,75,7913,11208,4545,2095,1275,843,534,400,312,204,177,117,133,87,83,63,52,63,49,43,32,41,33,31,23,16,12,15,19,19,14,9,11,13,16,11,12,10,12,11,5,9,6,8,4,13,5,10,11,8,3,4,11,5,9,7,5,7,5,6,5,4,4,6,2,2,1,2,6,2,2,2,2,4,1,1,2,2,4,3,3,4,4,4,2,2,2,2,0
Kishanganj,10,210,0,0,0,0,0,0,0,0,0,0,0,527,2327,2423,1397,759,414,239,121,83,52,38,40,23,20,17,12,11,15,9,8,14,11,8,5,8,3,3,3,0,4,4,3,5,1,1,3,2,1,1,0,1,3,3,0,1,0,0,0,0,2,0,1,3,0,0,0,2,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,3,0,0,0,0
Gurdaspur,3,35,0,0,0,0,0,0,0,0,0,0,1,265,814,1372,1829,1877,1684,1323,1108,872,707,555,500,422,353,323,294,247,218,181,167,137,115,93,102,83,75,73,76,56,55,40,50,53,48,36,30,30,32,31,25,20,18,28,23,18,25,15,21,17,19,21,12,17,14,14,14,13,13,13,15,15,13,9,13,5,13,7,13,9,5,6,5,8,6,8,6,8,10,7,7,7,5,2,6,7,3,3,7,2,5
Sikar,8,111,0,0,0,0,0,0,0,0,0,0,0,38,2373,3914,3237,2937,2900,2687,2586,2413,2022,1739,1401,1167,888,730,585,474,406,297,239,184,177,132,112,97,85,72,67,65,46,56,43,48,28,20,33,25,21,26,21,19,14,18,10,16,6,6,17,13,10,10,10,12,10,4,6,10,7,8,7,8,8,2,3,6,10,6,6,7,4,7,5,2,3,4,3,5,4,4,5,1,2,1,6,6,1,1,2,2,3
West Nimar,23,440,0,0,0,0,0,0,0,0,0,0,0,622,10793,10527,4534,2351,1367,908,672,476,413,308,255,191,158,124,102,110,94,87,55,63,49,50,29,41,42,28,17,24,18,12,21,22,26,12,14,14,12,13,13,7,4,9,11,3,8,10,6,6,8,4,9,7,5,7,2,2,6,3,3,4,2,2,4,5,4,0,1,2,1,0,3,3,4,5,3,1,2,0,3,2,1,3,1,1,3,2,3,2,1
Nawada,10,237,0,0,0,0,0,0,0,0,0,0,0,526,4205,2907,1313,638,399,244,165,89,105,67,49,35,25,19,13,24,10,9,11,9,5,7,10,8,3,3,6,2,2,7,2,3,2,1,3,1,1,2,2,0,1,2,3,0,1,2,2,1,1,1,0,6,2,0,1,1,0,0,0,3,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Ujjain,23,435,0,0,0,0,0,0,0,0,0,0,0,0,426,5207,6272,3504,2301,1717,1229,900,688,565,427,348,298,283,201,184,170,122,118,110,104,93,89,78,56,55,46,50,39,43,29,32,28,30,30,15,36,32,29,25,15,18,18,10,13,15,12,11,17,11,10,12,11,20,12,7,9,14,12,11,9,6,10,7,3,9,6,2,7,3,4,6,10,3,3,1,3,6,3,4,4,4,2,1,1,5,3,1,4
Nagaur,8,112,0,0,0,0,0,0,0,0,0,0,0,991,24549,19492,10060,5931,4103,2955,2193,1623,1292,988,749,591,500,383,350,261,181,198,180,143,149,129,108,86,85,77,69,61,49,46,62,35,43,45,46,33,38,32,23,13,28,20,18,15,21,18,14,21,13,17,10,17,5,9,11,11,12,7,17,8,9,5,8,11,9,4,3,7,8,14,4,8,5,4,9,5,5,4,4,3,5,6,1,2,9,7,5,3,2
Patna,10,230,0,0,0,0,0,0,0,0,0,0,0,8,535,1773,1665,1339,1160,882,788,666,554,434,344,292,305,244,203,182,135,154,123,108,109,110,85,81,77,69,65,45,61,36,56,44,31,31,41,29,22,24,29,21,32,18,22,21,24,31,22,19,22,15,16,19,24,13,9,15,14,18,17,11,9,9,10,6,10,12,5,17,17,10,15,7,11,7,12,5,10,5,7,10,7,9,10,9,4,7,15,7,2
Dausa,8,109,0,0,0,0,0,0,0,0,0,0,0,0,48,398,455,712,845,903,912,855,894,805,817,715,655,627,554,541,468,440,402,367,289,287,250,239,176,165,157,164,120,130,99,82,84,82,74,60,57,49,39,30,40,28,35,21,25,19,20,20,13,13,10,11,12,10,26,11,12,6,11,6,12,9,11,8,7,5,12,9,8,6,1,5,3,8,3,2,3,7,3,2,2,1,5,3,4,1,4,3,1
West Khasi Hills,17,296,0,0,0,0,0,0,0,0,0,0,131,7931,10139,2240,878,485,275,207,134,109,86,93,63,40,41,21,36,32,18,24,22,14,9,6,19,9,24,18,12,7,4,12,10,8,6,6,1,4,7,4,4,4,0,4,2,1,4,0,5,3,1,3,2,1,2,0,0,0,1,1,0,0,0,0,0,3,2,1,2,1,0,0,2,1,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0
Samba,1,22,0,0,0,0,0,0,0,0,0,0,0,48,304,467,396,389,299,223,223,152,143,137,120,107,119,102,88,69,76,88,69,60,50,43,47,35,46,49,40,36,30,35,27,31,27,23,13,19,24,27,28,20,26,13,19,15,14,10,16,8,12,9,10,9,5,7,10,6,4,5,4,4,5,5,5,5,3,6,4,6,7,3,2,4,3,5,3,2,0,0,5,1,4,1,0,0,1,4,0,1,1
Tinsukia,18,309,0,0,0,0,0,0,0,0,0,3,208,1342,2555,2272,1557,1265,953,742,602,409,348,310,271,199,170,206,193,199,204,154,171,152,142,120,114,111,95,90,101,88,79,86,85,78,61,73,47,47,59,39,45,36,45,42,28,29,25,40,25,26,26,21,26,20,15,12,17,19,16,12,8,16,17,15,10,13,16,11,21,10,9,9,16,11,16,8,6,6,12,6,5,11,6,4,4,5,4,4,10,10,4
Chitradurga,29,566,0,0,0,0,0,0,0,0,0,0,0,56,4648,11336,6471,3473,2067,1449,1009,769,601,461,377,315,272,211,186,149,118,106,79,63,75,58,50,40,35,31,26,24,13,29,22,26,26,14,17,20,17,11,10,7,9,14,12,7,4,6,5,8,10,6,5,6,2,5,1,6,1,3,4,3,3,2,2,1,2,2,5,2,1,5,2,4,2,2,1,1,4,3,4,0,0,1,0,2,1,0,1,1,1
Sambalpur,21,372,0,0,0,0,0,0,0,0,0,0,0,45,1970,5392,4936,3294,2126,1591,1134,909,673,644,533,476,407,371,366,313,272,240,196,216,163,166,143,135,118,107,107,121,103,73,76,68,57,70,74,70,62,46,47,40,43,48,47,44,41,27,48,34,25,32,31,29,31,25,33,31,15,21,11,20,13,7,9,18,12,15,11,14,9,13,8,6,3,8,8,4,7,3,9,4,9,6,8,6,4,9,0,3,7
Purba Champaran,10,204,0,0,0,0,0,0,0,0,0,0,0,780,9844,3980,1399,602,346,199,143,83,66,52,41,34,33,16,19,19,14,7,12,11,5,4,6,11,6,8,3,3,5,2,4,1,4,6,3,4,3,5,0,2,4,5,3,3,1,2,2,4,0,1,2,4,3,0,5,0,1,5,1,3,0,2,1,1,1,0,1,4,2,0,3,1,2,2,0,2,0,0,0,2,0,1,1,0,1,1,1,0,1
Burhanpur,23,467,0,0,0,0,0,0,0,0,0,0,0,784,8381,2428,776,385,224,129,97,70,58,38,44,42,18,21,18,19,15,9,12,16,7,8,8,7,12,7,10,6,10,5,4,8,3,5,3,2,6,6,4,2,2,3,2,4,6,3,2,2,3,5,2,2,2,3,2,2,0,0,3,0,5,1,2,2,1,3,3,2,0,1,0,0,3,0,1,1,1,0,1,2,1,0,0,0,0,0,1,0,0
