,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71,light_72,light_73,light_74,light_75,light_76,light_77,light_78,light_79,light_80,light_81,light_82,light_83,light_84,light_85,light_86,light_87,light_88,light_89,light_90,light_91,light_92,light_93,light_94,light_95,light_96,light_97,light_98,light_99,light_100
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,3,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,0,0,3,1,1,1,1,2,0
Tirunelveli,33,628,0,0,0,0,0,0,9,33,196,1248,3126,3358,2883,2724,2118,1634,1309,937,682,475,407,306,248,202,176,120,142,108,109,101,95,84,65,56,37,46,31,33,42,32,20,35,37,28,19,30,17,23,21,18,16,20,11,10,12,10,4,8,17,12,5,7,13,16,12,8,2,2,9,4,9,12,4,5,6,10,9,1,1,10,6,16,7,4,4,2,3,3,2,2,6,2,6,2,6,9,1,1,10,8,2
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,28,635,997,1341,1453,1255,947,670,492,318,246,164,102,91,73,53,46,42,32,23,28,21,4,11,11,4,6,5,9,4,7,9,7,6,0,3,4,3,0,3,3,3,3,1,2,2,2,1,0,0,0,1,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,8,2845,9429,4373,2058,1079,631,455,271,162,173,124,98,74,55,42,33,28,35,24,18,18,14,13,9,15,6,8,11,10,6,7,4,4,5,4,6,9,7,3,8,6,1,6,5,1,4,1,2,0,5,2,0,2,5,2,1,2,2,2,2,1,0,1,0,1,2,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
West Kameng,12,246,0,0,0,0,0,0,0,0,0,7,3595,17332,2136,234,115,72,42,42,29,19,20,11,9,12,8,13,12,5,2,7,2,5,4,6,2,5,5,3,5,4,1,3,3,3,4,2,3,1,6,3,0,0,0,0,4,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,1,620,1112,1570,2028,1929,1423,1153,896,756,600,523,427,316,309,274,253,208,193,185,134,141,99,113,94,81,77,81,76,72,66,57,56,43,45,53,39,50,38,41,34,40,46,40,37,39,37,34,26,32,28,21,26,22,36,17,23,24,21,26,20,14,19,21,26,20,14,21,15,16,16,18,15,9,12,24,17,12,12,9,13,12,19,6,10,10,9,14,13,6,11,15
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,7,826,1404,910,884,732,572,501,403,338,279,227,163,143,129,113,108,88,68,62,45,43,41,35,23,23,20,18,19,16,15,10,10,8,8,8,8,8,7,10,8,10,5,3,9,4,6,8,3,5,6,1,7,4,6,3,2,3,7,2,9,4,4,4,1,7,6,2,5,0,5,1,3,1,4,3,5,2,3,4,3,1,4,2,5,0,2,2,1,2,1
North Tripura,16,292,0,0,0,0,0,0,0,0,0,3,1647,2494,879,631,407,335,261,252,210,185,149,162,119,115,111,82,72,72,49,73,70,37,53,50,41,39,28,28,26,22,16,16,15,18,12,10,16,15,6,6,9,8,13,5,11,4,6,7,6,3,3,6,4,5,1,4,4,2,1,0,3,1,2,1,2,3,4,3,3,1,1,0,1,2,0,1,1,0,0,2,0,1,0,0,1,1,1,0,0,0,1
Kollam,32,600,0,0,0,0,0,0,0,0,149,1341,2100,1451,1160,846,581,458,331,240,239,189,119,102,72,64,50,29,29,25,32,12,15,19,21,14,19,12,9,7,9,10,6,5,6,1,6,5,7,8,7,3,2,3,1,0,2,1,3,1,0,1,1,0,5,1,4,0,2,0,1,0,0,8,0,2,3,0,0,3,2,1,1,0,2,0,3,0,0,5,0,0,0,1,2,1,0,0,0,4,0,1,0
Lower Subansiri,12,255,0,0,0,0,0,0,0,0,0,52,6498,4088,234,90,48,35,25,25,12,10,6,11,8,10,3,9,10,4,3,6,2,1,2,3,3,2,2,0,0,3,0,0,0,0,2,2,0,1,2,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,78,205,219,305,269,350,329,277,259,254,233,205,188,164,161,150,111,119,122,106,98,90,82,80,71,58,61,69,59,63,48,55,41,49,40,42,46,27,24,15,26,27,31,20,12,19,22,16,11,20,20,13,10,15,8,16,9,16,11,10,10,12,7,7,10,15,10,9,10,16,8,7,5,4,4,0,4,5,7,6,5,8,6,4,5,4
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,25,276,283,337,320,305,294,280,300,270,223,195,157,167,158,111,93,96,96,90,82,80,67,77,55,50,49,40,39,36,35,33,40,35,26,34,22,27,19,15,33,25,25,19,23,19,16,23,14,20,17,21,22,17,15,14,16,12,19,6,12,10,8,12,15,8,10,8,14,7,9,6,14,11,10,3,12,5,8,7,12,8,5,8,6,4,7,6,14,9,12
Mirzapur,9,199,0,0,0,0,0,0,0,0,0,55,5010,4488,2335,1587,1150,903,685,587,484,332,267,237,191,172,150,136,114,93,80,94,77,63,49,44,39,33,31,26,27,22,22,14,14,11,12,12,10,17,15,11,14,10,4,4,7,0,6,8,7,6,5,6,5,5,5,3,4,1,7,4,1,7,8,8,1,3,2,3,5,3,1,3,3,4,4,1,2,0,2,3,1,1,0,3,0,1,1,0,0,1,1
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,2,757,3086,3064,2440,1570,1087,758,445,319,247,148,140,111,77,72,68,42,39,39,34,34,27,24,26,20,17,17,12,17,15,9,12,11,12,9,9,10,7,10,11,17,7,4,5,3,4,10,6,4,2,2,2,3,3,5,2,4,6,6,4,2,3,1,2,2,3,3,1,2,2,3,0,3,1,1,1,1,1,2,0,2,1,2,0,1,0,1,3,1,0
Bikaner,8,101,0,0,0,0,0,0,0,0,6,79,2502,50899,39442,17861,9812,5065,2904,1758,1085,852,633,492,408,325,285,272,214,183,170,146,143,100,92,97,88,82,63,77,51,57,43,52,49,32,33,28,24,41,29,33,18,27,25,12,16,21,22,15,12,25,18,19,15,12,10,16,12,15,11,21,14,14,11,8,12,12,8,11,11,8,3,5,9,9,13,12,8,8,9,1,8,9,7,9,4,3,8,10,2,3,3
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,3,1,0,7,3,3,3,0,2,0,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12,8,5,12,9,5,7,6,4,2,5,5,2,2,1,2,4,1,2,2,4,3,6,0,3,0,2,2,3,1,1,1,2,4,2,6,2,0,1,3,2,1,0,1,0,2,1,2,1,0,1,1,1
Tiruvannamalai,33,606,0,0,0,0,0,0,0,0,6,570,3108,4284,4954,4059,2818,1702,1051,705,475,331,239,200,133,113,82,65,70,46,39,39,33,26,27,19,17,22,12,8,10,11,7,6,9,7,14,6,7,9,3,7,7,5,9,5,5,4,2,4,6,3,3,1,3,4,0,2,1,2,2,4,4,2,2,2,1,3,3,1,1,0,0,2,0,2,4,0,2,2,0,0,1,1,2,2,1,2,0,1,1,0,0
Udupi,29,569,0,0,0,0,0,0,0,0,97,3161,6587,2684,1090,587,366,262,196,137,124,71,48,53,39,31,39,23,30,19,23,10,17,9,13,14,11,9,10,11,12,11,10,9,9,6,4,11,6,9,4,4,4,2,2,4,1,3,1,3,5,4,3,0,0,1,2,1,2,4,1,1,3,2,3,4,2,4,0,1,0,2,3,5,2,1,4,2,0,2,1,3,0,1,2,0,1,1,0,2,0,1,3
Bellary,29,565,0,0,0,0,0,0,0,0,0,61,4275,9026,6131,3962,2318,1607,1077,854,630,523,445,333,289,271,243,207,204,187,153,127,125,107,107,78,72,78,74,62,60,56,42,48,37,49,38,37,37,37,26,19,26,32,27,20,25,16,21,21,26,16,22,23,12,7,14,13,12,11,13,13,19,20,16,11,13,7,12,20,9,6,5,8,6,4,6,13,9,9,5,1,9,8,3,9,6,4,6,5,7,6,10
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,64,850,685,781,880,1012,1031,953,934,839,797,734,577,540,523,462,423,382,325,323,276,254,215,214,205,170,156,135,134,125,116,98,88,83,85,70,70,75,74,66,57,44,49,44,34,37,31,37,41,42,34,23,26,27,25,35,22,23,20,25,23,26,24,13,25,24,20,20,24,19,15,22,23,15,14,9,13,14,10,21,17,15,10,8,9,14,15,8,11,8
Jamui,10,238,0,0,0,0,0,0,0,0,0,2,2133,4805,2354,1303,783,499,334,261,187,152,112,85,64,53,42,35,24,19,19,15,16,16,14,15,9,5,4,7,5,2,6,7,5,3,3,2,5,1,2,1,2,1,3,3,0,0,3,2,3,1,1,2,0,0,0,2,2,0,3,1,0,1,1,1,0,0,1,2,2,2,3,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1
Harda,23,448,0,0,0,0,0,0,0,0,0,38,4422,4608,2368,1017,557,331,193,189,106,84,64,54,52,34,18,26,23,12,16,12,11,8,11,3,7,5,4,5,3,4,6,6,4,3,5,2,5,2,4,4,2,3,0,3,3,1,2,0,1,2,1,0,0,2,0,1,1,2,4,0,2,1,2,1,2,2,0,0,1,2,0,0,0,0,1,1,0,0,1,1,0,1,0,2,1,0,2,0,1,0,1
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,7,120,361,586,621,592,497,461,376,316,302,277,255,229,219,206,181,195,172,159,122,109,108,112,99,109,101,101,88,74,75,83,66,66,67,64,56,58,59,42,54,51,51,40,33,47,41,49,39,46,34,33,35,45,32,25,31,26,32,27,21,29,32,12,19,22,24,16,16,17,18,26,24,19,17,17,15,15,16,17,13,10,8,21,12,18,21,10
Gondiya,27,507,0,0,0,0,0,0,0,0,0,1284,9623,4686,2751,1604,973,590,399,276,218,188,118,100,84,70,57,44,43,35,26,30,33,19,18,14,8,8,8,9,10,10,15,11,6,9,4,3,4,7,4,6,1,2,5,2,6,6,2,3,3,5,1,1,4,8,4,4,3,4,2,1,1,0,0,4,0,1,0,2,2,0,2,2,2,5,0,0,1,0,0,0,1,0,0,1,1,5,1,2,1,0,0
Hailakandi,18,318,0,0,0,0,0,0,0,0,0,0,1198,2177,787,561,343,257,120,89,62,54,28,20,20,9,8,13,13,10,12,10,9,5,6,1,2,4,1,2,2,2,1,0,0,1,2,1,1,3,2,3,0,0,0,0,0,2,1,2,0,1,1,1,0,1,2,0,1,1,1,0,2,0,0,1,2,2,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
