,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,1,6,5,4,6,8,3,8,10,8,11,6,9,8,14,13,7,10,6,15,36,46,302
Tirunelveli,33,628,0,0,0,0,2,1,2,0,1,1,3,4,6,18,19,40,61,81,157,229,366,555,713,799,797,795,915,1199,1319,1479,1613,1566,1612,1620,1500,1346,1201,1078,919,809,661,575,502,429,386,328,271,245,199,165,153,119,89,104,88,69,67,48,51,38,36,31,32,38,25,25,21,15,14,6,8,34
Udalguri,18,326,0,1,0,0,0,1,2,0,1,2,2,5,8,5,14,15,36,59,84,112,189,269,379,482,652,850,913,972,920,805,659,470,365,238,184,128,92,72,52,37,20,20,9,13,12,6,6,9,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,27,78,157,409,865,1439,2039,2349,2272,1886,1585,1373,1177,1033,847,761,683,566,505,385,308,272,238,173,145,113,116,59,74,52,35,32,24,29,30,19,18,13,7,11,11,5,4,6,4,4,1,0,2,0,0,2,4
West Kameng,12,246,0,63,7,17,30,23,40,50,55,87,136,204,263,385,582,880,1276,1585,2086,2489,2646,2672,2353,1972,1460,921,536,274,147,68,64,46,48,36,27,31,23,30,24,13,17,19,15,13,12,11,3,3,8,3,1,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,15,45,85,180,193,253,271,390,466,643,800,918,985,904,911,1027,919,853,796,740,685,608,565,495,424,386,338,271,258,260,216,176,166,166,141,139,125,137,106,126,99,104,88,70,90,100,107,107,114,107,91,73,343
Baramula,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,15,44,77,199,281,397,412,434,541,576,617,532,424,425,377,359,344,310,263,211,211,188,162,152,113,100,83,79,60,52,50,40,28,23,24,31,24,22,25,24,24,16,23,11,6,11,18,9,5,5,7,3,5
North Tripura,16,292,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,16,46,150,249,417,564,643,691,549,542,517,478,413,418,394,369,363,318,301,275,221,164,167,130,86,73,90,65,51,41,42,28,30,25,10,19,4,4,4,4,9,5,0,4,2,1,0,0,0,0,0,6,0,0,0
Kollam,32,600,0,2,1,0,1,1,0,0,0,0,2,4,4,5,10,9,12,30,28,60,90,152,222,327,459,530,527,456,392,373,377,458,534,576,563,561,488,396,384,407,316,276,232,191,148,102,78,73,47,39,36,34,34,18,18,10,16,8,11,6,3,1,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,100,12,8,17,18,19,20,28,41,60,42,66,91,96,111,138,181,193,307,328,335,356,467,514,558,512,473,478,330,352,202,127,88,77,63,29,20,9,8,9,6,4,2,5,4,2,2,4,2,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
