,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,2,7,10,7,9,14,13,6,5,13,14,14,13,14,16,24,60,72,86,58,85
Tirunelveli,33,628,0,156,16,23,24,34,39,54,75,68,65,87,123,139,169,224,257,317,411,412,516,551,631,699,757,824,787,821,827,899,742,790,643,608,654,552,485,503,470,422,395,309,363,280,278,221,242,194,138,137,166,105,127,103,112,76,51,72,65,49,41,29,35,29,16,31,19,29,29,13,26,84
Udalguri,18,326,0,6,0,1,0,0,1,3,2,2,5,4,14,7,18,21,20,49,68,99,151,253,286,383,456,553,572,615,609,680,647,569,552,490,429,373,287,209,188,142,112,79,50,40,33,30,21,18,10,7,3,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,9,0,1,1,3,1,0,0,6,5,9,8,22,34,42,51,72,111,171,292,518,732,1026,1468,1859,2077,2200,2068,1775,1629,1273,1020,786,595,450,384,263,219,168,159,127,89,82,61,65,37,31,20,24,27,11,19,26,17,16,10,10,8,4,10,2,5,3,1,2,0,0,0,0,0,0
West Kameng,12,246,0,121,22,42,21,36,53,48,73,97,108,143,179,236,312,425,566,737,1003,1268,1715,2011,2215,2402,2474,2175,1761,1201,756,509,257,157,99,73,40,54,27,36,25,21,23,18,21,23,12,16,15,8,13,11,14,16,4,7,4,6,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Surat,24,492,0,5,1,0,0,1,2,2,1,5,4,5,5,5,3,15,11,36,44,76,124,158,231,303,396,537,645,809,939,1099,1079,1016,985,877,747,662,570,543,553,526,557,467,399,313,267,251,228,228,211,195,176,149,181,137,107,99,110,112,88,104,84,89,99,105,99,83,95,93,82,58,52,345
Baramula,1,8,0,0,0,0,0,0,0,0,0,2,0,1,1,1,8,18,38,73,113,202,279,362,395,275,175,144,146,176,235,230,297,362,374,377,347,421,351,361,309,302,273,272,235,188,201,139,123,110,109,75,57,48,36,39,24,39,24,23,21,26,20,23,15,17,17,11,11,11,12,10,6,15
North Tripura,16,292,0,85,9,20,12,20,27,23,27,35,74,59,94,119,134,112,146,187,244,355,340,363,338,403,418,355,295,308,225,247,236,229,209,173,150,149,143,104,102,71,56,55,19,45,28,27,18,5,12,6,6,1,2,5,3,0,1,1,2,2,3,0,2,0,0,2,0,0,0,0,0,0
Kollam,32,600,0,35,6,9,2,3,9,7,15,19,18,22,28,31,42,69,89,96,120,132,193,205,250,319,383,427,470,538,545,544,543,525,475,426,396,352,296,298,257,197,170,130,114,93,71,52,52,47,27,20,33,16,12,14,7,10,8,6,5,2,2,2,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,225,25,35,59,61,55,108,109,117,169,206,226,274,384,401,495,586,718,822,906,900,926,853,692,535,349,227,147,70,44,38,31,22,21,19,16,8,6,5,11,3,6,4,7,5,4,4,5,1,3,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,27,52,84,153,269,357,422,425,444,461,351,356,346,311,238,222,200,174,164,133,115,103,75,82,59,57,54,36,33,30,30,21,18,14,15,8,8,7,3,10,5,6,19
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,13,19,28,55,71,94,135,152,173,208,231,270,305,312,276,310,298,274,281,235,220,260,215,175,134,151,103,91,82,75,70,49,65,52,44,42,32,29,25,19,26,16,4,16,7,6,7,3,7,20
Mirzapur,9,199,0,0,0,0,0,0,0,1,0,0,3,2,1,3,9,15,31,62,128,239,459,882,1273,1823,2166,2089,1990,1641,1422,1130,951,694,540,429,336,276,212,155,138,129,84,61,78,76,58,37,41,42,31,28,25,29,25,16,22,16,12,10,14,8,9,12,8,8,9,7,3,4,3,1,2,2
Ghazipur,9,195,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,5,12,12,35,67,115,256,455,870,1130,1291,1359,1438,1362,1232,1091,920,782,625,508,357,257,188,127,109,92,59,45,29,31,16,27,21,18,18,14,19,9,15,9,6,3,4,10,5,2,1,3,0,0,0,0,0,0,0
Bikaner,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,29,96,309,817,2256,5824,12251,20465,24748,21264,14239,8897,6066,4316,3157,2365,1774,1424,1065,898,736,560,514,408,350,315,250,245,203,192,169,154,130,120,106,78,83,71,61,59,47,48,53,32,50,41,39,43,37,45,43,20,22,26,55
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,1,0,7,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,49,25,28,13,13,23,20,26,21,26,17,22,33,27,36,43,30,44,41,47,551
Tiruvannamalai,33,606,0,134,24,28,28,34,41,54,94,111,120,170,176,242,287,334,409,505,538,627,811,827,833,875,895,1031,1104,1244,1279,1318,1246,1214,1176,1144,1038,840,788,704,528,460,386,272,214,167,121,127,116,86,65,62,42,43,49,19,22,23,11,25,21,13,3,4,12,6,4,7,1,8,4,2,5,12
Udupi,29,569,0,44,19,13,7,18,13,46,16,36,24,35,70,63,90,88,148,196,153,267,248,301,401,383,402,396,420,318,248,268,148,131,161,100,85,83,76,54,22,30,26,26,13,13,13,9,7,0,7,2,4,7,2,0,4,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bellary,29,565,0,14,0,4,1,2,6,6,4,13,9,13,29,34,57,68,131,157,263,394,577,858,1134,1492,1709,2001,2079,2146,2147,1927,1860,1750,1651,1515,1251,1132,933,847,741,657,565,461,426,409,331,294,293,234,213,161,164,167,163,115,88,94,71,84,73,50,64,36,26,36,26,30,37,26,20,19,13,45
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,30,85,182,273,405,417,571,734,872,1006,985,1086,1011,989,955,878,860,769,694,629,553,508,392,370,287,243,216,188,188,174,128,107,115,97,93,69,46,57,76,50,61,50,44,56,45,55,48,41,62,302
Jamui,10,238,0,27,9,5,12,12,5,13,16,17,22,19,30,48,81,103,164,243,346,503,712,951,1153,1240,1241,1147,1068,937,735,615,421,363,264,209,160,110,92,74,55,33,32,21,11,13,14,7,4,8,10,4,3,2,2,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harda,23,448,0,6,0,0,1,2,2,4,2,9,14,20,26,38,77,112,199,312,436,586,721,872,906,981,1077,1156,1216,1105,912,689,499,412,317,240,195,187,141,156,109,84,111,66,55,41,46,34,30,29,14,11,10,12,15,5,8,7,3,1,5,7,3,3,1,1,2,5,3,1,0,0,0,0
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,68,143,172,219,406,471,688,714,580,494,426,480,419,375,383,360,317,273,248,248,229,222,212,208,186,164,144,134,122,101,87,95,67,79,67,74,52,54,34,43,18,20
Gondiya,27,507,0,679,80,78,78,146,154,145,154,194,258,233,292,284,275,345,325,361,314,301,371,312,350,392,434,585,542,627,577,482,465,410,378,343,258,230,209,139,84,50,64,27,44,19,9,23,8,12,20,14,14,7,5,8,2,1,10,7,4,8,0,4,0,0,0,0,0,0,0,3,0,19
Hailakandi,18,318,0,28,4,5,7,2,4,11,17,8,33,19,28,41,72,111,162,191,216,275,345,372,412,420,437,344,354,331,334,337,270,190,134,67,44,33,31,26,14,13,8,11,8,4,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,344,46,43,53,85,95,94,108,149,166,236,229,369,425,550,585,819,1023,1269,1436,1456,1688,1687,1501,1289,1137,842,588,401,278,138,108,74,26,21,27,10,15,21,13,10,11,5,7,8,15,10,13,12,4,10,5,8,7,3,1,2,4,1,5,4,3,3,0,0,0,0,0,0,0,0
Bhopal,23,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,38,116,229,410,589,707,705,666,664,699,682,598,502,437,434,362,367,308,284,263,213,212,192,167,144,135,127,107,94,87,86,65,79,58,56,58,66,42,56,44,59,50,57,67,45,45,46,46,56,52,239
Panchkula,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,28,49,102,183,201,160,161,78,93,112,138,179,164,161,156,154,185,170,140,120,131,112,109,107,77,73,63,55,57,37,34,31,27,28,20,22,27,7,18,18,14,13,16,15,14,21,19,46
Sonbhadra,9,200,0,17,5,2,5,2,7,7,8,10,25,26,29,58,79,160,201,337,574,933,1447,2057,2718,2991,3005,2606,2137,1798,1420,1138,861,672,557,483,394,305,241,219,222,188,160,153,133,113,101,94,76,84,54,54,53,45,59,57,48,51,60,51,53,55,39,37,37,37,31,30,33,28,29,22,18,78
Jhalawar,8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,45,118,296,655,1313,1994,2609,2847,2622,2272,1804,1567,1310,1140,977,885,739,668,562,483,418,345,304,251,211,180,132,126,90,81,72,54,51,42,32,35,23,25,17,18,18,22,10,5,15,9,10,4,6,3,9,13
Mahendragarh,6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,62,86,233,483,764,940,905,744,631,518,454,370,351,295,261,256,226,186,186,156,122,115,85,68,49,47,35,21,19,16,14,10,9,14,7,3,11,8,3,6,2,4,0,2
Sawai Madhopur,8,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,49,129,301,709,1233,1778,2124,2225,2112,1846,1421,1184,1029,841,812,651,577,519,462,360,316,298,255,226,166,143,128,109,84,80,57,45,35,30,38,25,21,14,15,14,13,9,9,9,9,6,7,6,3,1,0,0
Shimla,2,33,0,0,0,0,0,1,0,0,0,0,3,1,4,4,17,42,69,141,311,657,1124,1815,2752,3203,2986,2483,1865,1443,1106,878,718,538,371,311,221,151,144,105,86,54,53,47,47,43,39,19,31,29,25,16,22,13,18,10,13,12,10,5,6,9,6,5,6,3,0,3,2,0,0,0,0,0
South 24 Parganas,19,343,0,9,0,1,2,1,1,3,0,3,1,3,3,8,5,7,9,9,16,17,18,24,28,45,54,60,63,88,67,49,109,109,128,112,108,135,137,111,103,81,48,40,63,40,45,18,17,8,4,5,5,1,1,0,2,8,4,2,13,9,15,10,9,22,17,6,10,8,17,5,3,17
Pratapgarh,9,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,29,72,174,354,694,1115,1361,1463,1560,1491,1276,1144,1109,892,831,751,537,410,315,254,174,130,93,60,47,33,27,29,13,16,14,15,10,9,5,6,4,7,10,3,0,4,4,2,1,0,0,0,0,0,0
Jaintia Hills,17,299,0,14,4,4,14,6,3,7,13,17,19,52,39,66,94,128,200,310,405,597,833,1018,1173,1356,1444,1434,1289,1179,931,716,562,388,300,259,209,190,174,154,127,113,119,109,91,80,69,70,70,60,45,41,41,30,23,25,26,24,14,10,14,11,13,13,8,3,9,5,4,0,2,1,1,0
Kapurthala,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,95,288,527,678,708,751,724,585,537,433,419,345,289,227,223,136,100,89,71,76,55,56,44,38,33,34,29,22,17,31,24,18,13,14,11,15,10,9,8,3,0,0,0
Hisar,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,54,158,271,558,1043,1591,1828,1673,1502,1269,1119,992,724,734,594,516,428,389,396,332,340,321,260,247,203,196,192,175,161,126,133,97,101,92,79,58,55,40,35,21,36,24,25,37,25,44
Mandi,2,27,0,0,0,0,0,0,1,0,1,1,1,9,4,18,23,59,95,143,275,477,846,1260,1663,1851,1912,1808,1506,1267,1089,876,688,512,376,296,261,187,182,150,116,92,97,84,75,59,44,36,28,27,20,17,16,13,8,9,6,6,7,3,6,8,3,2,5,2,1,0,2,0,0,1,0,1
Faridabad,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,29,38,56,68,111,89,85,97,105,128,146,141,150,176,159,152,141,176,161,134,116,104,81,95,78,73,61,70,72,56,56,52,42,47,56,46,67,296
Hoshangabad,23,449,0,1,0,1,0,1,0,2,3,3,2,14,16,34,46,128,242,462,705,1063,1605,2054,2191,2486,2490,2522,2297,1882,1564,1304,1041,867,701,578,512,387,352,244,218,181,151,109,94,83,63,52,53,46,40,46,27,26,17,23,21,20,14,17,21,13,14,11,5,6,8,6,9,2,4,4,3,3
Hoshiarpur,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,13,42,95,181,278,442,534,587,617,760,1000,1297,1408,1407,1320,1149,986,744,610,472,377,284,187,154,129,103,87,62,57,46,57,52,38,30,39,38,28,21,10,24,11,12,10,15,8,2,7,3,2,4,0,0,0
Jodhpur,8,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,42,146,471,1341,3409,6718,10614,13262,13081,11018,8868,6699,5263,4083,3139,2265,1816,1446,1212,926,847,712,632,519,448,381,319,314,255,222,200,170,133,152,128,121,112,97,102,88,81,69,55,73,69,53,56,59,55,65,48,44,335
Anuppur,23,461,0,2,0,1,2,0,3,6,5,8,14,19,28,40,48,81,128,215,300,496,677,960,1173,1353,1317,1168,991,808,688,627,597,580,548,458,397,316,273,285,208,191,153,147,124,125,99,87,96,71,58,59,50,55,48,43,42,36,34,22,23,23,15,25,13,9,19,8,5,3,3,5,2,13
Mumbai,27,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,4,4,4,3,8,4,3,1,3,15,18,24,16,38,29,16,24,16,15,16,19,11,12,9,7,8,13,30,33,222
Thiruvarur,33,619,0,119,12,18,18,19,31,23,34,14,30,54,54,54,61,75,68,83,97,121,166,132,150,231,280,341,424,432,536,549,549,531,525,492,366,355,292,233,180,172,102,112,85,68,39,35,34,43,23,20,11,22,14,8,27,6,10,9,7,10,11,3,11,5,0,0,1,2,0,3,1,6
Uttara Kannada,29,563,0,359,63,65,100,103,93,144,183,180,270,319,408,542,624,910,1098,1356,1797,2155,2511,2998,3379,3362,3397,3123,2633,2181,1727,1257,906,623,452,327,261,213,171,139,132,93,85,59,46,61,40,64,36,45,41,36,32,23,21,26,14,16,20,16,13,11,7,5,2,8,5,2,2,2,0,0,0,0
Bandipore,1,9,0,12,1,2,7,6,8,14,24,33,42,69,116,182,245,410,654,915,1152,1370,1388,1133,781,533,376,264,172,123,100,88,71,68,82,59,72,62,54,49,58,51,49,34,34,25,27,26,14,10,13,10,7,7,9,4,9,2,7,2,8,3,4,2,3,0,5,4,2,0,3,0,0,3
Sabar Kantha,24,472,0,0,0,0,0,0,0,0,1,3,1,3,4,4,9,8,20,34,69,111,213,389,628,1043,1481,2044,2595,3201,3186,2940,2694,2340,1929,1493,1201,1004,786,581,513,403,293,224,179,168,126,113,87,72,68,46,58,35,26,27,16,24,15,18,16,10,13,4,8,3,1,0,1,0,0,0,0,0
Rohtak,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,77,249,465,591,516,553,604,568,501,405,346,303,251,240,207,176,141,152,124,115,134,105,106,88,104,84,91,75,66,51,38,37,22,28,20,28,23,29,18,22,20,18,83
Mandla,23,454,0,594,89,92,112,158,173,178,229,267,326,388,498,620,782,1020,1333,1614,2016,2412,2579,2761,2666,2463,2120,1779,1284,913,605,462,314,255,199,140,95,94,70,45,50,30,23,21,26,20,20,10,12,10,2,10,11,5,0,5,1,4,5,1,2,1,4,4,4,0,0,0,0,0,0,0,0,0
Faizabad,9,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,73,198,455,687,889,1030,1181,1153,1242,1146,950,717,531,368,298,198,147,132,102,85,92,70,61,48,36,38,31,24,24,24,26,17,17,18,18,17,10,19,25,8,15,12,8,13,9,7,4,2,1,0
Champhai,15,284,0,28,7,1,3,5,9,10,13,13,30,41,49,75,94,131,178,291,404,634,886,1169,1554,1815,1930,1746,1386,914,537,287,172,83,39,26,19,12,13,6,9,2,2,7,9,7,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalaun,9,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,15,32,71,160,362,792,1504,2507,2867,2753,2135,1540,1054,831,625,567,463,359,273,264,188,188,118,120,88,76,74,46,40,38,32,33,29,28,18,13,10,13,10,5,9,9,9,10,13,8,8,4,8,6,6,1,0,0,0
Purba Medinipur,19,345,0,2,4,0,1,1,6,0,2,0,4,3,4,7,8,14,13,13,23,40,24,32,42,35,44,54,64,79,112,120,143,121,155,166,162,128,95,67,53,44,20,32,20,13,11,10,3,5,2,3,2,1,5,0,6,0,7,7,0,3,1,1,3,1,0,3,0,1,0,2,1,12
North West,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,15,31,34,57,55,57,45,68,49,56,71,72,57,48,70,61,64,48,58,55,46,56,46,49,55,690
Ganjam,21,388,0,79,15,14,12,30,28,21,29,37,43,52,34,55,74,69,100,146,148,188,198,296,292,327,343,354,383,299,400,317,323,239,200,224,199,172,137,183,120,82,90,101,58,59,58,44,21,25,25,24,22,17,16,12,6,5,8,4,5,11,6,4,3,5,1,2,3,0,0,1,0,10
Jhansi,9,166,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,13,32,94,237,531,1096,1820,2540,2738,2437,2004,1350,1089,897,714,635,554,495,380,343,302,256,234,180,164,132,98,100,79,81,64,63,59,56,49,53,45,43,53,41,34,39,26,23,24,26,22,24,18,19,24,13,12,12,11,47
Mathura,9,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,38,106,269,468,761,1051,1106,1097,1021,930,942,844,849,728,641,571,474,432,371,366,302,221,197,157,125,114,104,108,79,66,62,63,54,52,40,37,45,28,24,34,31,42,36,20,27,14,7,33
Bankura,19,339,0,1,0,0,0,3,0,0,2,0,0,2,9,3,0,6,5,15,20,44,79,118,228,419,622,847,1082,1414,1359,1281,1322,1139,1012,866,683,627,558,421,352,315,271,218,151,133,98,91,83,77,69,47,64,37,18,47,23,19,21,13,27,13,13,9,12,7,9,13,12,9,10,14,2,10
Fatehgarh Sahib,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,57,162,282,490,630,577,543,465,416,316,210,202,142,120,100,81,73,55,44,49,45,25,20,22,22,22,26,21,12,13,17,13,10,12,7,8,5,5,2,1,3
Dhaulpur,8,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,28,94,208,476,815,1005,1069,977,897,853,877,909,811,746,670,631,482,394,324,249,203,158,119,106,73,56,42,50,28,23,23,22,15,12,17,9,17,17,10,10,14,6,6,9,5,7,7,3,4,5,2,6,1
Bageshwar,5,63,0,1,0,0,0,0,0,2,0,3,4,6,5,7,27,52,62,113,198,317,586,820,1014,1200,1186,1081,932,680,497,409,336,263,221,133,113,75,66,47,46,22,15,9,7,16,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgaum,29,555,0,106,13,27,21,27,27,32,26,51,83,83,119,147,244,294,428,642,899,1211,1715,2355,2801,3567,3717,3862,3833,3676,3419,3101,3059,2580,2223,1987,1629,1287,961,795,626,563,492,384,337,277,224,208,174,172,134,122,128,102,72,72,57,47,45,51,39,38,35,46,37,34,29,43,20,20,22,28,22,103
Mau,9,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,2,10,12,21,46,66,102,137,173,259,315,396,478,541,521,552,571,537,528,446,365,300,231,171,146,113,91,68,50,42,30,27,32,17,23,21,11,14,6,10,9,9,6,10,9,6,12,5,6,2,3,0
Vadodara,24,486,0,2,1,2,1,1,3,4,0,1,4,4,9,18,26,38,55,102,173,286,407,637,957,1414,1877,2394,2686,2823,2588,2082,1795,1396,1115,929,722,701,627,574,500,483,466,399,371,277,266,270,230,199,198,189,169,185,170,134,121,115,99,78,67,80,70,79,69,75,56,84,78,57,72,92,76,324
Kolhapur,27,530,0,10,1,3,13,4,1,4,5,2,9,18,21,25,57,40,103,110,176,269,404,616,829,1248,1756,2194,2640,3163,2959,2834,2371,1829,1502,1109,827,719,599,451,422,330,280,229,220,172,166,123,97,83,103,92,97,82,64,54,50,47,47,35,39,38,45,39,21,28,35,24,25,15,20,6,6,17
