,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,5,6,8,6,8,14,8,8,8,10,14,7,10,16,8,19,14,24,50,73,88,64,39,40
Tirunelveli,33,628,0,15,0,7,4,3,1,6,3,6,1,4,18,16,30,19,24,28,39,55,68,65,94,93,144,193,249,382,518,635,772,753,851,803,817,851,762,721,701,587,467,372,297,235,189,142,137,113,100,87,55,73,49,36,47,42,43,28,34,17,21,13,8,11,14,4,13,5,7,1,1,6
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,10,14,42,82,138,270,379,584,806,939,998,1015,893,688,588,478,393,265,187,135,99,49,21,26,30,16,12,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,60,4,8,6,14,9,21,11,26,8,40,10,30,31,29,52,32,67,53,72,65,76,107,58,68,96,73,90,40,48,43,35,20,18,11,15,10,5,6,6,4,6,5,4,3,3,1,5,2,0,0,0,0,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
West Kameng,12,246,0,1,0,0,1,1,0,0,4,1,4,6,8,9,28,43,87,167,322,599,1053,1755,2718,3662,4092,3874,2747,1331,603,176,109,64,58,46,33,29,20,19,20,20,15,14,11,11,4,10,3,10,3,1,3,1,6,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,21,27,36,73,94,99,122,130,155,191,139,161,130,106,116,155,182,248,205,186,115,94,89,92,64,73,49,43,59,60,37,22,27,20,25,6,21,14,13,10,10,8,17,11,11,4,5,14,0,4,1,3,5,14
Baramula,1,8,0,45,3,9,10,4,11,7,13,17,17,18,36,25,31,47,60,49,64,99,100,127,150,159,203,201,206,220,212,210,230,286,352,352,427,450,384,322,314,280,269,321,268,210,261,190,148,125,147,123,94,79,54,49,49,36,50,28,29,36,16,24,23,19,19,19,8,12,20,11,13,25
North Tripura,16,292,0,8,0,1,1,2,0,1,3,1,7,1,9,20,41,57,56,109,151,277,393,555,712,844,871,736,554,430,387,379,331,277,299,248,209,206,143,134,102,70,54,60,44,59,29,18,20,20,18,10,7,6,7,7,1,5,7,4,0,2,2,0,1,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,9,3,1,6,5,4,9,6,3,5,13,23,16,18,22,43,46,60,68,133,78,152,153,204,253,301,464,496,675,740,775,800,750,602,539,399,420,313,221,158,118,98,71,70,54,44,28,35,29,29,12,23,9,10,5,4,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,0,0,0,1,0,0,1,0,0,3,3,3,6,13,14,34,76,177,336,573,1001,1547,1934,2073,1510,855,367,187,95,71,52,53,35,33,21,26,23,21,15,9,10,3,8,3,7,8,4,0,3,1,2,6,1,0,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,42,79,120,263,313,412,506,543,492,398,388,384,307,242,224,212,168,122,116,110,90,80,56,52,47,33,28,30,16,23,20,15,11,11,7,5,6,7,6,6,5,1,3,0
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,40,36,70,81,81,88,123,113,129,159,217,222,245,330,312,292,327,321,260,251,216,230,204,177,165,159,105,134,122,94,109,94,72,38,27,37,26,22,13,5,7,12,9,11,1,4,9
Mirzapur,9,199,0,55,0,10,11,5,10,17,31,24,11,38,32,50,55,91,98,94,169,172,231,234,348,317,361,378,385,344,392,369,396,376,378,440,416,459,412,409,328,259,187,193,136,80,65,43,33,24,24,49,24,16,14,11,10,13,14,3,13,2,2,3,1,0,0,0,0,0,0,0,0,0
Ghazipur,9,195,0,9,0,0,0,0,3,0,1,1,1,0,0,3,3,2,7,11,20,10,26,18,23,48,81,124,203,327,451,658,871,1036,1268,1368,1218,1151,1050,915,750,684,522,388,289,237,140,111,55,80,54,37,34,33,28,19,16,16,14,9,8,4,8,1,1,5,2,2,2,2,0,4,0,0
Bikaner,8,101,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,17,66,164,419,1081,2773,6559,12349,18902,22389,19679,13985,9665,6742,5013,3633,2693,2101,1559,1190,907,751,628,527,458,405,334,326,284,202,203,174,163,142,124,128,97,73,79,52,47,64,45,45,49,49,45,32,34,45,30,30,30,17,21,14,27
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,23,16,17,17,20,18,19,23,31,20,30,22,21,33,37,45,37,39,40,41,45,33,476
Tiruvannamalai,33,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,23,37,77,137,239,294,501,692,979,1119,1148,1060,1033,1075,867,892,816,757,753,763,604,483,313,349,219,185,164,95,84,63,44,51,27,33,33,11,19,13,13,13,9,3,5,2,9,6,4,3,1,8,8,11
Udupi,29,569,0,42,16,14,4,3,7,36,4,24,14,8,40,19,36,27,18,43,75,97,99,118,157,237,239,314,461,497,622,650,761,765,727,745,577,503,427,378,248,175,83,42,16,13,3,7,0,3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Bellary,29,565,0,4,8,2,1,4,3,2,2,14,7,5,13,8,18,39,26,49,63,132,141,189,309,414,539,760,1144,1564,2114,2499,2894,2805,2540,2034,1866,1520,1347,1107,957,822,746,636,574,473,365,341,287,267,235,202,202,180,134,132,101,133,97,96,59,52,77,40,62,32,41,34,27,38,24,31,17,122
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,10,22,43,98,147,268,315,326,417,514,664,864,1012,1117,1151,1162,1096,1116,1060,936,804,697,590,489,449,370,264,233,206,183,158,127,100,100,99,60,48,72,74,55,50,48,57,46,59,67,66,73,61,42,59
Jamui,10,238,0,13,0,1,1,2,0,4,3,7,5,7,7,7,16,21,36,42,77,118,150,236,409,587,835,1190,1364,1567,1371,1388,1007,700,609,338,273,162,119,122,76,68,69,54,30,30,24,20,22,12,21,5,3,2,6,3,3,3,5,2,1,2,5,0,6,1,0,0,0,0,0,0,0,0
Harda,23,448,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,15,10,20,25,45,88,117,142,270,335,481,545,646,507,391,321,165,147,84,88,52,64,50,43,23,30,12,21,14,17,9,11,10,8,3,2,2,2,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,134,248,327,450,515,576,603,546,428,397,511,499,441,422,408,359,337,303,252,242,254,204,184,172,158,91,94,99,76,71,69,57,43,57,44,37,34,32,14,15,8,9,7,2
Gondiya,27,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,18,318,0,0,0,0,0,0,0,0,2,2,1,1,2,3,6,11,11,16,44,80,148,267,466,640,838,708,581,435,321,276,227,171,144,106,76,67,57,34,23,22,13,9,16,2,9,6,3,8,5,3,1,3,3,5,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,18,3,5,3,8,7,21,14,25,34,54,73,96,170,292,397,706,1084,1628,2316,2957,3157,2750,1912,1031,489,238,142,74,65,63,54,43,29,40,27,16,25,15,9,8,11,12,7,8,11,9,8,6,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
