,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,3,8,3,8,10,4,5,11,7,17,21,17,10,23,18,24,40,58,88,47,38,24,11,41
Tirunelveli,33,628,0,8,0,3,1,4,4,2,17,10,21,16,32,47,60,87,163,201,337,457,613,687,760,825,884,1001,1095,1231,1338,1412,1520,1507,1400,1287,1230,1090,980,871,789,681,614,495,470,380,357,285,314,259,245,187,184,164,132,111,109,67,80,58,47,50,60,40,33,36,19,36,26,23,28,14,7,57
Udalguri,18,326,0,23,8,4,5,10,13,18,24,33,23,50,75,102,141,163,244,275,354,393,447,529,564,709,684,717,691,609,507,413,320,275,201,133,114,68,56,34,32,22,19,17,6,6,9,10,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,535,67,54,86,87,92,147,152,157,208,217,315,316,336,452,477,588,725,820,916,1057,1026,1196,1278,1246,1200,1197,987,799,729,534,466,307,276,206,198,166,103,110,87,59,67,40,38,24,19,22,25,17,14,14,14,14,7,13,5,8,6,3,1,0,4,1,4,1,0,0,1,0,0,0
West Kameng,12,246,0,484,104,122,126,171,198,282,359,482,609,757,997,1229,1403,1688,1887,2066,2117,1966,1801,1603,1154,754,494,288,147,75,57,42,27,26,18,22,20,19,13,6,10,8,9,8,9,3,4,1,1,2,6,2,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surat,24,492,0,32,7,3,7,16,8,11,12,22,19,19,33,70,65,116,137,194,267,370,551,734,852,1057,1151,1137,1183,939,878,714,629,545,529,470,469,476,422,348,319,269,258,216,187,143,138,123,125,124,95,99,75,74,84,71,78,58,75,72,60,47,67,53,52,60,50,68,59,23,38,25,28,99
Baramula,1,8,0,5,2,1,3,2,4,5,2,8,16,25,31,38,53,82,121,166,210,232,229,206,169,132,93,121,73,95,137,160,204,284,307,397,400,414,508,453,417,408,342,344,263,250,169,180,154,102,77,61,50,47,44,25,30,19,25,25,23,17,20,20,10,7,15,16,13,12,6,14,7,4
North Tripura,16,292,0,2,2,4,1,4,1,9,4,2,0,3,9,3,10,9,17,15,10,18,18,17,16,36,56,61,100,110,206,214,248,240,127,111,82,48,47,58,28,15,23,18,10,1,1,2,8,7,6,2,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0
Kollam,32,600,0,10,1,4,5,3,2,4,4,5,5,12,11,21,22,40,35,46,51,78,98,136,166,230,307,385,399,485,511,560,552,501,450,448,425,433,395,329,329,222,229,152,115,85,51,36,42,33,5,13,7,1,7,7,1,1,4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,1000,132,155,177,194,246,284,311,369,411,499,529,667,699,679,744,725,564,489,384,287,176,118,93,42,33,33,30,28,28,19,26,27,17,14,19,13,15,13,5,6,5,8,7,4,7,1,1,8,3,3,3,3,2,4,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
Palwal,6,89,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,6,1,6,2,10,13,10,32,34,39,74,41,78,76,124,134,115,163,170,183,189,173,154,147,109,83,68,76,58,52,35,40,31,24,17,13,11,10,8,3,13,13,5,8,0,4,6,0,0,0,0,0,0,0
Ramgarh,20,361,0,5,2,0,0,2,1,2,0,5,1,2,2,14,19,20,17,25,35,39,75,108,109,133,169,156,167,210,183,204,194,193,217,239,245,225,212,194,159,147,132,186,170,195,156,158,95,102,95,93,89,89,69,55,91,88,89,37,36,29,20,23,16,8,8,3,4,9,2,2,4,6
Mirzapur,9,199,0,225,22,32,30,51,55,58,79,89,137,162,176,206,221,296,419,464,572,631,782,873,1053,1139,1230,1314,1241,1155,960,821,770,632,564,525,397,323,203,161,141,92,69,35,54,35,38,34,34,26,20,11,12,16,8,4,6,9,8,3,8,2,9,11,3,3,6,4,1,0,2,0,1,1
Ghazipur,9,195,0,105,17,11,31,38,36,43,30,68,81,94,122,144,213,253,252,391,504,566,563,706,738,815,824,782,856,803,723,652,536,438,361,307,284,186,174,159,121,93,74,61,41,39,33,39,23,13,15,15,13,8,8,7,4,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bikaner,8,101,0,5147,807,1134,1362,1666,2156,2638,3266,4033,5041,6054,7499,8358,9539,10245,10096,9855,8829,7448,5890,4575,3673,2701,2172,1794,1366,1124,956,799,663,591,545,441,330,326,311,254,228,183,216,182,174,129,125,122,128,89,51,70,59,51,44,49,53,43,42,30,48,29,27,39,33,27,28,45,20,15,17,16,13,45
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,5,2,2,4,0,3,7,8,17,7,9,9,12,9,10,14,23,35,45,28,27,42,24,246
Tiruvannamalai,33,606,0,90,10,13,15,10,20,25,30,7,32,36,56,51,52,60,102,104,151,128,164,209,210,291,358,487,459,602,703,820,1034,1103,1282,1329,1377,1387,1251,1081,859,698,484,328,258,235,151,110,84,71,74,41,36,24,28,25,20,13,17,8,7,5,20,7,6,4,2,0,2,0,0,0,0,0
Udupi,29,569,0,133,21,30,13,20,26,25,32,32,37,73,57,80,100,90,151,199,268,288,365,427,532,693,781,970,962,1170,1082,1022,919,748,597,430,335,280,191,147,88,60,40,55,32,39,36,29,38,29,26,21,14,9,15,1,3,0,2,1,4,1,0,3,0,0,1,0,0,0,0,0,0,0
Bellary,29,565,0,270,41,61,49,46,58,57,58,97,116,131,166,182,260,262,305,406,584,572,742,822,1065,1335,1448,1643,1704,1913,1810,1695,1574,1477,1265,1125,948,849,637,616,539,511,430,364,348,281,240,210,201,201,145,134,170,123,109,90,93,72,83,83,87,47,43,42,43,30,34,29,12,17,11,18,7,114
Agra,9,146,0,18,4,0,2,2,7,6,1,2,4,6,13,18,6,18,22,25,24,18,44,71,80,114,141,225,240,368,444,537,624,665,726,750,661,684,611,620,511,529,469,409,362,325,260,198,169,172,165,139,121,145,107,84,92,93,75,62,66,70,69,52,34,36,34,32,43,45,63,38,34,160
Jamui,10,238,0,615,83,89,99,113,126,105,153,194,211,213,277,248,313,345,366,435,450,469,574,478,515,546,505,501,388,282,260,147,68,76,47,21,11,17,18,9,2,7,0,2,8,3,7,1,3,2,1,4,1,1,0,1,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Harda,23,448,0,396,56,71,66,82,105,150,144,167,172,222,244,364,357,417,507,616,724,807,1011,882,1045,899,912,811,612,415,281,203,143,151,92,98,76,80,92,51,54,19,34,29,24,17,28,23,17,7,2,6,8,2,5,1,9,6,2,4,4,3,0,2,0,2,2,3,0,3,0,0,0,0
Sonipat,6,76,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,5,3,1,7,11,10,14,31,61,61,106,147,117,232,139,137,218,183,236,297,279,232,223,176,165,113,123,93,95,72,61,57,66,58,54,32,44,38,38,33,16,14,7,16,11,10,9,5,2,0,1,0
Gondiya,27,507,0,199,23,14,46,15,36,62,35,46,62,77,110,129,182,223,189,212,326,382,449,543,550,684,808,872,950,1060,1185,1347,1430,1296,833,594,340,287,191,146,134,61,47,57,33,19,39,16,25,8,23,5,8,2,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,18,318,0,35,2,0,6,14,15,10,15,14,26,19,29,36,64,64,79,107,135,149,208,268,289,291,223,242,186,156,177,148,148,91,57,28,26,16,20,11,8,9,5,6,1,0,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,14,274,0,460,56,66,85,92,90,116,116,135,169,183,214,197,312,378,364,457,577,586,693,747,875,873,912,889,787,835,621,469,427,364,243,207,139,102,77,54,36,7,5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhopal,23,444,0,75,9,15,10,17,16,23,34,34,45,59,84,106,158,153,211,244,304,378,461,526,474,586,590,603,611,566,469,417,350,360,318,289,254,226,205,167,162,160,134,115,125,150,105,79,79,76,68,72,66,69,54,45,64,52,58,65,46,54,59,56,64,49,39,40,64,42,28,32,23,51
Panchkula,6,69,0,5,0,0,0,0,0,0,0,0,3,0,7,5,3,16,9,33,30,42,49,81,92,112,126,107,118,124,142,131,153,143,133,142,138,132,145,135,140,167,131,132,65,73,102,101,66,56,74,68,45,33,30,18,26,18,30,12,10,16,29,5,15,7,17,20,19,15,13,13,5,28
Sonbhadra,9,200,0,786,94,106,94,110,168,198,242,214,250,294,297,399,350,425,492,599,590,726,998,1067,1411,1572,1779,1936,2083,2011,1746,1408,1097,749,589,446,404,312,214,183,134,133,105,97,46,53,65,39,60,47,51,49,55,34,54,45,40,49,43,34,38,31,25,24,29,20,22,23,8,17,21,8,8,20
Jhalawar,8,129,0,127,22,22,29,21,34,38,53,68,90,125,137,216,276,356,509,699,889,1182,1377,1743,1872,1892,1907,1842,1626,1511,1343,1181,955,781,612,557,485,399,330,267,263,244,196,172,132,95,101,79,72,55,64,35,36,27,24,12,16,15,18,11,8,14,7,8,8,4,9,4,6,6,0,0,3,4
Mahendragarh,6,84,0,0,1,0,0,0,0,1,0,0,1,0,0,4,8,7,8,7,16,15,46,55,80,134,174,203,315,401,431,499,484,509,562,488,433,423,378,312,294,238,232,206,184,175,141,119,120,126,88,71,75,69,40,49,36,16,21,14,11,14,5,9,4,5,6,3,0,1,2,2,0,4
Sawai Madhopur,8,108,0,186,30,23,36,51,67,69,55,98,78,115,135,152,212,264,374,386,540,643,800,1000,1134,1273,1317,1384,1377,1293,1056,931,831,608,552,378,339,219,205,185,128,126,111,86,50,45,18,36,29,16,26,21,6,7,13,16,7,4,9,3,1,0,2,5,0,0,0,0,0,1,0,0,0,1
Shimla,2,33,0,102,15,24,23,27,37,51,49,85,97,106,141,231,302,367,512,720,1049,1290,1610,1957,2234,2299,2174,1908,1651,1238,990,695,509,355,243,169,136,98,85,54,48,38,40,28,17,15,22,17,19,12,19,10,6,12,10,4,6,6,6,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0
South 24 Parganas,19,343,0,91,2,10,11,15,4,11,22,24,22,31,44,36,46,49,74,82,86,84,94,115,117,166,171,188,219,262,315,334,445,445,514,561,599,558,453,443,447,376,348,245,182,144,164,154,143,84,64,89,51,48,31,43,31,41,36,37,35,32,27,23,12,12,9,10,18,9,25,13,15,90
Pratapgarh,9,173,0,37,8,11,10,6,16,10,18,21,29,31,44,62,60,107,130,134,173,285,319,345,400,465,540,526,604,469,353,326,260,174,153,114,89,86,84,53,30,32,17,16,12,9,12,4,7,6,5,4,5,1,2,2,0,0,1,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0
Jaintia Hills,17,299,0,215,34,33,27,37,65,79,75,119,115,186,244,225,299,408,463,579,545,666,755,812,899,950,944,878,767,683,490,351,343,259,211,167,155,122,109,82,88,101,41,48,42,39,44,33,19,28,33,27,23,17,13,13,18,10,6,3,5,1,4,3,2,3,4,0,0,0,0,0,0,0
Kapurthala,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,18,32,56,85,125,223,205,262,297,321,364,404,434,399,336,311,300,219,191,166,142,106,118,97,83,58,51,32,31,32,21,22,19,18,13,12,16,21,18,20,5,0,4,0,1,0,0,0,0,0
Hisar,6,80,0,8,0,2,1,5,4,8,7,5,5,14,23,21,40,43,65,95,132,163,232,284,398,503,701,767,1013,1164,1211,1080,977,800,700,578,540,425,345,325,262,279,261,265,218,189,137,160,136,108,115,97,98,83,101,86,86,41,51,45,26,42,16,29,23,21,11,22,28,23,23,9,12,14
Mandi,2,27,0,17,4,4,4,4,6,9,22,19,21,51,35,47,80,118,149,220,353,526,856,1122,1549,1966,2227,2226,1975,1451,1016,614,425,351,235,185,126,115,91,91,60,45,35,36,24,16,9,8,9,1,6,2,3,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Faridabad,6,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,4,2,13,5,21,35,25,39,37,27,28,16,34,39,24,59,33,38,56,33,48,28,36,18,24,36,17,18,33,26,13,22,21,14,17,29,12,19,9,13,5,14
Hoshangabad,23,449,0,237,41,25,55,51,69,63,92,114,166,210,264,317,386,558,734,850,1181,1421,1634,2043,2296,2646,2403,2109,1863,1350,981,651,459,345,274,216,157,133,123,108,65,65,67,46,50,43,41,23,25,28,14,25,17,22,22,11,11,6,20,7,9,6,2,2,5,1,4,0,0,0,0,0,0,0
Hoshiarpur,3,38,0,6,0,2,1,11,1,7,11,8,14,17,21,26,37,65,101,107,112,193,242,321,360,472,583,632,788,787,893,848,807,895,851,778,735,607,520,421,355,249,154,153,100,115,66,55,50,26,23,38,48,15,22,30,12,14,14,14,19,8,5,8,4,7,1,0,3,2,2,0,0,0
Jodhpur,8,113,0,1937,366,393,582,683,824,964,1345,1549,2146,2635,3160,3899,4566,5458,5920,6797,6984,6625,6381,5802,5006,4145,3404,2842,2406,1873,1532,1330,1073,919,740,722,645,517,473,443,359,333,324,230,219,225,188,167,165,138,119,141,97,95,103,76,105,82,57,56,58,62,73,39,46,51,40,61,38,45,45,51,46,218
Anuppur,23,461,0,3,2,0,2,0,1,4,1,6,5,3,15,16,10,29,46,79,112,133,263,336,508,668,988,1102,1336,1447,1519,1380,1243,1032,663,590,434,356,255,260,180,178,128,101,119,110,81,76,97,76,47,47,49,39,38,31,21,17,16,8,10,11,21,9,4,7,0,2,0,0,0,0,0,0
Mumbai,27,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,6,3,5,6,2,5,2,3,2,7,18,30,32,23,15,16,12,20,18,14,21,9,12,8,9,6,5,5,5,11,7,16,6,13,255
Thiruvarur,33,619,0,22,1,3,2,4,9,2,4,3,8,18,15,14,21,39,29,35,45,61,85,71,113,143,121,186,235,277,317,411,491,542,592,564,542,488,459,388,417,321,233,235,224,183,185,99,105,46,71,56,43,33,28,19,11,20,15,13,5,4,11,9,4,8,1,3,3,3,2,0,0,3
Uttara Kannada,29,563,0,604,70,102,122,117,151,169,223,231,336,343,449,544,679,822,1037,1334,1683,2100,2476,3079,3486,3845,3877,3386,2810,2041,1387,857,580,381,247,244,173,135,101,75,84,68,55,44,30,31,44,21,16,30,21,18,22,11,11,16,10,10,16,7,10,1,3,0,0,0,0,0,0,0,0,0,0,0
Bandipore,1,9,0,1,0,0,0,0,1,3,5,2,4,12,12,25,59,91,170,291,528,707,1065,1279,1306,1302,1074,837,498,316,259,177,142,134,97,92,84,84,75,75,55,46,50,39,30,26,22,16,7,11,7,11,9,3,1,4,8,1,3,6,4,1,2,0,2,0,1,1,1,0,1,0,0,0
Sabar Kantha,24,472,0,170,22,30,26,42,37,68,79,73,108,147,200,313,361,559,772,955,1350,1832,2254,2740,3175,3331,2946,2487,1914,1493,1108,849,633,471,334,270,219,184,152,121,94,83,70,68,38,28,28,11,26,14,13,13,16,10,10,6,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rohtak,6,82,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,13,4,3,12,24,48,40,104,126,206,229,229,207,217,176,183,191,180,178,144,167,130,128,108,117,88,56,62,57,43,39,22,34,33,27,34,21,13,12,16,11,12,4,9,8,6,3,6,3,0,3,3,5,1,0
Mandla,23,454,0,9,4,3,0,3,1,8,6,7,18,10,18,34,17,22,44,67,132,161,232,325,542,950,1463,2101,2656,3444,3968,4171,3663,2840,1902,1202,717,404,195,134,68,45,10,13,10,10,11,11,1,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faizabad,9,177,0,151,20,43,42,28,51,56,69,67,96,96,143,151,177,248,294,250,387,385,515,534,548,545,594,472,533,417,378,296,182,142,127,104,97,83,103,66,46,74,51,33,39,29,18,17,8,19,20,22,19,5,7,7,10,8,12,14,9,7,13,9,10,6,9,15,4,4,7,1,0,0
Champhai,15,284,0,688,77,83,152,101,128,129,210,191,235,295,292,326,428,452,529,558,622,660,658,727,627,539,463,386,384,266,170,137,95,68,46,31,32,12,10,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalaun,9,165,0,66,5,15,3,17,21,28,39,31,44,90,104,132,217,217,350,404,591,870,960,1162,1257,1319,1323,1130,925,819,652,584,501,389,301,224,172,112,86,112,50,49,29,42,28,21,22,11,11,7,7,1,7,1,1,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Purba Medinipur,19,345,0,39,2,3,10,4,0,0,17,2,9,17,16,11,21,43,30,27,57,56,60,117,122,138,195,217,256,318,412,452,573,689,753,740,830,765,641,537,422,364,237,177,107,80,74,66,52,42,48,49,32,44,38,25,21,20,18,21,24,20,10,24,20,16,15,17,16,9,13,19,18,47
North West,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,3,3,24,16,17,19,10,16,21,20,22,21,41,30,37,26,15,28,18,16,29,15,12,9,9,15,144
Ganjam,21,388,0,47,8,7,11,20,20,17,14,24,38,49,52,86,92,102,189,242,349,484,742,1126,1541,1922,2291,2580,2513,2375,2305,2338,2128,1937,1728,1355,1097,793,678,519,439,380,284,225,218,174,164,140,124,90,73,76,46,32,44,22,42,18,17,29,13,15,18,15,16,18,8,11,13,7,8,8,4,38
Jhansi,9,166,0,123,10,27,41,44,41,68,69,76,123,168,179,270,355,409,571,665,954,1096,1316,1324,1426,1368,1259,1100,903,851,726,535,458,340,284,239,188,137,147,122,121,107,74,82,69,73,50,63,43,54,45,37,29,27,17,47,28,36,36,23,23,37,18,13,24,18,12,5,10,6,6,7,4,17
Mathura,9,145,0,10,2,0,6,1,3,6,5,8,8,12,7,38,14,35,55,84,89,164,196,210,291,290,348,317,384,355,404,392,468,501,429,528,588,543,499,521,462,392,330,339,262,210,218,146,158,124,125,115,77,90,51,53,37,62,48,61,40,46,27,39,27,49,27,20,31,12,17,8,5,6
Bankura,19,339,0,4,0,1,7,4,2,4,6,3,3,10,1,12,24,24,32,27,39,48,70,86,111,165,208,284,416,616,680,945,959,913,844,708,546,499,458,304,243,179,206,142,128,91,90,102,87,62,62,67,48,32,36,41,23,16,12,19,16,5,0,1,8,0,3,1,2,0,4,0,0,2
