,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,6,4,7,6,7,10,12,8,9,7,10,10,12,13,10,10,19,23,43,57,105,150
Tirunelveli,33,628,0,63,1,17,14,19,29,11,16,33,43,67,72,91,109,134,180,261,292,334,471,570,650,726,853,891,1013,1094,1327,1323,1371,1312,1320,1202,1102,913,822,792,674,604,476,486,423,380,306,253,282,228,181,180,153,133,91,106,79,53,69,82,52,59,57,43,38,22,34,28,20,11,25,17,15,68
Udalguri,18,326,0,26,3,0,4,11,8,18,11,10,14,14,15,22,23,33,65,57,69,91,117,132,206,238,280,353,425,541,639,736,833,940,841,633,500,360,258,191,107,75,68,36,20,14,10,11,6,10,5,9,3,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,1,0,0,0,1,3,2,5,6,14,22,26,66,104,169,268,444,644,937,1202,1577,1779,1760,1540,1364,1222,1118,1014,885,762,711,644,540,471,418,386,326,268,249,201,197,159,129,117,101,67,52,41,47,35,29,18,19,23,12,12,10,14,6,6,3,6,2,4,2,0,0,0,0,0,0
West Kameng,12,246,0,280,48,52,61,77,97,98,115,170,207,282,308,370,475,624,773,1039,1294,1727,2025,2181,2213,2208,1936,1456,1112,689,459,273,162,96,79,53,47,18,30,18,19,12,16,10,17,5,4,6,2,3,3,2,2,3,2,2,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Surat,24,492,0,0,1,0,0,0,1,0,0,0,1,1,1,1,4,7,18,24,45,81,112,158,192,231,278,335,414,535,690,764,791,891,985,879,900,860,900,761,754,619,556,512,487,434,327,337,284,249,247,182,195,172,164,126,156,132,128,120,115,101,95,76,85,74,91,105,120,105,118,100,81,379
Baramula,1,8,0,0,0,0,0,0,0,0,0,0,1,1,2,4,3,8,21,25,87,109,161,211,274,287,277,339,381,372,446,451,402,355,331,373,341,332,318,309,272,267,254,220,190,166,141,116,97,67,67,62,57,47,28,34,26,19,14,19,26,30,22,16,24,13,9,13,4,16,13,7,8,20
North Tripura,16,292,0,6,0,1,4,5,1,5,4,5,5,9,16,13,20,32,50,64,114,149,203,245,345,444,562,571,646,697,687,659,625,570,454,351,315,254,202,161,113,84,77,62,34,20,23,21,13,12,9,12,1,1,10,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kollam,32,600,0,52,10,19,12,22,17,37,34,27,52,53,63,73,96,113,141,184,207,227,284,347,378,295,335,335,310,348,344,424,399,388,410,339,368,265,223,227,169,196,131,134,105,63,52,29,31,28,18,22,13,23,9,14,12,4,7,6,4,2,6,0,0,0,4,1,0,1,0,0,0,0
Lower Subansiri,12,255,0,35,5,6,8,8,14,10,33,18,21,30,39,37,58,64,87,142,204,264,372,536,643,831,1018,1177,1052,945,722,554,368,220,157,77,56,46,37,28,27,12,15,12,8,9,2,5,6,5,8,5,6,2,1,1,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
