,st_cen_cd,censuscode,light_0,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,light_13,light_14,light_15,light_16,light_17,light_18,light_19,light_20,light_21,light_22,light_23,light_24,light_25,light_26,light_27,light_28,light_29,light_30,light_31,light_32,light_33,light_34,light_35,light_36,light_37,light_38,light_39,light_40,light_41,light_42,light_43,light_44,light_45,light_46,light_47,light_48,light_49,light_50,light_51,light_52,light_53,light_54,light_55,light_56,light_57,light_58,light_59,light_60,light_61,light_62,light_63,light_64,light_65,light_66,light_67,light_68,light_69,light_70,light_71
Chandigarh,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,7,3,5,2,6,3,6,6,4,13,10,12,15,10,23,6,412
Tirunelveli,33,628,0,92,9,10,23,13,16,34,27,28,30,37,50,67,97,106,108,179,179,253,304,327,423,548,668,760,865,991,1044,1243,1286,1377,1435,1424,1176,1107,947,790,606,531,429,357,292,213,157,146,96,109,92,96,91,63,34,39,36,26,31,18,38,32,11,20,15,14,15,6,22,7,10,11,5,14
Udalguri,18,326,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,28,26,43,65,99,125,162,201,228,283,304,334,339,375,457,456,523,532,527,530,491,472,417,376,371,277,248,194,158,123,99,69,56,44,42,22,22,15,6,7,6,2,8,2,1,1,0,0,0,0,0,0,0,0,0,0
Washim,27,502,0,0,1,0,0,0,0,0,0,0,3,5,3,18,31,56,117,176,322,520,780,1052,1405,1644,1680,1718,1538,1453,1304,1174,1038,883,819,711,589,504,460,367,289,253,213,176,133,148,107,97,63,60,49,58,40,23,18,21,19,14,17,22,21,7,8,11,5,3,6,3,4,1,0,0,0,0
West Kameng,12,246,0,18,2,5,6,13,13,12,27,31,53,99,151,227,383,633,1044,1525,2236,2948,3340,3438,2902,2005,1004,503,237,159,95,76,60,56,47,51,32,31,21,29,38,25,20,22,17,15,16,8,16,14,13,11,4,13,10,9,5,5,4,5,2,5,5,0,3,1,3,2,1,1,1,0,0,0
Surat,24,492,0,1,0,0,0,0,0,0,1,2,7,5,6,17,34,39,56,88,120,126,154,159,173,172,201,242,232,299,355,417,535,639,721,811,798,809,832,771,746,727,704,618,630,566,517,465,419,399,341,292,287,245,224,211,206,161,157,147,135,112,93,117,82,88,85,69,91,92,117,96,96,530
Baramula,1,8,0,1,0,0,2,0,0,2,1,0,0,1,1,0,4,4,2,6,2,9,12,12,19,18,45,144,287,362,403,461,518,527,500,458,519,511,473,421,330,342,263,282,224,207,155,148,114,80,89,75,50,43,42,34,34,35,24,29,34,20,17,13,16,16,15,11,12,5,8,4,6,4
North Tripura,16,292,0,22,6,7,10,14,16,33,36,45,54,92,115,172,228,297,373,461,507,474,438,364,350,276,251,210,211,195,197,185,168,175,174,188,201,220,237,223,193,194,194,173,142,110,113,96,75,82,82,51,52,40,33,29,24,17,19,15,12,5,7,4,5,1,4,3,4,1,1,0,0,0
Kollam,32,600,0,56,27,11,7,29,10,22,27,30,28,29,42,53,72,87,106,116,148,179,157,184,231,234,243,257,250,328,369,366,396,474,465,424,417,350,302,276,221,183,175,144,106,87,75,43,31,20,18,21,15,17,28,16,6,15,9,8,2,3,9,2,7,6,1,0,0,0,0,0,0,0
Lower Subansiri,12,255,0,6,4,3,2,6,7,12,15,27,33,51,84,161,232,375,496,814,1098,1401,1610,1523,1147,726,351,203,144,77,63,54,42,51,43,27,37,36,29,25,18,14,19,20,10,18,10,14,9,6,7,11,5,6,2,3,5,3,1,7,0,0,3,0,2,1,3,0,0,0,0,0,0,0
Palwal,6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,29,33,53,118,183,211,222,270,279,354,353,343,306,342,317,275,268,236,237,199,198,152,131,119,95,89,82,67,61,56,46,31,32,46,27,23,23,93
Ramgarh,20,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,18,37,51,60,62,66,74,91,88,97,113,129,151,164,175,220,246,224,242,242,262,236,205,223,199,170,159,165,143,151,127,106,87,105,100,72,87,92,88,67,65,67,47,58,44,41,31,36,34,16,73
Mirzapur,9,199,0,0,0,0,0,0,0,0,0,1,1,0,1,2,9,12,47,76,161,348,510,859,1003,1100,1043,933,840,815,794,856,871,822,829,793,720,746,689,666,556,505,440,351,349,303,263,245,217,207,161,130,123,96,62,62,56,35,38,34,23,19,18,15,14,12,14,11,8,11,6,7,12,60
Ghazipur,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,33,65,167,304,348,471,516,595,698,768,833,895,1048,1135,1103,1010,982,846,688,529,410,339,242,206,141,104,92,78,63,53,55,34,29,23,20,16,15,12,12,5,9,8,7,8,12,4,3,23
Bikaner,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,19,64,251,904,2500,5949,11470,16597,17878,15285,11155,8156,6566,5676,5077,4548,4030,3389,2824,2286,1904,1537,1261,1036,955,759,648,535,470,410,345,329,314,273,227,222,202,197,140,127,114,98,89,81,65,72,55,69,51,51,41,29,37,27,27,249
Mahe,34,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,1,2,5,4,2,2,2,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,24,21,14,14,12,9,7,13,16,14,20,20,26,23,23,27,34,31,787
Tiruvannamalai,33,606,0,0,0,3,0,0,3,1,2,6,6,8,15,15,29,34,51,88,164,217,284,378,439,492,641,698,790,1024,1177,1375,1594,1691,1788,1771,1718,1621,1448,1283,1044,772,625,440,374,270,200,151,127,86,73,70,74,41,42,36,37,22,28,21,19,10,8,10,12,6,11,8,2,2,6,2,6,19
Udupi,29,569,0,82,24,27,28,47,61,68,89,103,143,197,267,345,415,554,641,761,811,898,992,1046,930,973,835,700,672,560,475,366,301,279,270,230,201,231,187,140,117,94,101,80,67,54,46,54,49,44,37,26,32,20,24,26,17,23,15,20,8,13,11,13,6,3,8,4,3,2,3,1,2,6
Bellary,29,565,0,0,1,0,0,0,2,0,1,2,4,10,10,17,36,42,107,174,334,621,854,1236,1503,1706,1870,1937,1971,1931,1862,1862,1789,1563,1432,1227,996,983,827,732,717,650,617,511,491,428,427,382,347,333,285,245,231,212,160,153,127,129,126,114,116,72,83,79,41,48,54,41,32,36,19,27,36,183
Agra,9,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,17,58,104,154,161,220,240,306,360,383,472,453,524,574,595,603,682,673,704,778,709,773,688,636,665,675,642,553,544,452,409,352,297,269,239,197,178,154,150,130,120,102,88,64,69,60,58,54,763
Jamui,10,238,0,0,0,0,1,0,0,1,4,5,5,15,27,40,102,169,294,470,701,918,1200,1259,1190,1044,863,767,662,521,414,406,309,287,262,206,173,168,147,127,101,96,72,78,52,49,39,22,32,18,19,19,12,17,12,11,7,8,7,3,6,4,5,4,3,4,3,5,3,5,0,2,1,0
Harda,23,448,0,0,1,1,1,2,4,9,8,16,19,29,53,109,171,208,321,390,500,576,537,515,406,349,325,364,414,479,584,612,694,713,701,749,751,635,592,469,367,306,238,206,150,149,130,86,58,78,59,42,29,15,36,18,16,18,13,10,10,10,9,7,3,3,7,5,2,1,2,3,1,8
Sonipat,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,94,140,242,382,457,484,468,592,483,421,420,362,383,336,368,323,300,256,250,252,253,226,225,226,187,178,159,186,145,116,113,103,87,94,77,68,59,50,291
Gondiya,27,507,0,29,2,7,19,28,29,43,50,87,121,183,204,305,451,626,757,934,1122,1155,1157,1169,1066,1062,1075,1010,1029,975,1020,913,869,780,704,664,536,500,421,340,316,262,226,187,159,152,123,100,76,70,62,53,36,35,18,27,23,24,26,11,18,15,9,11,8,6,12,12,6,3,3,8,8,25
